Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,AffiliationId,carnegie_id,PrimarySample,FixedPosition
The Hon. Steve Adams,Member,Austin Pay State University,,Austin Pay State 1973 BS,"Treasurer, State of Tenneesee",128.0,,184692499.0,219602.0,False,Regent
The Hon. Riley C. Darnell,Member,Austin Pay State University,,Austin Pay State 1962 BS; Vanderbilt 1965 JD,"Secretary, State of Tennessee",128.0,,184692499.0,219602.0,False,Regent
Tony Scott England,Member,Austin Pay State University,,,,128.0,,184692499.0,219602.0,False,Regent
William Ransom Jones,Member,Austin Pay State University,,,,128.0,,184692499.0,219602.0,False,Regent
Dale Kelley,Member,Austin Pay State University,,,,128.0,,184692499.0,219602.0,False,Regent
Debby Patterson Koch,Secretary,Austin Pay State University,,,,128.0,,184692499.0,219602.0,False,Other Board Member
Joe Lancaster,Member,Austin Pay State University,,,,129.0,,184692499.0,219602.0,False,Regent
Wanda McMahan,Vice Chairperson,Austin Pay State University,,,,129.0,,184692499.0,219602.0,False,Board Vice President
John Morgan,Member,Austin Pay State University,,Austin Pay State 1974 BS,"Comptroller, State of Tennessee",129.0,,184692499.0,219602.0,False,Regent
June Scobee Rodgers,Member,Austin Pay State University,,,,129.0,,184692499.0,219602.0,False,Regent
J. V. Sailors,Ex Officio Member,Austin Pay State University,,,"Executive Director, State Board of Education",129.0,,184692499.0,219602.0,False,"Regent, Ex Officio"
Lisa Verble,Member,Austin Pay State University,,,,129.0,,184692499.0,219602.0,False,Regent
"A. C. Wharton, Jr",Chairman,Austin Pay State University,,,"Chief Public Defender, County of Shelby, Tennessee",129.0,,184692499.0,219602.0,False,Board President
Brad Windley,Member,Austin Pay State University,,,,129.0,,184692499.0,219602.0,False,Regent
David Oliver Boone,Fellow,Bates College,,,,135.0,,37415318.0,160977.0,False,Overseer
"James Francis Callahan, Jr",Fellow,Bates College,,,,135.0,,37415318.0,160977.0,False,Overseer
Richard Francis Coughlin,Fellow,Bates College,,,,135.0,,37415318.0,160977.0,False,Overseer
Ernest Henry Ern,Fellow,Bates College,,,,135.0,,37415318.0,160977.0,False,Overseer
Barry Allan Greenfield,Fellow,Bates College,,,,135.0,,37415318.0,160977.0,False,Overseer
Burton Michael Harris,Fellow,Bates College,,,,135.0,,37415318.0,160977.0,False,Overseer
William Steven Holt,Fellow,Bates College,,,,135.0,,37415318.0,160977.0,False,Overseer
"James Leander Moody, Jr.",Chairman,Bates College,,,,135.0,,37415318.0,160977.0,False,Board President
M. Patricia Morse,Fellow,Bates College,,,,135.0,,37415318.0,160977.0,False,Overseer
James Finley Orr III,Fellow,Bates College,,,,135.0,,37415318.0,160977.0,False,Overseer
Roger Clayton Schmutz,Secretary of the Corporation,Bates College,,,,135.0,,37415318.0,160977.0,False,Other Board Member
Catharine Roslyn Simpson,Fellow,Bates College,,,,135.0,,37415318.0,160977.0,False,Overseer
Victoria Aghababian Wicks,Fellow,Bates College,,,,135.0,,37415318.0,160977.0,False,Overseer
Joseph Timothy Willett,Fellow,Bates College,,,,135.0,,37415318.0,160977.0,False,Overseer
Lynn Willcox Willsey,Fellow,Bates College,,,,135.0,,37415318.0,160977.0,False,Overseer
John P. Birkelund,Fellow,Brown University,Board of Fellows,,"President, American Heritage Forbes Bldg., 60 5th Ave., New York, NY 10011 Tel: (212) 206-5500 Fax: (212) 620-2332",154.0,,27804330.0,217156.0,True,Trustee
