Source,Target,Type,Weight,Year
State University Of New York At Albany,Adelphi University,Undirected,1,2007
Loma Linda University,Andrews University,Undirected,1,2007
Loma Linda University,Andrews University,Undirected,1,2007
Loma Linda University,Andrews University,Undirected,1,2007
Loma Linda University,Andrews University,Undirected,1,2007
Loma Linda University,Andrews University,Undirected,1,2007
Loma Linda University,Andrews University,Undirected,1,2007
Loma Linda University,Andrews University,Undirected,1,2007
University Of South Alabama,Auburn University,Undirected,1,2007
New School University,Auburn University,Undirected,1,2007
Yale University,Auburn University,Undirected,1,2007
Georgetown University,Auburn University,Undirected,1,2007
University Of Texas At Brownsville/Texas Southmost College,Auburn University,Undirected,1,2007
New School University,Auburn University,Undirected,1,2007
Yale University,Auburn University,Undirected,1,2007
Georgetown University,Auburn University,Undirected,1,2007
University Of Texas At Brownsville/Texas Southmost College,Auburn University,Undirected,1,2007
New School University,Auburn University,Undirected,1,2007
Yale University,Auburn University,Undirected,1,2007
Georgetown University,Auburn University,Undirected,1,2007
University Of Texas At Brownsville/Texas Southmost College,Auburn University,Undirected,1,2007
Clark University,Boston College,Undirected,1,2007
Columbia University,Boston College,Undirected,1,2007
Harvard University,Brandeis University,Undirected,1,2007
University Of Massachusetts Worcester,Brandeis University,Undirected,1,2007
Rockefeller University,Brandeis University,Undirected,1,2007
Harvard University,Brandeis University,Undirected,1,2007
Rockefeller University,Brandeis University,Undirected,1,2007
Tufts University,Brandeis University,Undirected,1,2007
Fordham University,Brandeis University,Undirected,1,2007
Columbia University,Brandeis University,Undirected,1,2007
New York University,Brandeis University,Undirected,1,2007
Loyola Marymount University,California Institute Of Technology,Undirected,1,2007
Harvard University,California Institute Of Technology,Undirected,1,2007
Stanford University,California Institute Of Technology,Undirected,1,2007
Massachusetts Institute Of Technology,California Institute Of Technology,Undirected,1,2007
Pepperdine University,California Institute Of Technology,Undirected,1,2007
Harvard University,California Institute Of Technology,Undirected,1,2007
Adelphi University,California Institute Of Technology,Undirected,1,2007
Harvard University,California Institute Of Technology,Undirected,1,2007
Massachusetts Institute Of Technology,California Institute Of Technology,Undirected,1,2007
Chapman University,California Institute Of Technology,Undirected,1,2007
University Of Pittsburgh,Carnegie Mellon University,Undirected,1,2007
Worcester Polytechnic Institute,Carnegie Mellon University,Undirected,1,2007
Duquesne University,Carnegie Mellon University,Undirected,1,2007
University Of Pittsburgh,Carnegie Mellon University,Undirected,1,2007
Duquesne University,Carnegie Mellon University,Undirected,1,2007
University Of Pittsburgh,Carnegie Mellon University,Undirected,1,2007
James Madison University,Catholic University Of America,Undirected,1,2007
California Institute Of Technology,Chapman University,Undirected,1,2007
University Of San Diego,Chapman University,Undirected,1,2007
Polytechnic University,Clarkson University,Undirected,1,2007
Rockefeller University,Columbia University,Undirected,1,2007
University Of Michigan,Columbia University,Undirected,1,2007
University Of Michigan,Columbia University,Undirected,1,2007
University Of Michigan,Columbia University,Undirected,1,2007
Stanford University,Columbia University,Undirected,1,2007
Yeshiva University,Columbia University,Undirected,1,2007
New York University,Columbia University,Undirected,1,2007
Yeshiva University,Cornell University,Undirected,1,2007
Rockefeller University,Cornell University,Undirected,1,2007
New York University,Cornell University,Undirected,1,2007
Brown University,Cornell University,Undirected,1,2007
Adelphi University,Cornell University,Undirected,1,2007
Adelphi University,Cornell University,Undirected,1,2007
Adelphi University,Cornell University,Undirected,1,2007
Adelphi University,Cornell University,Undirected,1,2007
Adelphi University,Cornell University,Undirected,1,2007
Adelphi University,Cornell University,Undirected,1,2007
Adelphi University,Cornell University,Undirected,1,2007
Adelphi University,Cornell University,Undirected,1,2007
Duke University,Cornell University,Undirected,1,2007
New School University,Cornell University,Undirected,1,2007
University Of Tulsa,Cornell University,Undirected,1,2007
Rochester Institute Of Technology,Cornell University,Undirected,1,2007
Long Island University,Cornell University,Undirected,1,2007
Columbia University,Cornell University,Undirected,1,2007
Brown University,Cornell University,Undirected,1,2007
University Of Tulsa,Cornell University,Undirected,1,2007
New School University,Cornell University,Undirected,1,2007
University Of Pennsylvania,Cornell University,Undirected,1,2007
Massachusetts Institute Of Technology,Cornell University,Undirected,1,2007
Rockefeller University,Dartmouth College,Undirected,1,2007
Villanova University,Drexel University,Undirected,1,2007
Cornell University,Duke University,Undirected,1,2007
Johns Hopkins University,Duke University,Undirected,1,2007
New School University,Duquesne University,Undirected,1,2007
Auburn University,Duquesne University,Undirected,1,2007
Yale University,Duquesne University,Undirected,1,2007
