Id,Label,Year,Interlock_Count,AffiliationId,female_president
Adelphi University,Adelphi University,2009,28,71965598.0,False
Andrews University,Andrews University,2009,51,102298084.0,False
Arizona State University,Arizona State University,2009,168,55732556.0,False
Auburn University,Auburn University,2009,36,82497590.0,False
Ball State University,Ball State University,2009,4,198089087.0,False
Baylor University,Baylor University,2009,7,157394403.0,False
Boston College,Boston College,2009,33,103531236.0,False
Boston University,Boston University,2009,7,111088046.0,False
Brandeis University,Brandeis University,2009,48,6902469.0,False
Brown University,Brown University,2009,27,27804330.0,True
California Institute Of Technology,California Institute Of Technology,2009,57,122411786.0,False
Carnegie Mellon University,Carnegie Mellon University,2009,57,74973139.0,False
Case Western Reserve University,Case Western Reserve University,2009,10,58956616.0,True
Catholic University Of America,Catholic University Of America,2009,14,84470341.0,False
Central Michigan University,Central Michigan University,2009,3,1629065.0,False
Chapman University,Chapman University,2009,15,185071736.0,False
Clark Atlanta University,Clark Atlanta University,2009,5,52064589.0,False
Clark University,Clark University,2009,3,130785548.0,False
Clarkson University,Clarkson University,2009,5,16944753.0,False
Clemson University,Clemson University,2009,4,8078737.0,False
Cleveland State University,Cleveland State University,2009,50,102607778.0,False
Columbia University,Columbia University,2009,43,78577930.0,False
Cornell University,Cornell University,2009,83,205783295.0,False
Creighton University,Creighton University,2009,12,114493937.0,False
Dartmouth College,Dartmouth College,2009,15,107672454.0,False
Depaul University,Depaul University,2009,7,118353179.0,False
Drexel University,Drexel University,2009,14,72816309.0,False
Duke University,Duke University,2009,15,170897317.0,False
Duquesne University,Duquesne University,2009,45,165102784.0,False
East Tennessee State University,East Tennessee State University,2009,469,119443389.0,False
Emory University,Emory University,2009,9,150468666.0,False
Florida Institute Of Technology,Florida Institute Of Technology,2009,2,106959904.0,False
Fordham University,Fordham University,2009,39,164389053.0,False
Gallaudet University,Gallaudet University,2009,2,66108857.0,False
George Washington University,George Washington University,2009,14,193531525.0,False
Georgetown University,Georgetown University,2009,77,184565670.0,False
Hampton University,Hampton University,2009,3,151328261.0,unknown
Harvard University,Harvard University,2009,29,136199984.0,False
Hofstra University,Hofstra University,2009,15,139290212.0,False
Howard University,Howard University,2009,18,137853757.0,False
Idaho State University,Idaho State University,2009,55,106969075.0,False
Illinois Institute Of Technology,Illinois Institute Of Technology,2009,22,180949307.0,False
Indiana University Of Pennsylvania,Indiana University Of Pennsylvania,2009,14,200885203.0,False
Iowa State University,Iowa State University,2009,69,173911158.0,False
James Madison University,James Madison University,2009,4,11883440.0,False
Johns Hopkins University,Johns Hopkins University,2009,47,145311948.0,False
Kansas State University,Kansas State University,2009,149,189590672.0,False
Kent State University,Kent State University,2009,80,149910238.0,False
Lehigh University,Lehigh University,2009,9,186143895.0,True
Loma Linda University,Loma Linda University,2009,51,26347476.0,False
Long Island University,Long Island University,2009,3,138873065.0,False
Loyola Marymount University,Loyola Marymount University,2009,20,35566140.0,False
Loyola University Chicago,Loyola University Chicago,2009,38,1925986.0,False
Marquette University,Marquette University,2009,24,102461120.0,False
Marshall University,Marshall University,2009,49,88694374.0,False
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,2009,87,63966007.0,True
Mercer University,Mercer University,2009,25,150149174.0,False
Miami University,Miami University,2009,20,83328450.0,False
Michigan State University,Michigan State University,2009,3,87216513.0,False
Middle Tennessee State University,Middle Tennessee State University,2009,472,169615421.0,False
Mississippi State University,Mississippi State University,2009,52,99041443.0,False
New Jersey Institute Of Technology,New Jersey Institute Of Technology,2009,14,118118575.0,False
New Mexico State University,New Mexico State University,2009,5,10052268.0,False
New School University,New School University,2009,167,102179633.0,False
New York University,New York University,2009,77,57206974.0,False
Northern Arizona University,Northern Arizona University,2009,179,203172682.0,False
Nova Southeastern University,Nova Southeastern University,2009,3,203088144.0,False
Ohio State University,Ohio State University,2009,6,52357470.0,False
Ohio University,Ohio University,2009,54,4210106879.0,False
Oklahoma State University,Oklahoma State University,2009,50,115475287.0,False
Old Dominion University,Old Dominion University,2009,3,81365321.0,False
Pennsylvania State University,Pennsylvania State University,2009,32,130769515.0,False
Pepperdine University,Pepperdine University,2009,16,100191712.0,False
Polytechnic University,Polytechnic University,2009,17,57206974.0,False
Princeton University,Princeton University,2009,42,20089843.0,True
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,2009,21,165799507.0,True
Rice University,Rice University,2009,20,74775410.0,False
Rochester Institute Of Technology,Rochester Institute Of Technology,2009,14,155173764.0,False
Seton Hall University,Seton Hall University,2009,18,12524447.0,False
South Dakota State University,South Dakota State University,2009,67,177156846.0,False
Southern Illinois University,Southern Illinois University,2009,15,2801502357.0,False
St Johns University,St Johns University,2009,8,142823887.0,False
Stanford University,Stanford University,2009,39,97018004.0,False
State University Of New York At Albany,State University Of New York At Albany,2009,17,392282.0,unknown
State University Of New York At Buffalo,State University Of New York At Buffalo,2009,3,63190737.0,unknown
State University Of New York At Stony Brook,State University Of New York At Stony Brook,2009,8,59553526.0,unknown
Syracuse University,Syracuse University,2009,5,70983195.0,True
Temple University,Temple University,2009,21,84392919.0,True
Thomas Jefferson University,Thomas Jefferson University,2009,17,149251103.0,False
Tufts University,Tufts University,2009,35,121934306.0,False
Union Institute,Union Institute,2009,14,204669301.0,False
University Of Akron,University Of Akron,2009,83,110152177.0,False
University Of Alabama,University Of Alabama,2009,4,17301866.0,unknown
University Of Arizona,University Of Arizona,2009,175,138006243.0,False
University Of Chicago,University Of Chicago,2009,66,40347166.0,False
University Of Cincinnati,University Of Cincinnati,2009,53,63135867.0,True
University Of Connecticut,University Of Connecticut,2009,27,140172145.0,False
University Of Dayton,University Of Dayton,2009,4,127591826.0,False
University Of Delaware,University Of Delaware,2009,12,86501945.0,False
University Of Idaho,University Of Idaho,2009,50,155093810.0,False
University Of Illinois At Urbana Champaign,University Of Illinois At Urbana Champaign,2009,1,157725225.0,unknown
University Of Iowa,University Of Iowa,2009,69,126307644.0,True
