Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Contact,Notes,AffiliationId,FullName,carnegie_id,PrimarySample,level_0,index,StateSystem,FixedPosition
Frank Angelloo.ro,Secretary,Adelphi University,,Adelphi 1977 BBA; Pace MBA,"Senior Vice President, Chief Financial Officer, Lighthouse International",119.0,,,71965598.0,Adelphi University,188429.0,True,,,,Other Board Member
"Robert B. ""Bob"" Willumstad",Chairman,Adelphi University,,Adelphi BA,"Senior Advisor, Brysam Global Partners, LLCO",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Board President
Marjorie Weinberg-Berman,Trustee,Adelphi University,,,"Limited Partner, Goldman, Sachs & Co",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Helene R. Sullivan,Vice Chairman,Adelphi University,,Adelphi 1979 BBA,"Chief Financial Officer, Save the Children Federation, Inc",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Board Vice President
Patrick S. Smalley,Trustee,Adelphi University,,,,120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Dr. Robert Allyn Scott,Ex Officio Trustee,Adelphi University,,,,120.0,,,71965598.0,Adelphi University,188429.0,True,,,,"Trustee, Ex Officio"
Lois Carter Schlissel,Trustee,Adelphi University,,SUNY (Oswego) 1972 BA; Buffalo 1975 JD,"Managing Attorney and Member [Chair, Management Committee], Meyer, Suozzi, English and Klein P.C 990 Stewart Avenue, Suite 300, Garden City, NY 11530",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Gary Rosenberg,Trustee,Adelphi University,,Adelphi 1963 MSW,"Edith J. Baerwald Professor and Chief, Division of Social Work and Behavioral Science, Department of Community and Preventive Medicine, The Mount Sinai Medical Center, Inc One Gustave L. Levy Place, New York, NY 10029",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Grace Pilcer,Trustee,Adelphi University,,"Adelphi 1967 MA, 1984 PhD",,120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
"Thomas F. ""Tom"" Motamed",Trustee,Adelphi University,,Adelphi 1971; Widener 1975 JD,"Chairman and Chief Executive Officer, CNA Financial Corporation CNA Center, 333 South Wabash Avenue, Chicago, IL 60604",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
