Year,Name,Position,Institution,SubInstitution,Education,AffiliationId,carnegie_id,PrimarySample,level_0,index,StateSystem,FixedPosition
2018,"Leonard C. Achan, RN, ANP",Trustee,Adelphi University,,Adelphi 1999 BSN; NYU MA,71965598.0,188429.0,True,,,,Trustee
2018,"Robert Bruce ""Bob"" Willumstad",Trustee,Adelphi University,,Adelphi BA,71965598.0,188429.0,True,,,,Trustee
2018,"Dr. William Tenet, FACC",Trustee,Adelphi University,,Adelphi 1975,71965598.0,188429.0,True,,,,Trustee
2018,Helene R. Sullivan,Trustee,Adelphi University,,Adelphi 1979 BBA,71965598.0,188429.0,True,,,,Trustee
2018,Marc S. Strachan,Trustee,Adelphi University,,Adelphi 1981 BBA,71965598.0,188429.0,True,,,,Trustee
2018,Patrick S. Smalley,Trustee,Adelphi University,,,71965598.0,188429.0,True,,,,Trustee
2018,Lois Carter Schlissel,Secretary,Adelphi University,Meyer Suozzi English & Klein Pc,SUNY (Oswego) 1972 BA; Buffalo 1975 JD,71965598.0,188429.0,True,,,,Other Board Member
2018,Paul J. Salerno,Trustee,Adelphi University,,,71965598.0,188429.0,True,,,,Trustee
2018,"Dr. Christine Marie ""Chris"" Riordan",Ex Officio Trustee,Adelphi University,,,71965598.0,188429.0,True,,,,"Trustee, Ex Officio"
2018,Humera Qazi,Trustee,Adelphi University,,Adelphi 1993 BBA,71965598.0,188429.0,True,,,,Trustee
2018,Peter Principato,Trustee,Adelphi University,,,71965598.0,188429.0,True,,,,Trustee
2018,Ivaylo Ninov,Trustee,Adelphi University,,,71965598.0,188429.0,True,,,,Trustee
2018,Dr. Susan H. Murphy,Vice Chair,Adelphi University,,,71965598.0,188429.0,True,,,,Board Vice President
2018,Charles Tolbert,Trustee,Adelphi University,,,71965598.0,188429.0,True,,,,Trustee
2018,Dennis J. McDonagh,Trustee,Adelphi University,,Adelphi 1978 BA,71965598.0,188429.0,True,,,,Trustee
2018,Dr. Arun Agrawal,Trustee,Adelphi University,,,71965598.0,188429.0,True,,,,Trustee
