Source,Target,Type,Weight,Year
Case Western Reserve University,Columbia University,Undirected,1,1999
Carnegie Mellon University,Duquesne University,Undirected,1,1999
Carnegie Mellon University,Duquesne University,Undirected,1,1999
Carnegie Mellon University,Duquesne University,Undirected,1,1999
Clark Atlanta University,Emory University,Undirected,1,1999
Brandeis University,Fordham University,Undirected,1,1999
Fordham University,Georgetown University,Undirected,1,1999
California Institute Of Technology,Harvard University,Undirected,1,1999
Brown University,Johns Hopkins University,Undirected,1,1999
Howard University,Johns Hopkins University,Undirected,1,1999
Andrews University,Loma Linda University,Undirected,1,1999
Andrews University,Loma Linda University,Undirected,1,1999
Illinois Institute Of Technology,Loyola University Chicago,Undirected,1,1999
George Washington University,Marquette University,Undirected,1,1999
Boston University,Massachusetts Institute Of Technology,Undirected,1,1999
George Washington University,Massachusetts Institute Of Technology,Undirected,1,1999
Dartmouth College,New School University,Undirected,1,1999
Georgetown University,New York University,Undirected,1,1999
Arizona State University,Northern Arizona University,Undirected,1,1999
Arizona State University,Northern Arizona University,Undirected,1,1999
Arizona State University,Northern Arizona University,Undirected,1,1999
Arizona State University,Northern Arizona University,Undirected,1,1999
Arizona State University,Northern Arizona University,Undirected,1,1999
Arizona State University,Northern Arizona University,Undirected,1,1999
Arizona State University,Northern Arizona University,Undirected,1,1999
Arizona State University,Northern Arizona University,Undirected,1,1999
Arizona State University,Northern Arizona University,Undirected,1,1999
Arizona State University,Northern Arizona University,Undirected,1,1999
Arizona State University,Northern Arizona University,Undirected,1,1999
Case Western Reserve University,Ohio State University,Undirected,1,1999
Kent State University,Ohio University,Undirected,1,1999
Kent State University,Ohio University,Undirected,1,1999
Kent State University,Ohio University,Undirected,1,1999
Kent State University,Ohio University,Undirected,1,1999
Kent State University,Ohio University,Undirected,1,1999
Kent State University,Ohio University,Undirected,1,1999
Kent State University,Ohio University,Undirected,1,1999
Kent State University,Ohio University,Undirected,1,1999
Kent State University,Ohio University,Undirected,1,1999
Kent State University,Ohio University,Undirected,1,1999
Kent State University,Ohio University,Undirected,1,1999
Hampton University,Old Dominion University,Undirected,1,1999
California Institute Of Technology,Pepperdine University,Undirected,1,1999
George Washington University,Pepperdine University,Undirected,1,1999
Polytechnic University,Rensselaer Polytechnic Institute,Undirected,1,1999
Princeton University,Rice University,Undirected,1,1999
Lehigh University,Seton Hall University,Undirected,1,1999
Adelphi University,State University Of New York At Albany,Undirected,1,1999
Pennsylvania State University,Temple University,Undirected,1,1999
Pennsylvania State University,Temple University,Undirected,1,1999
Brandeis University,Tufts University,Undirected,1,1999
Kent State University,University Of Akron,Undirected,1,1999
Ohio University,University Of Akron,Undirected,1,1999
Kent State University,University Of Akron,Undirected,1,1999
Ohio University,University Of Akron,Undirected,1,1999
Kent State University,University Of Akron,Undirected,1,1999
Ohio University,University Of Akron,Undirected,1,1999
Kent State University,University Of Akron,Undirected,1,1999
Ohio University,University Of Akron,Undirected,1,1999
Kent State University,University Of Akron,Undirected,1,1999
Ohio University,University Of Akron,Undirected,1,1999
Kent State University,University Of Akron,Undirected,1,1999
Ohio University,University Of Akron,Undirected,1,1999
Kent State University,University Of Akron,Undirected,1,1999
Ohio University,University Of Akron,Undirected,1,1999
Kent State University,University Of Akron,Undirected,1,1999
Ohio University,University Of Akron,Undirected,1,1999
Kent State University,University Of Akron,Undirected,1,1999
Ohio University,University Of Akron,Undirected,1,1999
Kent State University,University Of Akron,Undirected,1,1999
Ohio University,University Of Akron,Undirected,1,1999
Kent State University,University Of Akron,Undirected,1,1999
Ohio University,University Of Akron,Undirected,1,1999
Auburn University,University Of Alabama,Undirected,1,1999
Arizona State University,University Of Arizona,Undirected,1,1999
Northern Arizona University,University Of Arizona,Undirected,1,1999
Arizona State University,University Of Arizona,Undirected,1,1999
Northern Arizona University,University Of Arizona,Undirected,1,1999
Arizona State University,University Of Arizona,Undirected,1,1999
Northern Arizona University,University Of Arizona,Undirected,1,1999
Arizona State University,University Of Arizona,Undirected,1,1999
Northern Arizona University,University Of Arizona,Undirected,1,1999
Arizona State University,University Of Arizona,Undirected,1,1999
Northern Arizona University,University Of Arizona,Undirected,1,1999
Arizona State University,University Of Arizona,Undirected,1,1999
Northern Arizona University,University Of Arizona,Undirected,1,1999
Arizona State University,University Of Arizona,Undirected,1,1999
Northern Arizona University,University Of Arizona,Undirected,1,1999
Arizona State University,University Of Arizona,Undirected,1,1999
Northern Arizona University,University Of Arizona,Undirected,1,1999
Arizona State University,University Of Arizona,Undirected,1,1999
Tufts University,University Of Chicago,Undirected,1,1999
Illinois Institute Of Technology,University Of Chicago,Undirected,1,1999
Marquette University,University Of Chicago,Undirected,1,1999
New School University,University Of Chicago,Undirected,1,1999
Kent State University,University Of Cincinnati,Undirected,1,1999
Ohio University,University Of Cincinnati,Undirected,1,1999
University Of Akron,University Of Cincinnati,Undirected,1,1999
Kent State University,University Of Cincinnati,Undirected,1,1999
Ohio University,University Of Cincinnati,Undirected,1,1999
University Of Akron,University Of Cincinnati,Undirected,1,1999
Kent State University,University Of Cincinnati,Undirected,1,1999
Ohio University,University Of Cincinnati,Undirected,1,1999
University Of Akron,University Of Cincinnati,Undirected,1,1999
Kent State University,University Of Cincinnati,Undirected,1,1999
Ohio University,University Of Cincinnati,Undirected,1,1999
University Of Akron,University Of Cincinnati,Undirected,1,1999
Kent State University,University Of Cincinnati,Undirected,1,1999
Ohio University,University Of Cincinnati,Undirected,1,1999
University Of Akron,University Of Cincinnati,Undirected,1,1999
Kent State University,University Of Cincinnati,Undirected,1,1999
Ohio University,University Of Cincinnati,Undirected,1,1999
University Of Akron,University Of Cincinnati,Undirected,1,1999
Kent State University,University Of Cincinnati,Undirected,1,1999
Ohio University,University Of Cincinnati,Undirected,1,1999
University Of Akron,University Of Cincinnati,Undirected,1,1999
Kent State University,University Of Cincinnati,Undirected,1,1999
Ohio University,University Of Cincinnati,Undirected,1,1999
University Of Akron,University Of Cincinnati,Undirected,1,1999
Kent State University,University Of Cincinnati,Undirected,1,1999
Ohio University,University Of Cincinnati,Undirected,1,1999
University Of Akron,University Of Cincinnati,Undirected,1,1999
Kent State University,University Of Cincinnati,Undirected,1,1999
Ohio University,University Of Cincinnati,Undirected,1,1999
University Of Akron,University Of Cincinnati,Undirected,1,1999
Tufts University,University Of Delaware,Undirected,1,1999
Georgetown University,University Of Delaware,Undirected,1,1999
Idaho State University,University Of Idaho,Undirected,1,1999
Idaho State University,University Of Idaho,Undirected,1,1999
Depaul University,University Of Illinois At Urbana Champaign,Undirected,1,1999
Kansas State University,University Of Kansas,Undirected,1,1999
Kansas State University,University Of Kansas,Undirected,1,1999
Kansas State University,University Of Kansas,Undirected,1,1999
Kansas State University,University Of Kansas,Undirected,1,1999
Kansas State University,University Of Kansas,Undirected,1,1999
Kansas State University,University Of Kansas,Undirected,1,1999
Kansas State University,University Of Kansas,Undirected,1,1999
Kansas State University,University Of Kansas,Undirected,1,1999
Mississippi State University,University Of Mississippi,Undirected,1,1999
Mississippi State University,University Of Mississippi,Undirected,1,1999
Mississippi State University,University Of Mississippi,Undirected,1,1999
Mississippi State University,University Of Mississippi,Undirected,1,1999
Mississippi State University,University Of Mississippi,Undirected,1,1999
Mississippi State University,University Of Mississippi,Undirected,1,1999
Mississippi State University,University Of Mississippi,Undirected,1,1999
Mississippi State University,University Of Mississippi,Undirected,1,1999
Mississippi State University,University Of Mississippi,Undirected,1,1999
New Mexico State University,University Of New Mexico,Undirected,1,1999
Middle Tennessee State University,University Of North Texas,Undirected,1,1999
New York University,University Of Notre Dame,Undirected,1,1999
New Jersey Institute Of Technology,University Of Notre Dame,Undirected,1,1999
