Id,Label,Interlock_Count,AffiliationId,female_president,control,region
Adelphi University,Adelphi University,39,71965598.0,False,Private,Northeast
Andrews University,Andrews University,80,102298084.0,False,Private,Midwest
Arizona State University,Arizona State University,168,55732556.0,False,Public,West
Auburn University,Auburn University,46,82497590.0,False,Public,South
Ball State University,Ball State University,7,198089087.0,False,Public,Midwest
Baylor University,Baylor University,17,157394403.0,False,Private,South
Boston College,Boston College,91,103531236.0,False,Private,Northeast
Boston University,Boston University,54,111088046.0,False,Private,Northeast
Brandeis University,Brandeis University,70,6902469.0,False,Private,Northeast
Brown University,Brown University,57,27804330.0,True,Private,Northeast
California Institute Of Technology,California Institute Of Technology,73,122411786.0,False,Private,West
Carnegie Mellon University,Carnegie Mellon University,92,74973139.0,False,Private,Northeast
Case Western Reserve University,Case Western Reserve University,15,58956616.0,False,Private,Midwest
Catholic University Of America,Catholic University Of America,28,84470341.0,False,Private,Northeast
Central Michigan University,Central Michigan University,3,1629065.0,False,Public,Midwest
Chapman University,Chapman University,23,185071736.0,False,Private,West
Clark Atlanta University,Clark Atlanta University,14,52064589.0,False,Private,South
Clark University,Clark University,5,130785548.0,False,Private,Northeast
Clarkson University,Clarkson University,7,16944753.0,False,Private,Northeast
Clemson University,Clemson University,5,8078737.0,False,Public,South
Cleveland State University,Cleveland State University,50,102607778.0,False,Public,Midwest
College Of William And Mary,College Of William And Mary,2,16285277.0,False,Public,South
Columbia University,Columbia University,52,78577930.0,False,Private,Northeast
Cornell University,Cornell University,124,205783295.0,False,Private,Northeast
Creighton University,Creighton University,20,114493937.0,False,Private,Midwest
Dartmouth College,Dartmouth College,25,107672454.0,False,Private,Northeast
Depaul University,Depaul University,17,118353179.0,False,Private,Midwest
Drexel University,Drexel University,34,72816309.0,False,Private,Northeast
Duke University,Duke University,33,170897317.0,False,Private,South
Duquesne University,Duquesne University,52,165102784.0,False,Private,Northeast
East Tennessee State University,East Tennessee State University,469,119443389.0,False,Public,South
Emory University,Emory University,28,150468666.0,False,Private,South
Florida Institute Of Technology,Florida Institute Of Technology,2,106959904.0,False,Private,South
Fordham University,Fordham University,59,164389053.0,False,Private,Northeast
Gallaudet University,Gallaudet University,2,66108857.0,False,Private,Northeast
George Mason University,George Mason University,1,162714631.0,False,Public,South
George Washington University,George Washington University,33,193531525.0,False,Private,Northeast
