Id,Source,Target,Type,Weight,Year
e1,Case Western Reserve University,Columbia University,Undirected,1,1999
e2,Carnegie Mellon University,Duquesne University,Undirected,1,1999
e3,Carnegie Mellon University,Duquesne University,Undirected,1,1999
e4,Carnegie Mellon University,Duquesne University,Undirected,1,1999
e5,Clark Atlanta University,Emory University,Undirected,1,1999
e6,Brandeis University,Fordham University,Undirected,1,1999
e7,Fordham University,Georgetown University,Undirected,1,1999
e8,California Institute Of Technology,Harvard University,Undirected,1,1999
e9,Brown University,Johns Hopkins University,Undirected,1,1999
e10,Howard University,Johns Hopkins University,Undirected,1,1999
e11,Andrews University,Loma Linda University,Undirected,1,1999
e12,Andrews University,Loma Linda University,Undirected,1,1999
e13,Illinois Institute Of Technology,Loyola University Chicago,Undirected,1,1999
e14,George Washington University,Marquette University,Undirected,1,1999
e15,Boston University,Massachusetts Institute Of Technology,Undirected,1,1999
e16,George Washington University,Massachusetts Institute Of Technology,Undirected,1,1999
e17,Dartmouth College,New School University,Undirected,1,1999
e18,Georgetown University,New York University,Undirected,1,1999
e19,Case Western Reserve University,Ohio State University,Undirected,1,1999
e20,Hampton University,Old Dominion University,Undirected,1,1999
e21,California Institute Of Technology,Pepperdine University,Undirected,1,1999
e22,George Washington University,Pepperdine University,Undirected,1,1999
e23,Polytechnic University,Rensselaer Polytechnic Institute,Undirected,1,1999
e24,Princeton University,Rice University,Undirected,1,1999
e25,Lehigh University,Seton Hall University,Undirected,1,1999
e26,Adelphi University,State University Of New York At Albany,Undirected,1,1999
e27,Pennsylvania State University,Temple University,Undirected,1,1999
e28,Pennsylvania State University,Temple University,Undirected,1,1999
e29,Brandeis University,Tufts University,Undirected,1,1999
e30,Auburn University,University Of Alabama,Undirected,1,1999
e31,Tufts University,University Of Chicago,Undirected,1,1999
e32,Illinois Institute Of Technology,University Of Chicago,Undirected,1,1999
e33,Marquette University,University Of Chicago,Undirected,1,1999
e34,New School University,University Of Chicago,Undirected,1,1999
e35,Tufts University,University Of Delaware,Undirected,1,1999
e36,Georgetown University,University Of Delaware,Undirected,1,1999
e37,Depaul University,University Of Illinois At Urbana Champaign,Undirected,1,1999
e38,New Mexico State University,University Of New Mexico,Undirected,1,1999
e39,Middle Tennessee State University,University Of North Texas,Undirected,1,1999
e40,New York University,University Of Notre Dame,Undirected,1,1999
e41,New Jersey Institute Of Technology,University Of Notre Dame,Undirected,1,1999
e42,Carnegie Mellon University,University Of Oklahoma,Undirected,1,1999
e43,Oklahoma State University,University Of Oklahoma,Undirected,1,1999
e44,Oklahoma State University,University Of Oklahoma,Undirected,1,1999
e45,Oklahoma State University,University Of Oklahoma,Undirected,1,1999
e46,Hofstra University,University Of Pittsburgh,Undirected,1,1999
e47,Carnegie Mellon University,University Of Pittsburgh,Undirected,1,1999
e48,New Jersey Institute Of Technology,University Of Pittsburgh,Undirected,1,1999
e49,Rochester Institute Of Technology,University Of Rochester,Undirected,1,1999
e50,Johns Hopkins University,University Of Rochester,Undirected,1,1999
e51,University Of Chicago,University Of Rochester,Undirected,1,1999
e52,University Of Alabama,University Of South Alabama,Undirected,1,1999
e53,Auburn University,University Of South Alabama,Undirected,1,1999
e54,Carnegie Mellon University,University Of Southern California,Undirected,1,1999
e55,Loyola Marymount University,University Of Southern California,Undirected,1,1999
e56,Marquette University,University Of St Thomas Minnesota,Undirected,1,1999
