;Columbia University;Carnegie Mellon University;Duquesne University;Clark Atlanta University;Emory University;Brandeis University;Fordham University;Georgetown University;California Institute Of Technology;Harvard University;Brown University;Johns Hopkins University;Howard University;Illinois Institute Of Technology;Loyola University Chicago;George Washington University;Marquette University;Boston University;Massachusetts Institute Of Technology;Dartmouth College;New School University;New York University;Pepperdine University;Polytechnic University;Rensselaer Polytechnic Institute;Princeton University;Rice University;Lehigh University;Seton Hall University;Adelphi University;State University Of New York At Albany;Pennsylvania State University;Temple University;Tufts University;Auburn University;University Of Alabama;University Of Chicago;University Of Delaware;Idaho State University;University Of Idaho;Depaul University;University Of Illinois At Urbana Champaign;New Mexico State University;University Of New Mexico;University Of Notre Dame;New Jersey Institute Of Technology;Oklahoma State University;University Of Oklahoma;Hofstra University;University Of Pittsburgh;University Of Rochester;Rochester Institute Of Technology;University Of South Alabama;Loyola Marymount University;University Of Southern California;University Of St Thomas Minnesota;University Of Tulsa;University Of Utah;Utah State University;Villanova University;University Of North Carolina At Greensboro;Wake Forest University;Indiana University Of Pennsylvania;West Chester University Of Pennsylvania;Marshall University;West Virginia University;Thomas Jefferson University;Widener University;Worcester Polytechnic Institute;University Of Connecticut;Yale University;University Of Washington;University Of Massachusetts Worcester;Chapman University;Cleveland State University;Stanford University;Cornell University;Creighton University;Boston College;University Of San Diego;University Of Dayton;Rockefeller University;Saint Louis University;Catholic University Of America;Stevens Institute Of Technology;University At Albany Suny;Central Michigan University;University Of Michigan;University Of Pennsylvania;University Of San Francisco;University Of Texas At Brownsville/Texas Southmost College;Yeshiva University;James Madison University;Duke University;Florida Institute Of Technology;Miami University;Mercer University;Clarkson University;St Johns University;Union Institute;Union Institute & University;Ball State University;University Of South Carolina;University Of Virginia;Virginia Polytechnic Institute And State University;Vanderbilt University;Drexel University;Washington State University;Washington University;Baylor College Of Medicine;Baylor University;Southern Methodist University;Boise State University;Clark University;Florida Agricultural And Mechanical University;Gallaudet University;Clemson University;New School;Northeastern University;Northwestern University;Nova Southeastern University;Syracuse University;University Of North Carolina At Charlotte;Virginia Commonwealth University;Florida State University;North Dakota State University;Virginia Tech;College Of William And Mary;Long Island University;Polytechnic Institute Of New York University;Rutgers State University Of New Jersey;Texas Christian University;Purdue University;Montclair State University;George Mason University;University Of Denver;University Of Pacific
Columbia University;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;2;0;0;0;0;0;7;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carnegie Mellon University;0;0;16;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;2;0;20;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Duquesne University;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clark Atlanta University;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Emory University;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brandeis University;4;0;0;0;0;0;5;0;0;5;0;0;0;0;0;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;1;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fordham University;0;0;0;0;0;5;0;13;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;1;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Georgetown University;0;0;0;0;0;0;13;0;0;0;0;0;0;0;2;0;0;0;0;0;1;14;3;0;5;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;1;1;0;0;3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
California Institute Of Technology;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;9;0;0;0;5;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Harvard University;0;0;0;0;0;5;0;0;10;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
