carnegie_id,AffiliationId,year,student.size,student.enrollment.all,student.demographics.race_ethnicity.white,student.demographics.race_ethnicity.black,student.demographics.race_ethnicity.hispanic,student.demographics.race_ethnicity.asian,student.demographics.race_ethnicity.aian,student.demographics.race_ethnicity.nhpi,student.demographics.race_ethnicity.two_or_more,student.demographics.race_ethnicity.non_resident_alien,student.demographics.race_ethnicity.unknown,student.demographics.race_ethnicity.white_non_hispanic,student.demographics.race_ethnicity.black_non_hispanic,student.demographics.race_ethnicity.asian_pacific_islander,student.demographics.race_ethnicity.aian_prior_2009,student.demographics.race_ethnicity.hispanic_prior_2009,student.demographics.race_ethnicity.unknown_2000,student.demographics.race_ethnicity.white_2000,student.demographics.race_ethnicity.black_2000,student.demographics.race_ethnicity.api_2000,student.demographics.race_ethnicity.aian_2000,student.demographics.race_ethnicity.hispanic_2000
100663.0,32389192.0,2001,9183.0,,,,,,,,,0.033,0.0255,0.5939,0.3048,0.0299,0.0035,0.0094,,,,,,
100663.0,32389192.0,2002,9714.0,,,,,,,,,0.0338,0.024,0.5928,0.3057,0.0292,0.0043,0.0102,,,,,,
100663.0,32389192.0,2003,10381.0,,,,,,,,,0.0353,0.0218,0.5729,0.3241,0.0301,0.0051,0.0109,,,,,,
100663.0,32389192.0,2004,10854.0,,,,,,,,,0.0301,0.0209,0.5751,0.3274,0.0319,0.0036,0.011,,,,,,
100663.0,32389192.0,2005,11060.0,,,,,,,,,0.0239,0.0217,0.5843,0.3212,0.0338,0.0042,0.0109,,,,,,
100663.0,32389192.0,2006,10884.0,,,,,,,,,0.0232,0.0222,0.5906,0.3074,0.0394,0.0045,0.0127,,,,,,
100663.0,32389192.0,2007,10381.0,,,,,,,,,0.0214,0.0308,0.5944,0.2937,0.0421,0.0031,0.0145,,,,,,
100663.0,32389192.0,2008,9989.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217,0.0369,0.6035,0.273,0.044,0.0042,0.0166,,,,,,
100663.0,32389192.0,2009,10265.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212,0.0443,0.607,0.2624,0.0419,0.0048,0.0183,,,,,,
100663.0,32389192.0,2010,10661.0,,0.6036,0.2673,0.0202,0.0413,0.0032,0.0008,0.0114,0.0178,0.0344,,,,,,,,,,,
100663.0,32389192.0,2011,10854.0,,0.596,0.2684,0.022,0.0446,0.0029,0.0006,0.0217,0.0161,0.0276,,,,,,,,,,,
100663.0,32389192.0,2012,11014.0,,0.5937,0.2654,0.0246,0.0474,0.0026,0.0008,0.0294,0.0157,0.0203,,,,,,,,,,,
100663.0,32389192.0,2013,11200.0,,0.5987,0.259,0.0258,0.0518,0.0026,0.0007,0.0344,0.014,0.013,,,,,,,,,,,
100663.0,32389192.0,2014,11383.0,,0.5922,0.26,0.0283,0.0518,0.0022,0.0007,0.0368,0.0179,0.01,,,,,,,,,,,
100663.0,32389192.0,2015,11269.0,,0.5863,0.2541,0.0317,0.0595,0.0023,0.0006,0.0389,0.0181,0.0085,,,,,,,,,,,
100663.0,32389192.0,2016,12047.0,,0.5786,0.2626,0.0309,0.0598,0.0028,0.0004,0.0387,0.0179,0.0083,,,,,,,,,,,
100663.0,32389192.0,2017,12866.0,,0.5784,0.2585,0.0333,0.0588,0.0033,0.0002,0.0408,0.0195,0.0072,,,,,,,,,,,
100663.0,32389192.0,2018,13186.0,,0.5717,0.2553,0.0334,0.0633,0.0034,0.0002,0.0457,0.0213,0.0058,,,,,,,,,,,
100663.0,32389192.0,2019,13328.0,,0.5586,0.2414,0.0565,0.0678,0.0022,0.0003,0.0446,0.023,0.0056,,,,,,,,,,,
100663.0,32389192.0,2020,13549.0,,0.5496,0.2401,0.061,0.0704,0.0024,0.0004,0.0469,0.0232,0.0059,,,,,,,,,,,
100663.0,32389192.0,2021,13284.0,,0.5297,0.2458,0.0669,0.0767,0.0021,0.0004,0.0483,0.0233,0.0068,,,,,,,,,,,
100706.0,82495205.0,2001,4541.0,,,,,,,,,0.0396,0.0,0.739,0.1438,0.0366,0.0216,0.0194,,,,,,
100706.0,82495205.0,2002,4664.0,,,,,,,,,0.0369,0.0002,0.7404,0.146,0.0367,0.0197,0.0202,,,,,,
100706.0,82495205.0,2003,4966.0,,,,,,,,,0.0298,0.0028,0.7477,0.1424,0.0377,0.0173,0.0224,,,,,,
100706.0,82495205.0,2004,5125.0,,,,,,,,,0.0318,0.0023,0.7502,0.1473,0.0351,0.0148,0.0183,,,,,,
100706.0,82495205.0,2005,5232.0,,,,,,,,,0.0361,0.0094,0.7454,0.1443,0.0325,0.0111,0.0212,,,,,,
100706.0,82495205.0,2006,5529.0,,,,,,,,,0.0291,0.0161,0.7381,0.1479,0.0318,0.0145,0.0224,,,,,,
100706.0,82495205.0,2007,5562.0,,,,,,,,,0.0327,0.0194,0.7301,0.1487,0.0302,0.016,0.0228,,,,,,
100706.0,82495205.0,2008,5689.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0202,0.7246,0.154,0.0276,0.016,0.0227,,,,,,
100706.0,82495205.0,2009,5956.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309,0.026,0.7262,0.1469,0.029,0.017,0.024,,,,,,
100706.0,82495205.0,2010,5828.0,,0.7181,0.1495,0.0252,0.0321,0.0142,0.0002,0.0153,0.0278,0.0177,,,,,,,,,,,
100706.0,82495205.0,2011,5755.0,,0.7117,0.1444,0.0276,0.0346,0.0158,0.0003,0.0137,0.0259,0.0259,,,,,,,,,,,
100706.0,82495205.0,2012,5703.0,,0.7019,0.1408,0.0344,0.033,0.0146,0.0002,0.0147,0.0293,0.0312,,,,,,,,,,,
