carnegie_id,AffiliationId,year,student.demographics.student_faculty_ratio,student.demographics.faculty.race_ethnicity.two_or_more,student.demographics.faculty.race_ethnicity.aian,student.demographics.faculty.race_ethnicity.asian,student.demographics.faculty.race_ethnicity.black,student.demographics.faculty.race_ethnicity.hispanic,student.demographics.faculty.race_ethnicity.nhpi,student.demographics.faculty.race_ethnicity.non_resident_alien,student.demographics.faculty.race_ethnicity.unknown,student.demographics.faculty.race_ethnicity.white,student.demographics.faculty.men,student.demographics.faculty.women
100663.0,32389192.0,2001,,,0.0022,0.0322,0.0437,0.0137,,0.1672,0.0,0.741,0.3055,0.6945
100663.0,32389192.0,2002,,,,,,,,,,,,
100663.0,32389192.0,2003,,,0.0031,0.1044,0.045,0.0212,,0.0502,0.0,0.7761,0.3133,0.6867
100663.0,32389192.0,2004,,,,,,,,,,,,
100663.0,32389192.0,2005,,,0.0036,0.1119,0.047,0.0266,,0.0501,0.0,0.7609,0.3301,0.6699
100663.0,32389192.0,2006,,,,,,,,,,,,
100663.0,32389192.0,2007,,,0.0034,0.1196,0.0498,0.0268,,0.042,0.0,0.7584,0.3602,0.6398
100663.0,32389192.0,2008,16.0,,,,,,,,,,,
100663.0,32389192.0,2009,17.0,,0.003,0.1362,0.0518,0.0316,,0.0261,0.0005,0.7509,0.3735,0.6265
100663.0,32389192.0,2010,17.0,,,,,,,,,,,
100663.0,32389192.0,2011,18.0,0.001,0.0019,0.1341,0.0549,0.0321,0.0005,0.0272,0.0,0.7483,0.3848,0.6152
100663.0,32389192.0,2012,18.0,,,,,,,,,,,
100663.0,32389192.0,2013,18.0,0.0022,0.0013,0.1399,0.0602,0.0303,0.0,0.0267,0.0,0.7393,0.3948,0.6052
100663.0,32389192.0,2014,18.0,,,,,,,,,,,
100663.0,32389192.0,2015,18.0,0.0053,0.0018,0.1473,0.0569,0.0309,0.0004,0.0304,0.0,0.7271,0.3964,0.6036
100663.0,32389192.0,2016,16.0,0.0066,0.0018,0.1539,0.0576,0.033,0.0,0.0321,0.0,0.715,0.4019,0.5981
100663.0,32389192.0,2017,19.0,0.0073,0.0017,0.1524,0.0625,0.0304,0.0009,0.039,0.0004,0.7055,0.4054,0.5946
100663.0,32389192.0,2018,19.0,0.007,0.0016,0.1522,0.063,0.0307,0.0004,0.0471,0.0012,0.6968,0.4141,0.5859
100663.0,32389192.0,2019,19.0,0.0071,0.0016,0.155,0.0614,0.0309,0.0004,0.0543,0.0004,0.6889,0.4289,0.5711
100663.0,32389192.0,2020,20.0,0.0067,0.002,0.1564,0.0601,0.0314,0.0008,0.0597,0.0008,0.682,0.4347,0.5653
100663.0,32389192.0,2021,19.0,0.0081,0.0015,0.1575,0.0619,0.0319,0.0012,0.0569,0.0004,0.6808,0.4433,0.5567
100706.0,82495205.0,2001,,,0.0,0.125,0.0227,0.0114,,0.0189,0.0,0.822,0.3523,0.6477
100706.0,82495205.0,2002,,,,,,,,,,,,
100706.0,82495205.0,2003,,,0.0,0.1126,0.041,0.0171,,0.0375,0.0,0.7918,0.3413,0.6587
100706.0,82495205.0,2004,,,,,,,,,,,,
100706.0,82495205.0,2005,,,0.0033,0.1171,0.0468,0.0134,,0.0334,0.0,0.786,0.3612,0.6388
100706.0,82495205.0,2006,,,,,,,,,,,,
100706.0,82495205.0,2007,,,0.0033,0.1115,0.0492,0.0197,,0.059,0.0,0.7574,0.3574,0.6426
100706.0,82495205.0,2008,16.0,,,,,,,,,,,
100706.0,82495205.0,2009,17.0,,0.0032,0.1374,0.0575,0.0192,,0.0224,0.0,0.7604,0.3706,0.6294
100706.0,82495205.0,2010,16.0,,,,,,,,,,,
100706.0,82495205.0,2011,16.0,0.0,0.0,0.1401,0.0478,0.0287,0.0,0.0096,0.0,0.7739,0.3631,0.6369
100706.0,82495205.0,2012,16.0,,,,,,,,,,,
100706.0,82495205.0,2013,16.0,0.0,0.0032,0.1474,0.0449,0.0224,0.0,0.0288,0.0,0.7532,0.3878,0.6122
100706.0,82495205.0,2014,16.0,,,,,,,,,,,
100706.0,82495205.0,2015,16.0,0.0031,0.0,0.1558,0.0405,0.0249,0.0031,0.0498,0.0,0.7227,0.4174,0.5826
100706.0,82495205.0,2016,17.0,0.0031,0.0,0.1651,0.0367,0.0245,0.0031,0.0336,0.0,0.7339,0.4281,0.5719
100706.0,82495205.0,2017,16.0,0.0029,0.0,0.1676,0.0462,0.0231,0.0029,0.0376,0.0,0.7197,0.448,0.552
100706.0,82495205.0,2018,17.0,0.0029,0.0,0.1729,0.049,0.0202,0.0029,0.0461,0.0,0.7061,0.4496,0.5504
100706.0,82495205.0,2019,19.0,0.0028,0.0028,0.1708,0.0551,0.022,0.0,0.0496,0.0,0.697,0.4601,0.5399
100706.0,82495205.0,2020,19.0,0.0028,0.0057,0.1785,0.051,0.0198,0.0,0.051,0.0,0.6912,0.4504,0.5496
100706.0,82495205.0,2021,19.0,0.0028,0.0085,0.1823,0.0513,0.0256,0.0,0.0484,0.0,0.6809,0.4644,0.5356
