Source,Target,Year
Abilene Christian University,George Washington University,1999
Abilene Christian University,Pepperdine University,1999
George Washington University,Pepperdine University,1999
Adelphi University,State University Of New York At Albany,1999
Allegheny College,Carnegie Mellon University,1999
Allegheny College,Duquesne University,1999
Carnegie Mellon University,Duquesne University,1999
Andrews University,Loma Linda University,1999
Andrews University,Loma Linda University,1999
Arizona State University,Northern Arizona University,1999
Arizona State University,University Of Arizona,1999
Northern Arizona University,University Of Arizona,1999
Arizona State University,Northern Arizona University,1999
Arizona State University,University Of Arizona,1999
Northern Arizona University,University Of Arizona,1999
Arizona State University,Northern Arizona University,1999
Arizona State University,Northern Arizona University,1999
Arizona State University,University Of Arizona,1999
Northern Arizona University,University Of Arizona,1999
Arizona State University,Northern Arizona University,1999
Arizona State University,University Of Arizona,1999
Northern Arizona University,University Of Arizona,1999
Arizona State University,Northern Arizona University,1999
Arizona State University,University Of Arizona,1999
Northern Arizona University,University Of Arizona,1999
Arizona State University,Northern Arizona University,1999
Arizona State University,University Of Arizona,1999
Northern Arizona University,University Of Arizona,1999
Arizona State University,University Of Arizona,1999
Arizona State University,Northern Arizona University,1999
Arizona State University,University Of Arizona,1999
Northern Arizona University,University Of Arizona,1999
Arizona State University,Northern Arizona University,1999
Arizona State University,University Of Arizona,1999
Northern Arizona University,University Of Arizona,1999
Arizona State University,Northern Arizona University,1999
Arizona State University,University Of Arizona,1999
Northern Arizona University,University Of Arizona,1999
Auburn University,Tuskegee University,1999
Auburn University,University Of Alabama,1999
Auburn University,University Of South Alabama,1999
Tuskegee University,University Of Alabama,1999
Tuskegee University,University Of South Alabama,1999
University Of Alabama,University Of South Alabama,1999
Auburn University,University Of South Alabama,1999
Austin Peay State University,Tennessee Board Of Regents,1999
Austin Peay State University,Tennessee Board Of Regents,1999
Austin Peay State University,Tennessee Board Of Regents,1999
Austin Peay State University,Tennessee Board Of Regents,1999
Austin Peay State University,Tennessee Board Of Regents,1999
Austin Peay State University,East Tennessee State University,1999
Austin Peay State University,Tennessee Board Of Regents,1999
East Tennessee State University,Tennessee Board Of Regents,1999
Austin Peay State University,East Tennessee State University,1999
Austin Peay State University,Tennessee Board Of Regents,1999
East Tennessee State University,Tennessee Board Of Regents,1999
Austin Peay State University,East Tennessee State University,1999
Austin Peay State University,Tennessee Board Of Regents,1999
East Tennessee State University,Tennessee Board Of Regents,1999
Austin Peay State University,East Tennessee State University,1999
Austin Peay State University,Tennessee Board Of Regents,1999
East Tennessee State University,Tennessee Board Of Regents,1999
Austin Peay State University,East Tennessee State University,1999
Austin Peay State University,East Tennessee State University,1999
Austin Peay State University,Tennessee Board Of Regents,1999
East Tennessee State University,Tennessee Board Of Regents,1999
Austin Peay State University,East Tennessee State University,1999
Austin Peay State University,Tennessee Board Of Regents,1999
East Tennessee State University,Tennessee Board Of Regents,1999
Austin Peay State University,East Tennessee State University,1999
Austin Peay State University,Tennessee Board Of Regents,1999
East Tennessee State University,Tennessee Board Of Regents,1999
Austin Peay State University,East Tennessee State University,1999
Austin Peay State University,Tennessee Board Of Regents,1999
East Tennessee State University,Tennessee Board Of Regents,1999
Bard College,Bates College,1999
Bard College,Lawrence University,1999
Bates College,Lawrence University,1999
Barnard College,Manhattan College,1999
Barnard College,Institute For Advanced Study,1999
Beloit College,Oberlin College,1999
Beloit College,Institute For Advanced Study,1999
Birmingham Southern College,University Of Alabama,1999
Birmingham Southern College,Emory University,1999
Bloomsburg University Of Pennsylvania,Indiana University Of Pennsylvania,1999
Bloomsburg University Of Pennsylvania,Mansfield University Of Pennsylvania,1999
Bloomsburg University Of Pennsylvania,Slippery Rock University Of Pennsylvania,1999
Bloomsburg University Of Pennsylvania,West Chester University Of Pennsylvania,1999
Indiana University Of Pennsylvania,Mansfield University Of Pennsylvania,1999
Indiana University Of Pennsylvania,Slippery Rock University Of Pennsylvania,1999
