Year,Canonical_Name,Fuzzy_Matches,Institution_1,Institution_2
1999,Steven N Fischer,Steven N Fischer,Adelphi University,State University Of New York At Albany
1999,Robert S Folkenberg,Robert S Folkenberg,Andrews University,Loma Linda University
1999,Alfred C Mcclure,Alfred C Mcclure,Andrews University,Loma Linda University
1999,Kay Mckay,Kay Mckay,Arizona State University,Northern Arizona University
1999,Kay Mckay,Kay Mckay,Arizona State University,University Of Arizona
1999,Kay Mckay,Kay Mckay,Northern Arizona University,University Of Arizona
1999,Jennifer Reichelt,Jennifer Reichelt,Arizona State University,Northern Arizona University
1999,Jennifer Reichelt,Jennifer Reichelt,Arizona State University,University Of Arizona
1999,Jennifer Reichelt,Jennifer Reichelt,Northern Arizona University,University Of Arizona
1999,Donald J Ulrich,Donald J Ulrich,Arizona State University,Northern Arizona University
1999,John F Munger,John F Munger,Arizona State University,Northern Arizona University
1999,John F Munger,John F Munger,Arizona State University,University Of Arizona
1999,John F Munger,John F Munger,Northern Arizona University,University Of Arizona
1999,Lisa Graham Keegan,Lisa Graham Keegan,Arizona State University,Northern Arizona University
1999,Lisa Graham Keegan,Lisa Graham Keegan,Arizona State University,University Of Arizona
1999,Lisa Graham Keegan,Lisa Graham Keegan,Northern Arizona University,University Of Arizona
1999,Jane Dee Hull,Jane Dee Hull,Arizona State University,Northern Arizona University
1999,Jane Dee Hull,Jane Dee Hull,Arizona State University,University Of Arizona
1999,Jane Dee Hull,Jane Dee Hull,Northern Arizona University,University Of Arizona
1999,Chris Herstam,Chris Herstam,Arizona State University,Northern Arizona University
1999,Chris Herstam,Chris Herstam,Arizona State University,University Of Arizona
1999,Chris Herstam,Chris Herstam,Northern Arizona University,University Of Arizona
1999,Judy Gignac,Judy Gignac,Arizona State University,University Of Arizona
1999,Rudy E Campbell,Rudy E Campbell,Arizona State University,Northern Arizona University
1999,Rudy E Campbell,Rudy E Campbell,Arizona State University,University Of Arizona
1999,Rudy E Campbell,Rudy E Campbell,Northern Arizona University,University Of Arizona
1999,George H Amos,George H Amos,Arizona State University,Northern Arizona University
1999,George H Amos,George H Amos,Arizona State University,University Of Arizona
1999,George H Amos,George H Amos,Northern Arizona University,University Of Arizona
1999,Jack Jewett,Jack Jewett,Arizona State University,Northern Arizona University
1999,Jack Jewett,Jack Jewett,Arizona State University,University Of Arizona
1999,Jack Jewett,Jack Jewett,Northern Arizona University,University Of Arizona
1999,Ed Richardson,Ed Richardson,Auburn University,University Of Alabama
1999,Ed Richardson,Ed Richardson,Auburn University,University Of South Alabama
1999,Ed Richardson,Ed Richardson,University Of Alabama,University Of South Alabama
1999,Fob James,Fob James,Auburn University,University Of South Alabama
1999,Norman E Gaut,Norman E Gaut,Boston University,Massachusetts Institute Of Technology
1999,Henry L Foster,Henry L Foster,Brandeis University,Tufts University
1999,Robert Shapiro,Robert Shapiro,Brandeis University,Fordham University
1999,Joanne Leedomackerman,Joanne Leedomackerman,Brown University,Johns Hopkins University
1999,Gordon M Binder,Gordon M Binder,California Institute Of Technology,Pepperdine University
1999,Mildred S Dresselhaus,Mildred S Dresselhaus,California Institute Of Technology,Harvard University
1999,John G Rangos Sr,John G Rangos Sr,Carnegie Mellon University,Duquesne University
1999,Frank V Cahouet,Frank V Cahouet,Carnegie Mellon University,University Of Pittsburgh
1999,Carol R Brown,Carol R Brown,Carnegie Mellon University,Duquesne University
1999,Paul A Allaire,Paul A Allaire,Carnegie Mellon University,Worcester Polytechnic Institute
1999,David A Coulter,David A Coulter,Carnegie Mellon University,University Of Southern California
1999,Stanley R Gumberg,Stanley R Gumberg,Carnegie Mellon University,Duquesne University
1999,Stephen J Jatras,Stephen J Jatras,Carnegie Mellon University,University Of Oklahoma
1999,Stephen J Jatras,Stephen J Jatras,Carnegie Mellon University,University Of Tulsa
1999,Stephen J Jatras,Stephen J Jatras,University Of Oklahoma,University Of Tulsa
1999,David L Brennan,David L Brennan,Case Western Reserve University,Ohio State University
1999,Alfred Lerner,Alfred Lerner,Case Western Reserve University,Columbia University
1999,Most Rev Theodore E Mccarrick,Most Rev Theodore E Mccarrick,Catholic University Of America,Seton Hall University
1999,Marvin S Arrington Sr,Marvin S Arrington Sr,Clark Atlanta University,Emory University
1999,Cornelius L Henderson,Cornelius L Henderson,Clark Atlanta University,Emory University
1999,Jonathan Newcomb,Jonathan Newcomb,Dartmouth College,New School University
1999,Roger L Plummer,Roger L Plummer,Depaul University,University Of Illinois At Urbana Champaign
1999,William P Frank,William P Frank,Fordham University,Georgetown University
1999,Lawrence A Hough,Lawrence A Hough,George Washington University,Massachusetts Institute Of Technology
1999,J Mcdonald Williams,J Mcdonald Williams,George Washington University,Pepperdine University
1999,John M Kucharski,John M Kucharski,George Washington University,Marquette University
1999,Charles M Cawley,Charles M Cawley,Georgetown University,University Of Delaware
1999,William R Berkley,William R Berkley,Georgetown University,New York University
1999,Edward L Hamm,Edward L Hamm,Hampton University,Old Dominion University
1999,David S Mack,David S Mack,Hofstra University,Yeshiva University
1999,Thomas H Obrien,Thomas H Obrien,Hofstra University,University Of Pittsburgh
1999,Frank Savage,Frank Savage,Howard University,Johns Hopkins University
1999,Anne C Fox,Anne C Fox,Idaho State University,University Of Idaho
1999,Curtis H Eaton,Curtis H Eaton,Idaho State University,University Of Idaho
1999,Fidelis N Umeh,Fidelis N Umeh,Illinois Institute Of Technology,Loyola University Chicago
1999,Casey Cowell,Casey Cowell,Illinois Institute Of Technology,University Of Chicago
1999,James H Mccormick,James H Mccormick,Indiana University Of Pennsylvania,West Chester University Of Pennsylvania
1999,Nancy C Pellett,Nancy C Pellett,Iowa State University,University Of Iowa
1999,Beverly Ann Smith,Beverly Ann Smith,Iowa State University,University Of Iowa
1999,Owen J Newlin,Owen J Newlin,Iowa State University,University Of Iowa
1999,David J Fisher,David J Fisher,Iowa State University,University Of Iowa
1999,Ellengray G Kennedy,Ellengray G Kennedy,Iowa State University,University Of Iowa
1999,Clarkson L Kelly,Clarkson L Kelly,Iowa State University,University Of Iowa
1999,James H Arenson,James H Arenson,Iowa State University,University Of Iowa
1999,Lisa E Ahrens,Lisa E Ahrens,Iowa State University,University Of Iowa
1999,Roger L Lande,Roger L Lande,Iowa State University,University Of Iowa
1999,Ernest A Bates,Ernest A Bates,Johns Hopkins University,University Of Rochester
1999,Sidney T Warner,Sidney T Warner,Kansas State University,University Of Kansas
1999,Sidney T Warner,Sidney T Warner,Kansas State University,Wichita State University
1999,Sidney T Warner,Sidney T Warner,University Of Kansas,Wichita State University
1999,Robert V Talkington,Robert V Talkington,Kansas State University,University Of Kansas
1999,Robert V Talkington,Robert V Talkington,Kansas State University,Wichita State University
1999,Robert V Talkington,Robert V Talkington,University Of Kansas,Wichita State University
1999,Phyllis Nolan,Phyllis Nolan,Kansas State University,University Of Kansas
1999,Phyllis Nolan,Phyllis Nolan,Kansas State University,Wichita State University
1999,Phyllis Nolan,Phyllis Nolan,University Of Kansas,Wichita State University
1999,Murray D Lull,Murray D Lull,Kansas State University,University Of Kansas
1999,Murray D Lull,Murray D Lull,Kansas State University,Wichita State University
1999,Murray D Lull,Murray D Lull,University Of Kansas,Wichita State University
1999,Thomas E Hammond,Thomas E Hammond,Kansas State University,University Of Kansas
1999,Thomas E Hammond,Thomas E Hammond,Kansas State University,Wichita State University
1999,Thomas E Hammond,Thomas E Hammond,University Of Kansas,Wichita State University
1999,William R Docking,William R Docking,Kansas State University,University Of Kansas
1999,William R Docking,William R Docking,Kansas State University,Wichita State University
1999,William R Docking,William R Docking,University Of Kansas,Wichita State University
1999,Harry W Craig,Harry W Craig,Kansas State University,University Of Kansas
1999,Harry W Craig,Harry W Craig,Kansas State University,Wichita State University
1999,Harry W Craig,Harry W Craig,University Of Kansas,Wichita State University
1999,Kenneth C Havner,Kenneth C Havner,Kansas State University,University Of Kansas
1999,Kenneth C Havner,Kenneth C Havner,Kansas State University,Wichita State University
1999,Kenneth C Havner,Kenneth C Havner,University Of Kansas,Wichita State University
1999,Thomas W Noe,Thomas W Noe,Cleveland State University,Kent State University
1999,Thomas W Noe,Thomas W Noe,Cleveland State University,Ohio University
1999,Thomas W Noe,Thomas W Noe,Cleveland State University,University Of Akron
1999,Thomas W Noe,Thomas W Noe,Cleveland State University,University Of Cincinnati
1999,Thomas W Noe,Thomas W Noe,Cleveland State University,University Of Toledo
1999,Thomas W Noe,Thomas W Noe,Kent State University,Ohio University
1999,Thomas W Noe,Thomas W Noe,Kent State University,University Of Akron
1999,Thomas W Noe,Thomas W Noe,Kent State University,University Of Cincinnati
1999,Thomas W Noe,Thomas W Noe,Kent State University,University Of Toledo
1999,Thomas W Noe,Thomas W Noe,Ohio University,University Of Akron
1999,Thomas W Noe,Thomas W Noe,Ohio University,University Of Cincinnati
1999,Thomas W Noe,Thomas W Noe,Ohio University,University Of Toledo
1999,Thomas W Noe,Thomas W Noe,University Of Akron,University Of Cincinnati
1999,Thomas W Noe,Thomas W Noe,University Of Akron,University Of Toledo
1999,Thomas W Noe,Thomas W Noe,University Of Cincinnati,University Of Toledo
1999,Ralph E Schey,Ralph E Schey,Cleveland State University,Kent State University
1999,Ralph E Schey,Ralph E Schey,Cleveland State University,Ohio University
1999,Ralph E Schey,Ralph E Schey,Cleveland State University,University Of Akron
1999,Ralph E Schey,Ralph E Schey,Cleveland State University,University Of Cincinnati
1999,Ralph E Schey,Ralph E Schey,Cleveland State University,University Of Toledo
1999,Ralph E Schey,Ralph E Schey,Kent State University,Ohio University
1999,Ralph E Schey,Ralph E Schey,Kent State University,University Of Akron
1999,Ralph E Schey,Ralph E Schey,Kent State University,University Of Cincinnati
1999,Ralph E Schey,Ralph E Schey,Kent State University,University Of Toledo
1999,Ralph E Schey,Ralph E Schey,Ohio University,University Of Akron
1999,Ralph E Schey,Ralph E Schey,Ohio University,University Of Cincinnati
1999,Ralph E Schey,Ralph E Schey,Ohio University,University Of Toledo
1999,Ralph E Schey,Ralph E Schey,University Of Akron,University Of Cincinnati
1999,Ralph E Schey,Ralph E Schey,University Of Akron,University Of Toledo
1999,Ralph E Schey,Ralph E Schey,University Of Cincinnati,University Of Toledo
1999,J Gilbert Reese,J Gilbert Reese,Cleveland State University,Kent State University
1999,J Gilbert Reese,J Gilbert Reese,Cleveland State University,Ohio University
1999,J Gilbert Reese,J Gilbert Reese,Cleveland State University,University Of Akron
1999,J Gilbert Reese,J Gilbert Reese,Cleveland State University,University Of Cincinnati
1999,J Gilbert Reese,J Gilbert Reese,Cleveland State University,University Of Toledo
1999,J Gilbert Reese,J Gilbert Reese,Kent State University,Ohio University
1999,J Gilbert Reese,J Gilbert Reese,Kent State University,University Of Akron
1999,J Gilbert Reese,J Gilbert Reese,Kent State University,University Of Cincinnati
1999,J Gilbert Reese,J Gilbert Reese,Kent State University,University Of Toledo
1999,J Gilbert Reese,J Gilbert Reese,Ohio University,University Of Akron
1999,J Gilbert Reese,J Gilbert Reese,Ohio University,University Of Cincinnati
