Id,interlock_count,AffiliationId
Adelphi University,3,unknown
Andrews University,36,unknown
Arizona State University,107,unknown
Auburn University,10,unknown
Baylor College Of Medicine,15,unknown
Baylor University,7,unknown
Boise State University,8,unknown
Boston College,27,unknown
Boston University,5,unknown
Brandeis University,19,unknown
Brown University,19,unknown
California Institute Of Technology,25,unknown
Carnegie Mellon University,38,unknown
Case Western Reserve University,4,unknown
Catholic University Of America,13,unknown
Chapman University,9,unknown
Clark Atlanta University,5,unknown
Clarkson University,3,unknown
Clemson University,4,unknown
Cleveland State University,108,unknown
Columbia University,16,unknown
Cornell University,34,unknown
Creighton University,10,unknown
Dartmouth College,10,unknown
Depaul University,3,unknown
Drexel University,6,unknown
Duke University,13,unknown
Duquesne University,8,unknown
East Tennessee State University,320,unknown
Emory University,9,unknown
Florida State University,2,unknown
Fordham University,30,unknown
Gallaudet University,1,unknown
George Washington University,8,unknown
Georgetown University,42,unknown
Hampton University,2,unknown
Harvard University,13,unknown
Hofstra University,8,unknown
Howard University,13,unknown
Idaho State University,30,unknown
Illinois Institute Of Technology,18,unknown
Indiana University Of Pennsylvania,6,unknown
Iowa State University,47,unknown
Johns Hopkins University,26,unknown
Kansas State University,104,unknown
Kent State University,116,unknown
Lehigh University,3,unknown
Loma Linda University,36,unknown
Long Island University,3,unknown
Loyola Marymount University,40,unknown
Loyola University Chicago,36,unknown
Marquette University,15,unknown
Marshall University,27,unknown
Massachusetts Institute Of Technology,45,unknown
Mercer University,3,unknown
Middle Tennessee State University,313,unknown
Mississippi State University,43,unknown
New Jersey Institute Of Technology,19,unknown
New Mexico State University,2,unknown
New School,23,unknown
New School University,10,unknown
New York University,44,unknown
North Dakota State University,1,unknown
Northeastern University,1,unknown
Northern Arizona University,119,unknown
Northwestern University,12,unknown
Ohio State University,79,unknown
Ohio University,116,unknown
Oklahoma State University,37,unknown
Old Dominion University,2,unknown
Pennsylvania State University,30,unknown
Pepperdine University,4,unknown
Polytechnic Institute Of New York University,6,unknown
Polytechnic University,6,unknown
Princeton University,24,unknown
Rensselaer Polytechnic Institute,12,unknown
Rice University,13,unknown
Rochester Institute Of Technology,11,unknown
Rockefeller University,51,unknown
Rowan University,1,unknown
Rutgers State University Of New Jersey,1,unknown
Saint Louis University,10,unknown
Seton Hall University,15,unknown
South Dakota State University,46,unknown
Southern Methodist University,2,unknown
St Johns University,12,unknown
Stanford University,11,unknown
State University Of New York At Albany,1,unknown
Stevens Institute Of Technology,1,unknown
Syracuse University,8,unknown
Temple University,17,unknown
Tennessee State University,338,unknown
Tennessee Technological University,344,unknown
Texas Christian University,2,unknown
Thomas Jefferson University,8,unknown
Tufts University,17,unknown
University Of Akron,116,unknown
University Of Alabama,2,unknown
University Of Arizona,118,unknown
University Of Chicago,44,unknown
University Of Cincinnati,116,unknown
University Of Connecticut,13,unknown
University Of Dayton,1,unknown
University Of Delaware,5,unknown
University Of Denver,2,unknown
University Of Idaho,26,unknown
University Of Illinois At Urbana Champaign,1,unknown
University Of Iowa,47,unknown
University Of Kansas,107,unknown
University Of Louisville,1,unknown
University Of Memphis,330,unknown
University Of Mississippi,42,unknown
University Of New Mexico,6,unknown
University Of North Carolina At Charlotte,2,unknown
University Of North Carolina At Greensboro,4,unknown
University Of North Texas,1,unknown
University Of Notre Dame,21,unknown
University Of Oklahoma,40,unknown
University Of Pacific,3,unknown
University Of Pennsylvania,26,unknown
University Of Pittsburgh,46,unknown
University Of Rhode Island,2,unknown
University Of Rochester,11,unknown
University Of San Diego,13,unknown
University Of San Francisco,3,unknown
University Of South Alabama,10,unknown
University Of South Dakota,46,unknown
University Of Southern California,27,unknown
University Of Southern Mississippi,43,unknown
University Of St Thomas Minnesota,27,unknown
University Of Toledo,116,unknown
University Of Tulsa,6,unknown
University Of Utah,95,unknown
University Of Virginia,4,unknown
Utah State University,95,unknown
Vanderbilt University,13,unknown
Villanova University,3,unknown
Virginia Commonwealth University,1,unknown
Wake Forest University,4,unknown
Washington State University,2,unknown
Washington University,7,unknown
West Chester University Of Pennsylvania,5,unknown
West Virginia University,31,unknown
Wichita State University,105,unknown
Widener University,4,unknown
Worcester Polytechnic Institute,4,unknown
Yale University,13,unknown
Yeshiva University,24,unknown
