Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,AffiliationId,carnegie_id,PrimarySample,FixedPosition
Timothy C Forbes,Fellow,Brown University,Board of Fellows,,"President, American Heritage Forbes Bldg., 60 5th Ave., New York, NY 10011",,,27804330.0,217156.0,True,Trustee
Eleanor Mcmahon Os,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,True,Trustee
John P Birkelund,Fellow,Brown University,Board of Fellows,,"Senior Advisor, Warburg Dillon Read. LLCSwiss Bank Ctr. 1, 677 Washington Blvd., Stamford, CT 06901",,,27804330.0,217156.0,True,Trustee
Artemis Aw Joukowsky,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,True,Trustee
Charles C Tillinghast,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,True,Trustee
Wendy J Strothman,Secretary,Brown University,Board of Fellows,,"Executive Vice President, Trade and Reference Division, Houghton Mifflin Company 222 Berkeley St., Boston, MA 02116-3764",,,27804330.0,217156.0,True,Other Board Member
Alva O Way,Fellow,Brown University,Board of Fellows,,"Chairman, IBJ Schroder Bank & Trust Company 1 State St., New York, NY 10004",,,27804330.0,217156.0,True,Trustee
Steven R Jordan,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,True,Trustee
Frederick Lippitt,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,True,Trustee
Barbara L Chase,Fellow,Brown University,Board of Fellows,Brown 1976 AB,"President, American Heritage Forbes Bldg., 60 5th Ave., New York, NY 10011",,,27804330.0,217156.0,True,Trustee
E Gordon Gee,President,Brown University,,,,,,27804330.0,217156.0,True,Board President
Carolyn Rafkin,Executive Secretary,Brown University,,,,,,27804330.0,217156.0,True,Other Board Member
Henry D Sharpe,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,True,Trustee
Louis B Lynn,Trustee,Clemson University,,,"President, ENVIRO AgScience, IncP.O. Box 23285, Columbia, SC 29224",,,8078737.0,217882.0,True,Member
Leslie G Mccraw,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Fluor Corporation100 Fluor Daniel Dr., C107E, Greenville, SC 29607-2762",,,8078737.0,217882.0,True,Member
Patricia Herring Mcabee,Trustee,Clemson University,,,"Piedmont Technical CollegeP.O. Box 1467, Greenwood, SC 29648-1467",,,8078737.0,217882.0,True,Member
Lawrence M Gressette,Chairman,Clemson University,,,"Executive Committee Chairman, SCANA Corporation",,,8078737.0,217882.0,True,Board President
Leon J Hendrix,Trustee,Clemson University,,,"Clayton, Dubilier & Rice, Inc375 Park Ave., 18th Fl., New York, NY 10152",,,8078737.0,217882.0,True,Member
Harold D Kingsmore,Trustee,Clemson University,,,"Kingsmore Enterprises1359 Silver Bluff Rd., Ste., A-7, Aiken, SC 29803",,,8078737.0,217882.0,True,Member
Allen P Wood,Trustee,Clemson University,,,"President, Wilkins, Wood Goforth, Assoc., LtdP.O. Box 3868, Florence, SC 29502",,,8078737.0,217882.0,True,Member
Ellison Smyth Mckissick,Trustee,Clemson University,,,"President and Treasurer, Alice Manufacturing Company, IncP.O. Box 369, Easley, SC",,,8078737.0,217882.0,True,Member
Thomas B Mcteer,Trustee,Clemson University,,,"President, MeTeer Real Estate, IncPO. Box 11923, Columbia, SC 29211",,,8078737.0,217882.0,True,Member
William C Smith,Trustee,Clemson University,,,"Chief Executive Officer, Holmes Smith Developments, IncP.O. Box 11334, Columbia, SC 29211",,,8078737.0,217882.0,True,Member
Joseph D Swann,Vice Chairman,Clemson University,,,"Vice President and General Manager, Dodge/Rockwell AutomationP.O. Box 499, Ponders Ct., Greensville, SC 29602",,,8078737.0,217882.0,True,Board Vice President
John J Britton,Trustee,Clemson University,,,,,,8078737.0,217882.0,True,Member
Bill L Amick,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Amick Farms",,,8078737.0,217882.0,True,Member
Robert A Demattia,Regent,Eastern Michigan University,,,The DeMattia Group,,,138216421.0,169798.0,True,Trustee
Joseph E Antonini,Regent,Eastern Michigan University,,,,,,138216421.0,169798.0,True,Trustee
Col William J Stephens,Regent,Eastern Michigan University,,,,,,138216421.0,169798.0,True,Trustee
Carl D Pursell,Regent,Eastern Michigan University,,,,,,138216421.0,169798.0,True,Trustee
Michael G Morris,Regent,Eastern Michigan University,,,Northeast Utilities System,,,138216421.0,169798.0,True,Trustee
Philip A Incarnati,Chairman,Eastern Michigan University,,,McLaren Health Care Corporation,,,138216421.0,169798.0,True,Board President
Rosalind E Griffin,Regent,Eastern Michigan University,,,,,,138216421.0,169798.0,True,Trustee
Hanna H Gray,Fellow,Harvard University,Harvard Corporation,,"Chairperson, The Andrew W. Mellon Foundation",,,136199984.0,166027.0,True,Overseer
Judith Richards Hope,Fellow,Harvard University,Harvard Corporation,,"Senior Counsel, Paul, Hastings, Janofsky & Walker, LLP",,,136199984.0,166027.0,True,Overseer
Richard A Smith,Fellow,Harvard University,Harvard Corporation,Harvard 1946; Boston Col 1988 LLD,"Chairman, Kirby Corporation",,,136199984.0,166027.0,True,Overseer
James R Houghton,Fellow,Harvard University,Harvard Corporation,,"Chairman of the Board, Corning, , Inc",,,136199984.0,166027.0,True,Overseer
D Ronald Daniel,Treasurer,Harvard University,Harvard Corporation,"Bryn Maw 1950 AB; Harvard 1957 PhD; Yale 1971 MA, 1978 LLD","Chairperson, The Andrew W. Mellon Foundation",,,136199984.0,166027.0,True,Other Board Member
Neil Leon Rudestine,President,Harvard University,Harvard Corporation,,"Chairman of the Board and Chief Executive Officer, Harcourt General, Inc27 Boylston St., Chestnut Hill, MA 02167",,,136199984.0,166027.0,True,Board President
Robert G Stone,Fellow,Harvard University,Harvard Corporation,,"Chairman, Kirby Corporation",,,136199984.0,166027.0,True,Overseer
David H Lipka,Trustee,Long Island University,,,"Principal, Chapman Partners LLP Investment Bankers",,,138873065.0,192448.0,True,Overseer
William E Viklund,Trustee,Long Island University,,,"President and Chief Executive Officer, Long Island Savings Bank",,,138873065.0,192448.0,True,Overseer
Paul Smith,Trustee,Long Island University,,,"Pastor, First Presbyterian Church Brooklyn Heights, NY",,,138873065.0,192448.0,True,Overseer
Edward Travaglianti,Trustee,Long Island University,Brooklyn Campus,,,,,138873065.0,192448.0,True,Overseer
Ronald J Sylvestri,Trustee,Long Island University,,,"Vice President, Fleet Investment Management",,,138873065.0,192448.0,True,Overseer
Warren L Schwerin,Trustee,Long Island University,,,President and Chief Executive Officer. Related Properties Corporation,,,138873065.0,192448.0,True,Overseer
Steven J Kumble,Secretary,Long Island University,,,"Chairman, Lincolnshire Management, Ltd",,,138873065.0,192448.0,True,Other Board Member
Howard M Lorber,Executive Committee Member,Long Island University,,,"Chairman, Hallman & Lorber Associates",,,138873065.0,192448.0,True,Other Board Member
Terry Semel,Trustee,Long Island University,,,"Chairman and Co-Chief Executive Officer, Warner Bros4000 Warner Blvd., Burbank, CA 91505 Tel: (818) 954-6000 Fax: (818) 954-2464",,,138873065.0,192448.0,True,Overseer
John M May,Trustee,Long Island University,,,,,,138873065.0,192448.0,True,Overseer
Howard Silverman,Trustee,Long Island University,,,"Chairman, President and Chief Executive Officer, Gruntal and Company, Inc",,,138873065.0,192448.0,True,Overseer
Robert Ex Sillerman,Executive Committee Member,Long Island University,Southampton Campus,,,,,138873065.0,192448.0,True,Other Board Member
David Pinter,Trustee,Long Island University,,,"President and Chief Executive Officer, Zwicker Electric Company, Inc",,,138873065.0,192448.0,True,Overseer
William P Miller,Trustee,Long Island University,,,"Owner, Miller Transmission Tower Company",,,138873065.0,192448.0,True,Overseer
Roger Tilles,Senior Vice Chairman and Executive,Long Island University,,,"Chief Executive Officer, Tilles Committee Member Investment Company",,,138873065.0,192448.0,True,Board Vice President
Howard M Smith,Trustee,Long Island University,,,"President and Chief Executive Officer, Dr. Fabricant's Foot Health Products, Inc",,,138873065.0,192448.0,True,Overseer
David J Steinberg,President,Long Island University,,,,,,138873065.0,192448.0,True,Board President
Joseph L Mancino,Trustee,Long Island University,,,"Chairman, President and Chief Executive Officer, The Roslyn Savings Bank and Roslyn Bancorp, Inc",,,138873065.0,192448.0,True,Overseer
William Lynch,Trustee,Long Island University,,,"Vice President, McAndrews & Forbes Holdings. Inc",,,138873065.0,192448.0,True,Overseer
John O Utendahl,Trustee,Long Island University,,,"President and Chief Executive Officer. Utendahl Capital Partners, L.P",,,138873065.0,192448.0,True,Overseer
Theresa Mall Mullarkey,Trustee,Long Island University,C. W. Post Campus,,,,,138873065.0,192448.0,True,Overseer
Eugene H Luntey,Executive Committee Member,Long Island University,,,"Chairman, Chief Executive Officer and President, Brooklyn Union Gas Company",,,138873065.0,192448.0,True,Other Board Member
Bruce C Ratner,Trustee,Long Island University,,,"President and Chief Executive Officer, Forest City Ratner Companies",,,138873065.0,192448.0,True,Overseer
Rosalind P Walter,Executive Committee Member,Long Island University,,,,,,138873065.0,192448.0,True,Other Board Member
Dan K Wassong,Trustee,Long Island University,,,"Chairman, President and Chief Executive Officer, Del Laboratories, Inc",,,138873065.0,192448.0,True,Overseer
Edward J Yodowitz,Trustee,Long Island University,,,"Senior Partner, Skadden, Arps, Slate, Meagher & Flom LLP",,,138873065.0,192448.0,True,Overseer
Msgr Thomas J Hartman,Trustee and Executive,Long Island University,,,"Director, Radio and Television, Telicare",,,138873065.0,192448.0,True,Overseer
Arthur I Goldberg,Trustee,Long Island University,,,"Law Partner, Jacobson & Goldberg",,,138873065.0,192448.0,True,Overseer
Irwin C Gerson,Trustee,Long Island University,,,"Chairman, Lowe MAdams Healthcare",,,138873065.0,192448.0,True,Overseer
Stephen P Kaufman,Trustee,Long Island University,,,"Chairman and Chief Executive Officer, Arrow Electronics, Inc",,,138873065.0,192448.0,True,Overseer
Marvin M Sirota,Trustee,Long Island University,,,"President and Chairman, Interactive Health Management, Inc",,,138873065.0,192448.0,True,Overseer
Thomas L Pulling,Trustee,Long Island University,,,"Managing Director, Private Portfolio Management, Saloman Smith Barney Holdings Inc",,,138873065.0,192448.0,True,Overseer
Stanley F Barshay,Trustee,Long Island University,,,"Senior Vice President, American Home Products",,,138873065.0,192448.0,True,Overseer
Steven A Klar,Trustee,Long Island University,,,"President, The Klar Organization",,,138873065.0,192448.0,True,Overseer
Eric Krasnoff,Trustee,Long Island University,,,"Chairman and Chief Executive Officer, Pall Corporation",,,138873065.0,192448.0,True,Overseer
Donald H Elliott,Trustee,Long Island University,,,"Of Counsel, Hollyer, Brady, et al",,,138873065.0,192448.0,True,Overseer
Mark A Boyar,Trustee,Long Island University,,,"President, Mark Boyar & Company",,,138873065.0,192448.0,True,Overseer
William F De Neergaard,Trustee and Executive,Long Island University,,,"President and Owner, Neergaard Pharmacies",,,138873065.0,192448.0,True,Overseer
Gary Feldstein,Trustee,Long Island University,,,"President and Chief Executive Officer, Manhattan Medical Care",,,138873065.0,192448.0,True,Overseer
Ernest M Camacho,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
Barbara S Casey,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
Louis J Cassani,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
The Hon Richard D Aldrich,Vice Chairman,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Board Vice President
Stanley H Chambers,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
The Hon Daniel A Curry,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
Michael J Smith,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
The Hon Benjamin Aranda,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
Robert R Buckley,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
Thomas J Viola,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
Charles K Von Der Ahe,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
David L Buell,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
Robert M Abell,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
Alex Chaves Sr,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
Myles P Dempsey,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
T Patrick Smith,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
Anthony S Delfino,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
Edward F Slattery,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
James A Derosa,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
Msgr Royale M Vadakin,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
Louis A Simpson,Regent,Loyola Marymount University,Board of Regents,,,,,35566140.0,117946.0,True,Trustee
The Hon Sharpe James,Ex Officio Trustee,New Jersey Institute Of Technology,,Montclair State BA; Springfield (MA) MA,"Affiliation: Mayor, City of Newark City Hall, Rm. 200, 920 Broad St., Newark, NJ 07102 Tel: (973) 733-6400",,,118118575.0,185828.0,True,"Overseer, Ex Officio"
James A Kennedy,Trustee,New Jersey Institute Of Technology,,,"Affiliation: President and Chief Executive Officer, National Starch and Chemical Company",,,118118575.0,185828.0,True,Overseer
Oswald L Cano,Trustee,New Jersey Institute Of Technology,,,"Affiliation: General Manager, Corporate Responsibilities, Public Service Electric and Gas Company",,,118118575.0,185828.0,True,Overseer
W Stanley Brown,Trustee,New Jersey Institute Of Technology,,,Affiliation: Consultant,,,118118575.0,185828.0,True,Overseer
Hamilton V Bowser Sr,Trustee,New Jersey Institute Of Technology,,,"Affiliation: President, Evanbow Construction Company, Inc",,,118118575.0,185828.0,True,Overseer
Laura Bigley Battjer,Trustee,New Jersey Institute Of Technology,,,"Affiliation: President, Battier & Associates",,,118118575.0,185828.0,True,Overseer
Victor A Pelson,Trustee,New Jersey Institute Of Technology,,,"Affiliation: Director and Senior Advisor, SC Warburg Dillion Read Inc Swiss Bank Ctr. One, 677 Washington Blvd., Stamford, CT 06901 Tel: (203) 719-3000 Fax: (203) 719-5499",,,118118575.0,185828.0,True,Overseer
John N Bain,Trustee,New Jersey Institute Of Technology,,,"Affiliation: Carella, Byrne, Bain & Gilfillan",,,118118575.0,185828.0,True,Overseer
Christine B Whitman,Ex Officio Trustee,New Jersey Institute Of Technology,,Wheaton (MA) 1968 BA,"Affiliation: Governor, State of New Jersey 125 W. State St., P.O. Box 001, Trenton, NJ 08625-0001 Tel: (609) 777-2200 Fax: (609) 292-5212",,,118118575.0,185828.0,True,"Overseer, Ex Officio"
Martin Tuchman,Trustee,New Jersey Institute Of Technology,,,"Affiliation: Chairman and Chief Executive Officer, Interpool, Inc",,,118118575.0,185828.0,True,Overseer
Anthony J Knapp,Trustee,New Jersey Institute Of Technology,,,"Affiliation: Proprietor, Black Horse Inn",,,118118575.0,185828.0,True,Overseer
Robert A Wislow,Executive Committee Member-at-Large Trustee,North Dakota University System,,,,,,4210127926.0,,True,Member
Harold R Wilde,President,North Dakota University System,,,"Chairman, U.S. Equities Realty, IncChicago, IL",,,4210127926.0,,True,Board President
Joseph E Hennessey,Trustee,Pennsylvania State System of Higher Education,,,,,,29957033.0,,True,Governor
Caroline M Hoffer,Trustee,Pennsylvania State System of Higher Education,,,,,,29957033.0,,True,Governor
William B Mcliwaine,Trustee,Pennsylvania State System of Higher Education,,,,,,29957033.0,,True,Governor
Nelson Sears,Trustee,Pennsylvania State System of Higher Education,,,,,,29957033.0,,True,Governor
James W Harris,Trustee,Pennsylvania State System of Higher Education,,,,,,29957033.0,,True,Governor
Robert Torres,Trustee,Pennsylvania State System of Higher Education,,,,,,29957033.0,,True,Governor
Sue A Walker,Trustee,Pennsylvania State System of Higher Education,,,,,,29957033.0,,True,Governor
Paul G Wedel,Trustee,Pennsylvania State System of Higher Education,,,,,,29957033.0,,True,Governor
Charles W Hash Sr,Chairman,Pennsylvania State System of Higher Education,,,,,,29957033.0,,True,Board President
Gail D Edwards,Trustee,Pennsylvania State System of Higher Education,,,,,,29957033.0,,True,Governor
Shawn M Dirk,Trustee,Pennsylvania State System of Higher Education,,,,,,29957033.0,,True,Governor
Anthony S Cicatiello,Governor,Rutgers State University Of New Jersey,,,,,,102322142.0,186380.0,True,Trustee
