Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,AffiliationId,carnegie_id,PrimarySample,FixedPosition
Barbara L Chase,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,True,Trustee
Alva O Way,Fellow,Brown University,Board of Fellows,,"Chairman, IBJ Schroder Bank & Trust Company 1 State St., New York, NY 10004 Tel: (212) 858-2545 Fax: (212) 425-0542",154.0,,27804330.0,217156.0,True,Trustee
Wendy J Strothman,Secretary,Brown University,Board of Fellows,,"Executive Vice President, Trade and Reference Division, Houghton Mifflin Company 222 Berkeley St., Boston, MA 02116-3764 Tel: (617) 351-5909 Fax: (617) 351-1100",154.0,,27804330.0,217156.0,True,Other Board Member
David E Mckinney,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,True,Trustee
Artemis Aw Joukowsky,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,True,Trustee
Steven R Jordan,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,True,Trustee
Frederick Lippitt,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,True,Trustee
Timothy C Forbes,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,True,Trustee
Kathryn S Fuller,Fellow,Brown University,Board of Fellows,Brown 1976 AB,,154.0,,27804330.0,217156.0,True,Trustee
E Gordon Gee,President,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,True,Board President
John P Birkelund,Fellow,Brown University,Board of Fellows,,"President, American Heritage Forbes Bldg., 60 5th Ave., New York, NY 10011 Tel: (212) 206-5500 Fax: (212) 620-2332",154.0,,27804330.0,217156.0,True,Trustee
Elizabeth Z Chace,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,True,Trustee
Leslie G Mccraw,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Fluor Corporation",204.0,,8078737.0,217882.0,True,Member
John Britton,Trustee,Clemson University,,,,204.0,,8078737.0,217882.0,True,Member
Lawrence M Gressette,Chairman,Clemson University,,,"Executive Committee Chairman, SCANA Corporation",204.0,,8078737.0,217882.0,True,Board President
Thomas B Mcteer,Trustee,Clemson University,,,"President, McTeer Real Estate, Inc",204.0,,8078737.0,217882.0,True,Member
Ellison Smyth Mckissick,Trustee,Clemson University,,,"President and Treasurer, Alice Manufacturing Company, Inc",204.0,,8078737.0,217882.0,True,Member
Bill L Amick,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Amick Farms",204.0,,8078737.0,217882.0,True,Member
Patricia Herring Mcabee,Trustee,Clemson University,,,Piedmont Technical College,204.0,,8078737.0,217882.0,True,Member
Leon J Hendrix,Trustee,Clemson University,,,"Clayton, Dubilier & Rice, Inc",204.0,,8078737.0,217882.0,True,Member
Allen P Wood,Trustee,Clemson University,,,"President, Wilkins, Wood Goforth, Assoc., Ltd",204.0,,8078737.0,217882.0,True,Member
Harold D Kingsmore,Trustee,Clemson University,,,Kingsmore Enterprises,204.0,,8078737.0,217882.0,True,Member
Joseph D Swann,Vice Chairmay,Clemson University,,,"Vice President and General Manager, Dodge/Rockwell Automation",204.0,,8078737.0,217882.0,True,Board Vice President
William C Smith,Trustee,Clemson University,,,"Chief Executive Officer, Holmes Smith Developments, Inc",204.0,,8078737.0,217882.0,True,Member
Louis B Lynn,Trustee,Clemson University,,,"President, ENVIRO AgScience, Inc",204.0,,8078737.0,217882.0,True,Member
Judith Richards Hope,Fellow,Harvard University,,,"Senior Counsel, Paul, Hastings, Janofsky & Walker, LLP",284.0,,136199984.0,166027.0,True,Overseer
Hanna H Gray,Fellow,Harvard University,,"Bryn Mawr 1950 AB; Harvard 1957 PhD; Yale 1971 MA, 1978 LLD","Chairperson, The Andrew W. Mellon Foundation",284.0,,136199984.0,166027.0,True,Overseer
D Ronald Daniel,Fellow,Harvard University,,,,284.0,,136199984.0,166027.0,True,Overseer
Neil Leon Rudestine,Fellow,Harvard University,,,,284.0,,136199984.0,166027.0,True,Overseer
James R Houghton,Fellow,Harvard University,,,"Chairman of the Board, Corning, Inc",284.0,,136199984.0,166027.0,True,Overseer
Nancy Hicks Maynard,Trustee,Long Island University,,,Maynard Partners Incorporated,324.0,,138873065.0,192448.0,True,Overseer
George L Engelke,Trustee,Long Island University,,,"Chairman, President and Chief Executive Officer, Astoria Federal Savings and Loan Association",324.0,,138873065.0,192448.0,True,Overseer
Howard M Lorber,Trustee,Long Island University,,,"Chairman, Hallman & Lorber AssociateS",324.0,,138873065.0,192448.0,True,Overseer
Edmund T Pratt,Trustee,Long Island University,,,"Chairman and Chief Executive Officer, Pfizer Inc",324.0,,138873065.0,192448.0,True,Overseer
David Pinter,Executive Committee Member,Long Island University,,,"President and Chief Executive Officer, Zwicker Electric Company, Inc",324.0,,138873065.0,192448.0,True,Other Board Member
Ernest P Gonzalez,Trustee,Long Island University,,,"President and Chief Executive Officer, Captree Chemical Corp",324.0,,138873065.0,192448.0,True,Overseer
Arthur I Goldberg,Trustee,Long Island University,,,"Law Partner, Jacobson & Goldberg",324.0,,138873065.0,192448.0,True,Overseer
Eugene H Luntey,Trustee,Long Island University,,"Chairman, Chief Executive Officer and President, Brooklyn Union Gas Company",,324.0,,138873065.0,192448.0,True,Overseer
John M May,Executive Committee Member,Long Island University,,International Management Consultant,,324.0,,138873065.0,192448.0,True,Other Board Member
William F De Neergaard,Executive Committee Member,Long Island University,,,"President and Owner, Neergaard Pharmacies",324.0,,138873065.0,192448.0,True,Other Board Member
William Lynch,Executive Committee Member,Long Island University,,,"Vice President, MacAndrews & Forbes Holdings, Inc",324.0,,138873065.0,192448.0,True,Other Board Member
Anne W Ellis,Trustee,Long Island University,,,"Board Chair, WLIW-TV",324.0,,138873065.0,192448.0,True,Overseer
Donald H Elliott,Executive Committee Member,Long Island University,,,"Partner, Hollyer, Brady, et al",324.0,,138873065.0,192448.0,True,Other Board Member
Sidney Braginsky,Member of the Board,Long Island University,,,"President, Olympus America Inc",324.0,,138873065.0,192448.0,True,Overseer
Stanley F Barshay,Trustee,Long Island University,,,"Senior Vice President, American Home Products",324.0,,138873065.0,192448.0,True,Overseer
William P Miller,Trustee,Long Island University,,,"Owner, Miller Transmission Tower Company",324.0,,138873065.0,192448.0,True,Overseer
Mark A Boyar,Trustee,Long Island University,,,"President, Mark Boyar & Company",324.0,,138873065.0,192448.0,True,Overseer
Howard Silverman,Trustee,Long Island University,,,"Chairman, President and Chief Executive Officer, Gruntal & Company, Inc.",325.0,,138873065.0,192448.0,True,Overseer
Joseph L Mancino,Trustee,Long Island University,,,"Chairman, President and Chief Executive Officer, Roslyn Savings Bank and Roslyn Bancorp, Inc",324.0,,138873065.0,192448.0,True,Overseer
Eleanor Simpson,Chairman,Long Island University,,,"Mayor, Incorporated Village of Old Westbury",325.0,,138873065.0,192448.0,True,Board President
Theresa Mall Mullarkey,Executive Committee Member,Long Island University,,"President, Mall Associates",,324.0,,138873065.0,192448.0,True,Other Board Member
Howard M Smith,Trustee,Long Island University,,,"President and Chief Executive Officer, Dr. Fabricant's Foot Health Products, Inc.",325.0,,138873065.0,192448.0,True,Overseer
Terry Semel,Trustee,Long Island University,,,"Chairman and Co-Chief Executive Officer, Warner Bros",324.0,,138873065.0,192448.0,True,Overseer
William E Viklund,Executive Committee Member,Long Island University,,,"President and Chief Executive Officer, Rosalind P. Walter Long Island Savings Bank",325.0,,138873065.0,192448.0,True,Other Board Member
Dan K Wassong,Trustee,Long Island University,,,"Chairman, President and Chief Executive Officer, Del Laboratories, Inc",325.0,,138873065.0,192448.0,True,Overseer
Marvin M Sirota,Trustee,Long Island University,,,"President and Chairman, Interactive Health Management, Inc.",325.0,,138873065.0,192448.0,True,Overseer
Warren L Schwerin,Trustee,Long Island University,,,"President and Chief Executive Officer, Related Properties Corporation",324.0,,138873065.0,192448.0,True,Overseer
Robert Ex Sillerman,"Chancellor, Southampton College",Long Island University,,,,324.0,,138873065.0,192448.0,True,Board President
Steven A Klar,Trustee,Long Island University,,,"President, The Klar Organization",324.0,,138873065.0,192448.0,True,Overseer
Steven J Kumble,Secretary,Long Island University,,,"Chairman, Lincolnshire Management, Inc",324.0,,138873065.0,192448.0,True,Other Board Member
