Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Notes,Career,AffiliationId,carnegie_id,PrimarySample,level_0,index,StateSystem,FixedPosition
Lindsey Nederlander,Trustee,Adelphi University,,,"Research Worker, Department of Psychiatry",129.0,,,71965598.0,188429.0,True,,,,Trustee
Carol A. Ammon,Trustee,Adelphi University,,,,128.0,,,71965598.0,188429.0,True,,,,Trustee
John J. Gutleber,Secretary,Adelphi University,,,"President and Chief Executive Officer, Castagna Realty Company",129.0,,,71965598.0,188429.0,True,,,,Other Board Member
N. Gerry House,Trustee,Adelphi University,,North Carolina A&T; Southern Illinois; North Carolina,"President and Chief Executive Officer, Institute for Student Achievement",129.0,,,71965598.0,188429.0,True,,,,Trustee
Michael Lazarus,Trustee,Adelphi University,,,,129.0,,,71965598.0,188429.0,True,,,,Trustee
Katherine Littlefield,Trustee,Adelphi University,,,,129.0,,,71965598.0,188429.0,True,,,,Trustee
Thomas F. Motamed,Trustee,Adelphi University,,Adelphi; Widener JD,"Vice Chairman and Chief Operating Officer, The Chubb Corporation",129.0,,,71965598.0,188429.0,True,,,,Trustee
"Kenneth A. McClane, Jr",Trustee,Adelphi University,,,W.E.B. DuBois Professor of Literature,129.0,,,71965598.0,188429.0,True,,,,Trustee
Leon M. Pollack,Vice Chairman,Adelphi University,,,,129.0,,,71965598.0,188429.0,True,,,,Board Vice President
Robert Allyn Scott,Ex Officio Trustee,Adelphi University,,,,129.0,,,71965598.0,188429.0,True,,,,"Trustee, Ex Officio"
Marjorie Weinberg-Berman,Trustee,Adelphi University,,,,129.0,,,71965598.0,188429.0,True,,,,Trustee
Palmina R. Grella,Trustee,Adelphi University,,,"Budget Director, County of Nassau, New York",129.0,,,71965598.0,188429.0,True,,,,Trustee
Joseph A. Gregori,Trustee,Adelphi University,,,"Chief Executive Officer, InfoHighway Communications",129.0,,,71965598.0,188429.0,True,,,,Trustee
Robert W. Gary,Trustee,Adelphi University,,,,128.0,,,71965598.0,188429.0,True,,,,Trustee
Gerald F. Mahoney,Trustee,Adelphi University,,Adelphi 1965,"Chairman and Chief Executive Officer, Mail-Well, Inc",129.0,,,71965598.0,188429.0,True,,,,Trustee
John C. Bierwirth,Trustee,Adelphi University,,,,128.0,,,71965598.0,188429.0,True,,,,Trustee
Kenneth R. Banks,Trustee,Adelphi University,,Adelphi 1974 BA,,128.0,,,71965598.0,188429.0,True,,,,Trustee
Robert B. Willumstad,Trustee,Adelphi University,,Adelphi BA,,129.0,,,71965598.0,188429.0,True,,,,Trustee
Joseph W. Westphal,Trustee,Adelphi University,,Adelphi BA; Oklahoma State MA; Missouri PhD,"Chancellor, University of Maine System (2002-2006)",129.0,,,71965598.0,188429.0,True,,,,Trustee
Barry T. Zeman,Trustee,Adelphi University,,,"President, U.S. Business Development Corp",129.0,,,71965598.0,188429.0,True,,,,Trustee
Douglas J. Green,Trustee,Adelphi University,,,"Partner in Charge, Leadership Development, KPMG LLP",129.0,,,71965598.0,188429.0,True,,,,Trustee
Joan S. Girgus,Trustee,Adelphi University,,,"Professor, Department of Psychology",129.0,,,71965598.0,188429.0,True,,,,Trustee
Jeffrey R. Greene,Trustee,Adelphi University,,,,129.0,,,71965598.0,188429.0,True,,,,Trustee
Steven N. Fischer,Chairman Emeritus,Adelphi University,,,,128.0,,,71965598.0,188429.0,True,,,,Board President
Michael Campbell,Chairman,Adelphi University,,,,128.0,,,71965598.0,188429.0,True,,,,Board President
Michael J. Driscoll,Affiliation,Adelphi University,,SUNY Maritime BS; Adelphi 1989 MBA,,128.0,,,71965598.0,188429.0,True,,,,Other Board Member
"CAPT Robert G. Darling, USN",Director,Adelphi University,,,,128.0,,,71965598.0,188429.0,True,,,,Trustee
Richard C. Cahn,Trustee,Adelphi University,,,,128.0,,,71965598.0,188429.0,True,,,,Trustee
Gary M. Abramson,Chairman,American University,,,"Partner, The Tower Companies",136.0,,,181401687.0,131159.0,True,,,,Board President
A. Robyn Mathias,Trustee,American University,,,"Principal, Rolling Terrace Elementary School",137.0,,,181401687.0,131159.0,True,,,,Trustee
C. A. Daniel Gasby,Trustee,American University,,,"Chief Executive Officer, B. Smith Enterprises Ltd",137.0,,,181401687.0,131159.0,True,,,,Trustee
Gina F. Adams,Trustee,American University,,American U 1980 BA; Howard U 1983 JD; Georgetown 1987 LLM,"Corporate Vice President, Government Affairs, FedEx Corporation",136.0,,,181401687.0,131159.0,True,,,,Trustee
Jack C. Cassell,Trustee,American University,,,"President and Chief Executive Officer, Visual Aids Electronics & Conference Systems, Inc",136.0,,,181401687.0,131159.0,True,,,,Trustee
Stephanie Bennett-Smith,Trustee,American University,,"New Mexico BA, MA; Iowa 1973 PhD","President, Centenary College (1984-2001)",136.0,,,181401687.0,131159.0,True,,,,Trustee
Charles H. Lydecker,Trustee,American University,,American U BA,"Executive Vice President, Brown & Brown, Inc",137.0,,,181401687.0,131159.0,True,,,,Trustee
Thomas A. Gottschalk,Vice Chairman,American University,,Earlham 1964 BA; Chicago 1967 JD,"Of Counsel, Washington, DC Office, Kirkland & Ellis LLP",137.0,,,181401687.0,131159.0,True,,,,Board Vice President
Marc N. Duber,Trustee,American University,,American U 1981 BS,"Executive Vice President and Chief Operating Officer, The Bernstein Companies",137.0,,,181401687.0,131159.0,True,,,,Trustee
David R. Drobis,Trustee,American University,,American U MA,"Chairman, Ketchum Worldwide (1994-2001)",137.0,,,181401687.0,131159.0,True,,,,Trustee
Jerome King Del Pino,Trustee,American University,,,"General Secretary, General Board of Higher Education and Ministry, The United Methodist Church",137.0,,,181401687.0,131159.0,True,,,,Trustee
Edward R. Carr,Trustee,American University,,,"President, CarrHomes, Inc",136.0,,,181401687.0,131159.0,True,,,,Trustee
Gisela B. Huberman,Trustee,American University,,"George Washington 1964 AB, 1965 MA, 1970 PhD; American U 1980 JD","President, GBH Radio, Inc",137.0,,,181401687.0,131159.0,True,,,,Trustee
Fuad EI-Hibri,Trustee,American University,,,"Chief Executive Officer and Chairman, Emergent BioSolutions",137.0,,,181401687.0,131159.0,True,,,,Trustee
Hani M. S. Farsi,Trustee,American University,,,"Managing Director and Chairman, Farsi Enterprises",137.0,,,181401687.0,131159.0,True,,,,Trustee
Arthur J. Rothkopf,Trustee,American University,,Lafayette 1955 AB; Harvard 1958 JD,"Senior Vice President and Counselor to the President, U.S. Chamber of Commerce",137.0,,,181401687.0,131159.0,True,,,,Trustee
Cornelius M. Kerwin,Trustee,American University,,,,137.0,,,181401687.0,131159.0,True,,,,Trustee
"C. Nicholas Keating, Jr",Trustee,American University,,"American U 1963 BA, 1964 MA","President and Chief Executive Officer, Network Equipment Technologies",137.0,,,181401687.0,131159.0,True,,,,Trustee
Alan L. Meltzer,Trustee,American University,,,"Founder and Chief Executive Officer, The Meltzer Group",137.0,,,181401687.0,131159.0,True,,,,Trustee
Matthew S. Pittinsky,Trustee,American University,,,"Chairman and Co-Founder, Blackboard, Inc",137.0,,,181401687.0,131159.0,True,,,,Trustee
