Id,Label,Interlock_Count,AffiliationId,Board_Size
Adelphi University,Adelphi University,0,71965598,24
American University,American University,0,181401687,24
Andrews University,Andrews University,5,102298084,32
Arizona Board of Regents,Arizona Board of Regents,0,203172682,10
Auburn University,Auburn University,3,82497590,28
Ball State University,Ball State University,0,198089087,8
Baylor University,Baylor University,1,157394403,36
Biola University,Biola University,0,152479009,25
Boston College,Boston College,4,103531236,44
Boston University,Boston University,0,111088046,36
Brandeis University,Brandeis University,1,6902469,51
Brown University,Brown University,1,27804330,56
California State University System,California State University System,4,127339247,25
Carnegie Mellon University,Carnegie Mellon University,7,74973139,98
Case Western Reserve University,Case Western Reserve University,1,58956616,41
Catholic University Of America,Catholic University Of America,1,84470341,45
Central Michigan University,Central Michigan University,0,1629065,9
Chapman University,Chapman University,1,185071736,48
Clark Atlanta University,Clark Atlanta University,2,52064589,31
Clark University,Clark University,0,130785548,28
Clarkson University,Clarkson University,2,16944753,28
Clemson University,Clemson University,0,8078737,70
College Of William And Mary,College Of William And Mary,0,16285277,19
Colorado School Of Mines,Colorado School Of Mines,0,167576493,8
Columbia University,Columbia University,2,78577930,54
Cornell University,Cornell University,4,205783295,66
Dartmouth College,Dartmouth College,3,107672454,17
Drexel University,Drexel University,2,72816309,41
Duke University,Duke University,1,170897317,36
Duquesne University,Duquesne University,3,165102784,35
Eastern Michigan University,Eastern Michigan University,0,138216421,8
Emory University,Emory University,2,150468666,35
Florida Institute Of Technology,Florida Institute Of Technology,0,106959904,32
Fordham University,Fordham University,4,164389053,38
George Mason University,George Mason University,2,162714631,18
George Washington University,George Washington University,1,193531525,33
Georgetown University,Georgetown University,5,184565670,45
Harvard University,Harvard University,2,136199984,41
Hofstra University,Hofstra University,3,139290212,30
Howard University,Howard University,1,137853757,26
Illinois Institute Of Technology,Illinois Institute Of Technology,2,180949307,59
Illinois State University,Illinois State University,0,47301684,8
Indiana State University,Indiana State University,1,86420138,9
James Madison University,James Madison University,0,11883440,16
Johns Hopkins University,Johns Hopkins University,2,145311948,71
Lehigh University,Lehigh University,2,186143895,33
Loma Linda University,Loma Linda University,5,26347476,22
Long Island University,Long Island University,1,138873065,65
Loyola Marymount University,Loyola Marymount University,11,35566140,85
Loyola University Chicago,Loyola University Chicago,6,1925986,66
Marquette University,Marquette University,2,102461120,40
Marshall University,Marshall University,1,88694374,15
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,6,63966007,49
Mercer University,Mercer University,0,150149174,56
Michigan State University,Michigan State University,0,87216513,11
Michigan Technological University,Michigan Technological University,0,11957088,7
Mississippi Institutions of Higher Learning,Mississippi Institutions of Higher Learning,0,4210141039,19
Montclair State University,Montclair State University,0,166088655,17
Nevada System of Higher Education,Nevada System of Higher Education,0,68260882,13
New Jersey Institute Of Technology,New Jersey Institute Of Technology,2,118118575,55
New School,New School,6,102179633,47
New York University,New York University,9,57206974,99
North Dakota University System,North Dakota University System,2,4210127926,9
Northern Illinois University,Northern Illinois University,1,102502594,9
Nova Southeastern University,Nova Southeastern University,0,203088144,26
Oakland University,Oakland University,0,177721651,8
Oklahoma State System of Higher Education,Oklahoma State System of Higher Education,0,115475287,28
Old Dominion University,Old Dominion University,0,81365321,17
Pace University,Pace University,0,126863827,24
Pennsylvania State System of Higher Education,Pennsylvania State System of Higher Education,0,29957033,43
Pennsylvania State University,Pennsylvania State University,3,130769515,67
Princeton University,Princeton University,4,20089843,40
Purdue University,Purdue University,0,219193219,8
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,2,165799507,30
Rice University,Rice University,0,74775410,24
Rochester Institute Of Technology,Rochester Institute Of Technology,2,155173764,54
Rowan University,Rowan University,0,44265643,18
Rutgers State University Of New Jersey,Rutgers State University Of New Jersey,2,102322142,77
Seton Hall University,Seton Hall University,0,12524447,39
Southern Illinois University System,Southern Illinois University System,0,2801502357,12
St Johns University,St Johns University,0,142823887,29
Stanford University,Stanford University,0,97018004,37
State University System of Florida,State University System of Florida,0,2801649442,74
State University of New York System,State University of New York System,0,1327163397,38
Syracuse University,Syracuse University,0,70983195,26
Temple University,Temple University,4,84392919,44
Tennessee Board of Regents,Tennessee Board of Regents,4,94658018,20
Texas A&M University System,Texas A&M University System,0,173268674,9
Texas Christian University,Texas Christian University,0,128956969,47
Texas State University System,Texas State University System,0,2801273398,9
Texas Tech University System,Texas Tech University System,0,4210088475,9
Texas Womans University,Texas Womans University,1,150913223,9
Tufts University,Tufts University,3,121934306,36
University Of Chicago,University Of Chicago,6,40347166,50
University Of Connecticut,University Of Connecticut,2,140172145,20
University Of Dayton,University Of Dayton,0,127591826,34
University Of Delaware,University Of Delaware,0,86501945,31
University Of Hartford,University Of Hartford,0,162281398,59
University Of Kentucky,University Of Kentucky,0,143302722,20
University Of La Verne,University Of La Verne,1,708430,31
University Of Louisville,University Of Louisville,0,142740786,20
University Of Michigan,University Of Michigan,0,27837315,8
University Of New Mexico,University Of New Mexico,1,169521973,9
University Of Northern Colorado,University Of Northern Colorado,0,71966907,9
University Of Notre Dame,University Of Notre Dame,6,107639228,57
University Of Pacific,University Of Pacific,1,119942576,29
University Of Pittsburgh,University Of Pittsburgh,8,170201317,52
University Of Rhode Island,University Of Rhode Island,0,17626003,5
University Of San Diego,University Of San Diego,3,160856358,36
University Of South Alabama,University Of South Alabama,3,83809506,15
University Of South Carolina,University Of South Carolina,2,155781252,20
University Of Southern California,University Of Southern California,4,1174212,46
University Of St Thomas Minnesota,University Of St Thomas Minnesota,5,161515732,34
University Of Tulsa,University Of Tulsa,0,87208437,35
University Of Vermont,University Of Vermont,0,111236770,24
University Of Virginia,University Of Virginia,1,51556381,17
University Of Washington,University Of Washington,0,201448701,10
University Of Wyoming,University Of Wyoming,0,12834331,16
University System of Georgia,University System of Georgia,1,1289702989,18
University System of New Hampshire,University System of New Hampshire,1,2800453862,25
University System of Ohio,University System of Ohio,3,2802096936,100
University of Alabama System,University of Alabama System,3,2800507078,15
University of Alaska System,University of Alaska System,0,2802090665,12
University of Arkansas System,University of Arkansas System,0,2799691083,14
University of California System,University of California System,6,2803209242,26
University of Colorado System,University of Colorado System,0,2802236040,11
University of Hawaii System,University of Hawaii System,0,1331384533,11
University of Houston System,University of Houston System,0,2801525821,5
University of Illinois System,University of Illinois System,1,2801919071,14
University of Louisiana System,University of Louisiana System,1,2799628689,29
University of Maine System,University of Maine System,3,2802397601,16
University of Massachusetts System,University of Massachusetts System,0,2802841742,24
University of Missouri System,University of Missouri System,0,4777552,9
University of Nebraska System,University of Nebraska System,0,2802450327,13
University of North Carolina System,University of North Carolina System,2,4210158053,96
University of North Texas System,University of North Texas System,0,2802090120,9
University of Tennessee System,University of Tennessee System,4,2799495847,24
University of Texas System,University of Texas System,0,16452829,19
University of Wisconsin System,University of Wisconsin System,0,1304256225,18
Vanderbilt University,Vanderbilt University,3,200719446,64
Villanova University,Villanova University,1,7863295,27
Virginia Commonwealth University,Virginia Commonwealth University,1,184840846,15
Virginia Polytechnic Institute And State University,Virginia Polytechnic Institute And State University,1,859038795,14
Wake Forest University,Wake Forest University,2,47251452,44
Washington State University,Washington State University,1,72951846,10
Washington University,Washington University,0,204465549,49
West Virginia University,West Virginia University,1,12097938,15
Western Michigan University,Western Michigan University,1,141649380,8
Widener University,Widener University,0,138659443,21
Worcester Polytechnic Institute,Worcester Polytechnic Institute,0,107077323,38
Yale University,Yale University,1,32971472,17
Yeshiva University,Yeshiva University,4,19772626,97
