Id,Label,Interlock_Count,AffiliationId,Board_Size
Adelphi University,Adelphi University,1,71965598,17
American University,American University,0,181401687,28
Andrews University,Andrews University,2,102298084,36
Arizona Board of Regents,Arizona Board of Regents,0,203172682,14
Auburn University,Auburn University,3,82497590,12
Ball State University,Ball State University,0,198089087,9
Baylor University,Baylor University,0,157394403,36
Biola University,Biola University,0,152479009,23
Boston College,Boston College,0,103531236,37
Boston University,Boston University,2,111088046,51
Brandeis University,Brandeis University,2,6902469,46
Brown University,Brown University,2,27804330,54
California State University System,California State University System,3,127339247,23
Carnegie Mellon University,Carnegie Mellon University,8,74973139,93
Case Western Reserve University,Case Western Reserve University,2,58956616,51
Catholic University Of America,Catholic University Of America,1,84470341,41
Central Michigan University,Central Michigan University,0,1629065,7
Chapman University,Chapman University,0,185071736,40
Clark Atlanta University,Clark Atlanta University,3,52064589,28
Clark University,Clark University,0,130785548,21
Clarkson University,Clarkson University,0,16944753,25
Clemson University,Clemson University,0,8078737,58
College Of William And Mary,College Of William And Mary,0,16285277,17
Colorado School Of Mines,Colorado School Of Mines,0,167576493,7
Columbia University,Columbia University,1,78577930,25
Cornell University,Cornell University,0,205783295,46
Dartmouth College,Dartmouth College,2,107672454,16
Drexel University,Drexel University,0,72816309,39
Duke University,Duke University,0,170897317,32
Duquesne University,Duquesne University,3,165102784,45
Eastern Michigan University,Eastern Michigan University,0,138216421,33
Emory University,Emory University,2,150468666,41
Florida Institute Of Technology,Florida Institute Of Technology,0,106959904,26
Fordham University,Fordham University,2,164389053,34
George Mason University,George Mason University,0,162714631,15
George Washington University,George Washington University,2,193531525,43
Georgetown University,Georgetown University,3,184565670,42
Harvard University,Harvard University,0,136199984,37
Hofstra University,Hofstra University,2,139290212,39
Howard University,Howard University,1,137853757,26
Illinois Institute Of Technology,Illinois Institute Of Technology,2,180949307,59
Illinois State University,Illinois State University,0,47301684,7
Indiana State University,Indiana State University,0,86420138,9
James Madison University,James Madison University,0,11883440,17
Johns Hopkins University,Johns Hopkins University,2,145311948,61
Lehigh University,Lehigh University,1,186143895,38
Loma Linda University,Loma Linda University,2,26347476,24
Long Island University,Long Island University,0,138873065,99
Loyola Marymount University,Loyola Marymount University,1,35566140,51
Loyola University Chicago,Loyola University Chicago,1,1925986,4
Marquette University,Marquette University,3,102461120,32
Marshall University,Marshall University,15,88694374,16
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,3,63966007,53
Mercer University,Mercer University,0,150149174,45
Michigan State University,Michigan State University,0,87216513,10
Michigan Technological University,Michigan Technological University,0,11957088,4
Mississippi Institutions of Higher Learning,Mississippi Institutions of Higher Learning,0,4210141039,13
Montclair State University,Montclair State University,0,166088655,13
Nevada System of Higher Education,Nevada System of Higher Education,0,68260882,11
New Jersey Institute Of Technology,New Jersey Institute Of Technology,3,118118575,61
New School,New School,2,102179633,51
New York University,New York University,4,57206974,76
North Dakota University System,North Dakota University System,0,4210127926,16
Northern Illinois University,Northern Illinois University,0,102502594,8
Nova Southeastern University,Nova Southeastern University,0,203088144,28
Oakland University,Oakland University,0,177721651,8
Oklahoma State System of Higher Education,Oklahoma State System of Higher Education,2,8692664,31
Old Dominion University,Old Dominion University,0,81365321,16
Pace University,Pace University,0,126863827,34
Pennsylvania State System of Higher Education,Pennsylvania State System of Higher Education,0,29957033,32
Pennsylvania State University,Pennsylvania State University,3,130769515,39
Princeton University,Princeton University,2,20089843,40
Purdue University,Purdue University,0,219193219,9
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,1,165799507,33
Rice University,Rice University,1,74775410,19
Rochester Institute Of Technology,Rochester Institute Of Technology,0,155173764,44
Rowan University,Rowan University,0,44265643,14
Rutgers State University Of New Jersey,Rutgers State University Of New Jersey,0,102322142,80
Seton Hall University,Seton Hall University,3,12524447,38
Southern Illinois University System,Southern Illinois University System,0,2801502357,9
St Johns University,St Johns University,0,142823887,25
Stanford University,Stanford University,0,97018004,34
