Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,AffiliationId,carnegie_id,FixedPosition,StateSystem,PrimarySample
John P. Birkelund,Fellow,Brown University,Board of Fellows,,"Senior Advisor, Warburg Dillon Read. LLCSwiss Bank Ctr. 1, 677 Washington Blvd., Stamford, CT 06901",,,27804330.0,217156.0,Trustee,,True
Barbara L. Chase,Fellow,Brown University,Board of Fellows,Brown 1976 AB,"President, American Heritage Forbes Bldg., 60 5th Ave., New York, NY 10011",,,27804330.0,217156.0,Trustee,,True
Timothy C. Forbes,Fellow,Brown University,Board of Fellows,,"President, American Heritage Forbes Bldg., 60 5th Ave., New York, NY 10011",,,27804330.0,217156.0,Trustee,,True
Carolyn Rafkin,Executive Secretary,Brown University,,,,,,27804330.0,217156.0,Other Board Member,,True
E. Gordon Gee,President,Brown University,,,,,,27804330.0,217156.0,Board President,,True
E. Gordon Gee,Fellow,Brown University,,,,,,27804330.0,217156.0,Trustee,,True
Steven R. Jordan,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,Trustee,,True
Artemis A.W. Joukowsky,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,Trustee,,True
Frederick Lippitt,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,Trustee,,True
Eleanor H. McMahon,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,Trustee,,True
Henry D. Sharpe,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,Trustee,,True
Wendy J. Strothman,Secretary,Brown University,Board of Fellows,,"Executive Vice President, Trade and Reference Division, Houghton Mifflin Company 222 Berkeley St., Boston, MA 02116-3764",,,27804330.0,217156.0,Other Board Member,,True
"Charles C. Tillinghast, Jr",Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,Trustee,,True
Alva O. Way,Fellow,Brown University,Board of Fellows,,"Chairman, IBJ Schroder Bank & Trust Company 1 State St., New York, NY 10004",,,27804330.0,217156.0,Trustee,,True
Bill L. Amick,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Amick Farms",,,8078737.0,217882.0,Member,,True
John J. Britton,Trustee,Clemson University,,,,,,8078737.0,217882.0,Member,,True
"Lawrence M. Gressette, Jr",Chairman,Clemson University,,,"Executive Committee Chairman, SCANA Corporation",,,8078737.0,217882.0,Board President,,True
"Leon J. Hendrix, Jr",Trustee,Clemson University,,,"Clayton, Dubilier & Rice, Inc375 Park Ave., 18th Fl., New York, NY 10152",,,8078737.0,217882.0,Member,,True
Harold D. Kingsmore,Trustee,Clemson University,,,"Kingsmore Enterprises1359 Silver Bluff Rd., Ste., A-7, Aiken, SC 29803",,,8078737.0,217882.0,Member,,True
Louis B. Lynn,Trustee,Clemson University,,,"President, ENVIRO AgScience, IncP.O. Box 23285, Columbia, SC 29224",,,8078737.0,217882.0,Member,,True
Patricia Herring McAbee,Trustee,Clemson University,,,"Piedmont Technical CollegeP.O. Box 1467, Greenwood, SC 29648-1467",,,8078737.0,217882.0,Member,,True
Leslie G. McCraw,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Fluor Corporation100 Fluor Daniel Dr., C107E, Greenville, SC 29607-2762",,,8078737.0,217882.0,Member,,True
Ellison Smyth McKissick III,Trustee,Clemson University,,,"President and Treasurer, Alice Manufacturing Company, IncP.O. Box 369, Easley, SC",,,8078737.0,217882.0,Member,,True
"Thomas B. McTeer, Jr",Trustee,Clemson University,,,"President, MeTeer Real Estate, IncPO. Box 11923, Columbia, SC 29211",,,8078737.0,217882.0,Member,,True
"William C. Smith, Jr",Trustee,Clemson University,,,"Chief Executive Officer, Holmes Smith Developments, IncP.O. Box 11334, Columbia, SC 29211",,,8078737.0,217882.0,Member,,True
Joseph D. Swann,Vice Chairman,Clemson University,,,"Vice President and General Manager, Dodge/Rockwell AutomationP.O. Box 499, Ponders Ct., Greensville, SC 29602",,,8078737.0,217882.0,Board Vice President,,True
Allen P. Wood,Trustee,Clemson University,,,"President, Wilkins, Wood Goforth, Assoc., LtdP.O. Box 3868, Florence, SC 29502",,,8078737.0,217882.0,Member,,True
Jeanette G. Grasseli Brown,Regent,Cleveland State University,,Ohio BS; Case Western MS,Chairperson of the Board of Trustees,,,102607778.0,202134.0,Trustee,,True
Michael A. Fox,Ex Officio Regent,Cleveland State University,,,,,,102607778.0,202134.0,"Trustee, Ex Officio",,True
Gerald H. Gordon,Regent,Cleveland State University,,,"President and Chief Operating Officer, Sun Media Corporation",,,102607778.0,202134.0,Trustee,,True
Merle G. Kearns,Ex Officio Regent,Cleveland State University,,,"Member, Ohio Senate",,,102607778.0,202134.0,"Trustee, Ex Officio",,True
"Tahlman Krumm, Jr.",Vice Chairman,Cleveland State University,,South Florida BA; Ohio State PhD,"Founder and Chairman, Avalanche Creek Projects Group",,,102607778.0,202134.0,Board Vice President,,True
Elizabeth K. Lanier,Chairperson,Cleveland State University,,Smith BA; Columbia JD,Vice President and Chief of StaffCinergy Corp,,,102607778.0,202134.0,Board President,,True
Gerald M. Miller,Regent,Cleveland State University,,Dayton BA,"Chairman and Managing Partner, Miller-Valentine Group",,,102607778.0,202134.0,Trustee,,True
Thomas W. Noe,Regent,Cleveland State University,,,"President, Vintage Coins and Cards",,,102607778.0,202134.0,Trustee,,True
Stephen A. Perry,Regent,Cleveland State University,,,"Vice President, Human Resources and Logistics, The Timken Company",,,102607778.0,202134.0,Trustee,,True
J. Gilbert Reese,Regent,Cleveland State University,,,"Senior Partner, Reese, Pyle, Drake and Meyer",,,102607778.0,202134.0,Trustee,,True
Ralph E. Schey,Regent,Cleveland State University,,,"Chairmain and Chief Executive Officer, The Scott Fetzer Company",,,102607778.0,202134.0,Trustee,,True
