Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,AffiliationId,carnegie_id,level_0,index,FixedPosition,PrimarySample,StateSystem
"Philip H. Jordan, Jr.",Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,,,Trustee,True,
John D. Macomber,Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,,,Trustee,True,
Shirley M. Malcom,Vice Chairman,Adelphi University,,,,114.0,,71965598.0,188429.0,,,Board Vice President,True,
Philip S. Winterer,Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,,,Trustee,True,
S. Bruce Pantano,Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,,,Trustee,True,
Marjorie Weinberg-Berman,Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,,,Trustee,True,
Barry T. Zeman,Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,,,Trustee,True,
Shirley M. Malcom,Interim Co-Chairman,Adelphi University,,,,114.0,,71965598.0,188429.0,,,Board President,True,
Palmina R. Grella,Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,,,Trustee,True,
Michael Finnerty,Interim Co-Chairman,Adelphi University,,,,114.0,,71965598.0,188429.0,,,Board President,True,
Steven N. Fischer,Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,,,Trustee,True,
Michael Finnerty,Vice Chairman,Adelphi University,,,,114.0,,71965598.0,188429.0,,,Board Vice President,True,
El Ker Conway,Trustee,Adelphi University,,,"Visiting Professor, Massachusetts Institute of Technology",114.0,,71965598.0,188429.0,,,Trustee,True,
Richard C. Cahn,Secretary,Adelphi University,,,,114.0,,71965598.0,188429.0,,,Other Board Member,True,
John C. Bierwirth,Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,,,Trustee,True,
Barbara T. Barrantes,Trustee,Adelphi University,,Harvard 1969 PhD,"Visiting Professor, Massachusetts Institute of Technology",114.0,,71965598.0,188429.0,,,Trustee,True,
Bernard F. Ashe,Trustee,Adelphi University,,,,113.0,,71965598.0,188429.0,,,Trustee,True,
William A. Ackerman,Trustee,Adelphi University,,,,113.0,,71965598.0,188429.0,,,Trustee,True,
Harold S. Gelb,Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,,,Trustee,True,
Roger W. Ireson,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
Benjamin R. Jacobs,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
William I. Jacobs,Chairman,American University,,,,119.0,,181401687.0,131159.0,,,Board President,True,
Leonard R. Jaskol,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
Benjamin Ladner,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
Weldon H. Latham,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
A. W. Smith,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
A. Robyn Mathias,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
Bishop Felton E. May,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
John R. Petty,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
Paul Martin Wolff,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
Suzanne D. Hillman,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
G. Douglass Lewis,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
Linda G. Haft,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
Lord Peter Chadlington,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
Hani Mohammed S. Farsi,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
Gary M. Abramson,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
Leslie E. Bains,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
Thomas A. Gottschalk,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
Martina Lewis Bradford,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
"William R. Bruce, Jr",Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
Abbey J. Butler,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
Sondra D. Bender,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
George J. Collins,Vice Chairman,American University,,,,119.0,,181401687.0,131159.0,,,Board Vice President,True,
Joanna M. Driggs,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
Manuel H. Dubon,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
David F. Eisner,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
Edward R. Carr,Trustee,American University,,,,119.0,,181401687.0,131159.0,,,Trustee,True,
Donald C. Schneider,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Humbert M. Rasi,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Robert L. Rawson,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
David R. Rowe,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Charles Sandefur,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Richard G. Schell,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Gary E. Randolph,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Dale E. Twomley,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
G. Ralph Thompson,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Max A. Trevino,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Jere D. Patzer,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Lynne K. Waihee,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Donald W. Weaver,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Bertil Wiklander,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Walter L. Wright,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Dolores E. Slikkers,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Norma K. Miles,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Paul A. Stokstad,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Margaret McFarland,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Jamie R. Chanaga,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Rebekah Wang Cheng,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
P. D. Chun,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Donald W. Corkum,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
J. Wayne Coulter,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Clay Farwell,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Robert S. Folkenberg,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Marguerite A. Dixon,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Lynn S. Gray,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Claudette H. Hartman,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Norman W. Klam,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Robert J. Kloosterhui,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Harold Lee,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Israel Leito,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Alfred C. McClure,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Jay Gallimore,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
R. Ellsworth McKee,Trustee,Andrews University,,,,121.0,,102298084.0,168740.0,,,Trustee,True,
Kay McKay,Treasure,Arizona Board of Regents,,,"Executive Director, Big Brothers/Big Sisters of Flagstaff",124.0,,55732556.0,104151.0,,,Regent,True,Arizona Board of Regents
Ronald J. Ulrich,President Elect,Arizona Board of Regents,Arizona State University Foundation,Loras BA,"Chairman, Arizona State University Foundation",124.0,,55732556.0,104151.0,,,Board President,True,Arizona Board of Regents
Christine Thompson,Student Regent,Arizona Board of Regents,,Arizona BA,,124.0,,55732556.0,104151.0,,,Regent,True,Arizona Board of Regents
Christine Thompson,Assistant Treasurer,Arizona Board of Regents,,Arizona BA,,124.0,,55732556.0,104151.0,,,Other Board Member,True,Arizona Board of Regents
John F Munger,Regent,Arizona Board of Regents,,Stanford BA; Arizona JD,"Co-Founder, Munger Chadwick, PL.c",124.0,,55732556.0,104151.0,,,Regent,True,Arizona Board of Regents
Lisa Graham Keegan,Ex Officio Regent,Arizona Board of Regents,,Stanford BA; Arizona State MA,"Superintendent, Public Instruction, Arizona Department of Education",124.0,,55732556.0,104151.0,,,"Regent, Ex Officio",True,Arizona Board of Regents
Chris Herstam,Assistant Secretary,Arizona Board of Regents,,"Arizona State BA, MA","Member, Arizona House of Representatives, 1983-90",124.0,,55732556.0,104151.0,,,Other Board Member,True,Arizona Board of Regents
Jane Dee Hull,Ex Officio Regent,Arizona Board of Regents,,Kansas BA,"Governor, State of Arizona",124.0,,55732556.0,104151.0,,,"Regent, Ex Officio",True,Arizona Board of Regents
Judy Gignac,Regent,Arizona Board of Regents,,,"Vice President, Bella Vista Water Company, Inc4055 Campus Dr., Sierra Vista, AZ. 85635",124.0,,55732556.0,104151.0,,,Regent,True,Arizona Board of Regents
Rudy E. Campbell,Regent,Arizona Board of Regents,,Arizona BA,"President, Campbell, Schoneberger & Associates, Ltd2326 S McClintock Dr., Tempe, AZ 85282",124.0,,55732556.0,104151.0,,,Regent,True,Arizona Board of Regents
George H. Amos III,President,Arizona Board of Regents,,,"President and Chairman of the BoardTucson Realty & Trust Co5151 E. Broadway. Ste. 155, Tucson, AZ 85711",124.0,,55732556.0,104151.0,,,Board President,True,Arizona Board of Regents
Jack Jewett,Secretary,Arizona Board of Regents,,Arizona BA,"Senior Vice President, Public Policy, TMC Healthcare",124.0,,55732556.0,104151.0,,,Other Board Member,True,Arizona Board of Regents
"William James Samford, Jr",Third Congressional District Trustee,Auburn University,,,,127.0,,82497590.0,100858.0,,,Trustee,True,
Vacant,Eighth Congressional District Trustee,Auburn University,"Clarksville, TN 37044",,"Austin Pay State University was created as the Austin Pay Normal School by Act of the General Assembly; Enrollment: Over 8,000 Faculty: Over 450 Year Founded: 1927",127.0,,82497590.0,100858.0,,,Trustee,True,
Jack B. Venable,Trustee,Auburn University,,,"Member, Alabama Legislature",127.0,,82497590.0,100858.0,,,Trustee,True,
"Paul J. Spina, Jr",Sixth Congressional District Trustee,Auburn University,,,,127.0,,82497590.0,100858.0,,,Trustee,True,
Don Siegelman,Ex Officio President,Auburn University,,Alabama 1968 BA; Georgetown 1972 JD,"Governor, State of Alabama; Secretary of State, State of Alabama, 1979-86; Attorney General, State of Alabama, 1987-90; Lieutenant Governor, State of Alabama, 1995-98",127.0,,82497590.0,100858.0,,,"Board President, Ex Officio",True,
Ed Richardson,Ex Officio Trustee,Auburn University,,"Auburn 1962 BS, 1967 MEd1972 EdD","Superintendent of Education, State of Alabama",127.0,,82497590.0,100858.0,,,"Trustee, Ex Officio",True,
Bessie Mae Holloway,Trustee,Auburn University,,,,126.0,,82497590.0,100858.0,,,Trustee,True,
Robert E. Lowder,Trustee,Auburn University,,,,126.0,,82497590.0,100858.0,,,Trustee,True,
Charles G. Glover,Trustee,Auburn University,,,,126.0,,82497590.0,100858.0,,,Trustee,True,
Byron P. Franklin,Trustee,Auburn University,,,,126.0,,82497590.0,100858.0,,,Trustee,True,
Lowell R. Barron,Trustee,Auburn University,,Auburn BS,"Member, Alabama Legislature",126.0,,82497590.0,100858.0,,,Trustee,True,
James W. Rane,Third Congressional District Trustee,Auburn University,,,,127.0,,82497590.0,100858.0,,,Trustee,True,
Gregory A. Schenkel,Secretary,Ball State University,,,"Indianapolis, IN",131.0,,198089087.0,150136.0,,,Other Board Member,True,
Richard L. Moake,Trustee,Ball State University,,,"Fort Wayne, IN",131.0,,198089087.0,150136.0,,,Trustee,True,
Jeffrey H. Smulyan,Trustee,Ball State University,,,"Indianapolis, IN",131.0,,198089087.0,150136.0,,,Trustee,True,
Frank A. Bracken,Vice President,Ball State University,,,"Indianapolis, IN",131.0,,198089087.0,150136.0,,,Board Vice President,True,
Thomas L. DeWeese,President,Ball State University,,,Cecla Digby-Berry,131.0,,198089087.0,150136.0,,,Board President,True,
Hollis E. Hughes,Trustee,Ball State University,,,South Bend. IN,131.0,,198089087.0,150136.0,,,Trustee,True,
Paul W. Powell,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
"Drayton McLane, Jr",Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Sam A. Medina,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Charles L. Overby,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Ramiro Abraham Pena,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Laree Estes Perez,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Charles D. Wise,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Ralph Storm,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
"Daniel P. Roper, Jr",Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
David M. Sibley,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Ted L. Snider,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Nancy Anderson Thurmond,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
"John G. Wilkerson, Jr",Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Hal C. Wingo,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Jaclanel Moore McFarland,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Ella Wall Prichard,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
David B. McCall III,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
"Levi Weldon Price, Jr",Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Neal Thomas Jones,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
William Bowman Long,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Joe L. Allbritton,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
M. Jay Allison,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
Jim Bowden,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
John T. Boyd,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
W. Fred Cameron,Regent,Baylor University,,,,136.0,,157394403.0,223232.0,,,Regent,True,
