Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,Notes,AffiliationId,carnegie_id,FixedPosition,StateSystem,PrimarySample
Elizabeth Z. Chace,Fellow,Brown University,,,"President, American Heritage Forbes Bldg., 60 5th Ave., New York, NY 10011",166.0,,,27804330.0,217156.0,Trustee,,True
Timothy C. Forbes,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,Trustee,,True
Kathryn S. Fuller,Fellow,Brown University,,Brown 1968 BA: Texas 1976 JD,"President and Chief Executive Officer, World Wildlife Fund Post Office Box 97180, Washington, DC 20077-7180",166.0,,,27804330.0,217156.0,Trustee,,True
Donald C. Hood,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,Trustee,,True
Steven R. Jordan,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,Trustee,,True
Artemis A. W. Joukowsky,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,Trustee,,True
Frederick Lippitt,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,Trustee,,True
David E. McKinney,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,Trustee,,True
Steven L. Rattner,Fellow,Brown University,,,"Managing Principal, Quadrangle Group LiC",166.0,,,27804330.0,217156.0,Trustee,,True
Ruth J. Simmons,President,Brown University,,,,166.0,,,27804330.0,217156.0,Board President,,True
Ruth J. Simmons,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,Trustee,,True
Wendy J. Strothman,Secretary,Brown University,,,"Executive Vice President, Trade and Reference Division, Houghton Mifflin Company222 Berkeley Street, Boston, MA 02116-3764",166.0,,,27804330.0,217156.0,Other Board Member,,True
Wendy J. Strothman,Fellow,Brown University,,,"Executive Vice President, Trade and Reference Division, Houghton Mifflin Company222 Berkeley Street, Boston, MA 02116-3764",166.0,,,27804330.0,217156.0,Trustee,,True
Alva O. Way,Fellow,Brown University,,,"Chairman, IBJ Schroder Bank & Trust Company 1 State St., New York, NY 10004",166.0,,,27804330.0,217156.0,Trustee,,True
Bill L. Amick,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Amick Farms, Inc",228.0,,,8078737.0,217882.0,Member,,True
John J. Britton,Trustee,Clemson University,,Clemson 1954 BS; South Carolina 1959 LLB,,228.0,,,8078737.0,217882.0,Member,,True
"Lawrence M. Gressette, Jr.",Trustee,Clemson University,,,,228.0,,,8078737.0,217882.0,Member,,True
"Leon J. Hendrix, Jr.",Chairman,Clemson University,,,"Chairman, Remington Arms Company, Inc",228.0,,,8078737.0,217882.0,Board President,,True
"Thomas C. Lynch, Jr.",Trustee,Clemson University,,,,228.0,,,8078737.0,217882.0,Member,,True
Louis B. Lynn,Trustee,Clemson University,,,"President, ENVIRO AgScience, Inc",228.0,,,8078737.0,217882.0,Member,,True
Patricia Herring McAbee,Trustee,Clemson University,,,,228.0,,,8078737.0,217882.0,Member,,True
Leslie G. McCraw,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Fluor Corporation",228.0,,,8078737.0,217882.0,Member,,True
Ellison Smyth McKissick III,Trustee,Clemson University,,,"President and Treasurer, Alice Manufacturing Company, Inc",228.0,,,8078737.0,217882.0,Member,,True
"Thomas B. McTeer, Jr.",Trustee,Clemson University,,,"President, McTeer Real Estate, IncP.O. Box 11923, Columbia, SC 29211",228.0,,,8078737.0,217882.0,Member,,True
"William C. Smith, Jr.",Trustee,Clemson University,,,"Chief Executive Officer, Holmes Smith Developments, IncP.O. Box 11334, Columbia, SC 29211",228.0,,,8078737.0,217882.0,Member,,True
Joseph D. Swann,Vice Chairman,Clemson University,,Clemson: Case Western 1969 MBA,"Vice President and General Manager, Dodge/Rockwell Automation P.O. Box 499, Ponders Ct., Greenville, SC 29602",228.0,,,8078737.0,217882.0,Board Vice President,,True
Allen P. Wood,Trustee,Clemson University,,,"President, Wilkins, Wood Goforth, Assoc., LtdPO. Box 3868, Florence, SC 29502",228.0,,,8078737.0,217882.0,Member,,True
Hanna Holborn Gray,Fellow,Harvard University,Harvard Corporation,Howard U 1962 BA; Harvard 1965 LLB,"Of Counsel, Simpson Thacher & Bartlett LLP",322.0,,,136199984.0,166027.0,Overseer,,True
Conrad K. Harper,Fellow,Harvard University,Harvard Corporation,,"President and Professor, University of Chicago",322.0,,,136199984.0,166027.0,Overseer,,True
James R. Houghton,Fellow,Harvard University,,"Harvard 1958 AB, 1962 MBA",Chairman and Chief,322.0,,,136199984.0,166027.0,Overseer,,True
Robert D. Reischauer,Fellow,Harvard University,,"Harvard AB; Columbia MIA, PhD","President, The Urban Institute",322.0,,,136199984.0,166027.0,Overseer,,True
James F. Rothenberg,Treasurer,Harvard University,,Harvard 1960 AB; Yale 1964 LLB; London School Econ (UK),"Chairman of the Executive Committee, Citigroup Inc",322.0,,,136199984.0,166027.0,Other Board Member,,True
James F. Rothenberg,Fellow,Harvard University,,Harvard 1960 AB; Yale 1964 LLB; London School Econ (UK),"Chairman of the Executive Committee, Citigroup Inc",322.0,,,136199984.0,166027.0,Overseer,,True
Robert E. Rubin,Fellow,Harvard University,,,,322.0,,,136199984.0,166027.0,Overseer,,True
Lawrence H. Summers,President,Harvard University,,,"Secretary, United States Department of the Treasury, William J. Clinton Administration (1995-1999)",322.0,,,136199984.0,166027.0,Board President,,True
Lawrence H. Summers,Fellow,Harvard University,,,"Secretary, United States Department of the Treasury, William J. Clinton Administration (1995-1999)",322.0,,,136199984.0,166027.0,Overseer,,True
Theodore Baum,Overseer,Long Island University,,,"Chairman and Chief Executive Officer, Baum Investments, Inc",368.0,,,138873065.0,192448.0,Trustee,,True
Adair A. Beutel,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,Trustee,,True
Jerry L. Cohen,Overseer,Long Island University,,NYU BS,,368.0,,,138873065.0,192448.0,Trustee,,True
Michael P. Galgano,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,Trustee,,True
John Adam Kanas,Overseer,Long Island University,,Long Island 1968 BA; Rutgers 1971 MBA,"Chairman, President and Chief Executive Officer, North Fork Bancorporation, Inc275 Broadhollow Road, Melville, NY 11747",368.0,,,138873065.0,192448.0,Trustee,,True
Edward D. Kratovil,"Senior Vice President, Worldwide Government Relations",Long Island University,,Long Island 1969 BA,,368.0,,,138873065.0,192448.0,Board Vice President,,True
Myron Levine,President,Long Island University,,,Autolog,368.0,,,138873065.0,192448.0,Board President,,True
Myron Levine,Chief Executive Officer,Long Island University,,,Autolog,368.0,,,138873065.0,192448.0,Other Board Member,,True
"William Lynch, Jr.",President,Long Island University,,,"Bill Lynch Associates; Director, Grants, The Brooklyn Academy of Music, Inc30 Lafayette Avenue, Brooklyn, NY 11217-1486",368.0,,,138873065.0,192448.0,Board President,,True
Harry Marmion,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,Trustee,,True
Robert R. Martin,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,Trustee,,True
R. Lawrence McCann,Education Division Director and Ex Offici,Long Island University,,,,368.0,,,138873065.0,192448.0,Trustee,,True
Roy Nicholson,Associate Professor and Ex Officio,Long Island University,,,,368.0,,,138873065.0,192448.0,"Trustee, Ex Officio",,True
David Pinter,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,Trustee,,True
Julie Ratner,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,Trustee,,True
Jane Ross,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,Trustee,,True
Pierre L. Schoenheimer,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,Trustee,,True
Warren L. Schwerin,Oversee,Long Island University,,,,368.0,,,138873065.0,192448.0,Trustee,,True
Robert F. X. Sillerman,Chancellor,Long Island University,,,,368.0,,,138873065.0,192448.0,Board President,,True
