Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,Tel,Unnamed: 9,AffiliationId,carnegie_id,level_0,index,FixedPosition,PrimarySample,StateSystem
Carol A. Ammon,Vice Chairman,Adelphi University,,,"Chairman, Endo Pharmaceuticals, Inc. (2005-2007)",,,,,71965598.0,188429.0,,,Board Vice President,True,
Barry T. Zeman,Trustee,Adelphi University,,,"President, U.S. Business Development Corp",,,,,71965598.0,188429.0,,,Trustee,True,
Robert B. Willumstad,Trustee,Adelphi University,,Adelphi BAvinU,"Chairman and Chief Executive Officer, American International Group, Inc. (2008)",,,,,71965598.0,188429.0,,,Trustee,True,
Joseph W. Westphal,Trustee,Adelphi University,,Adelphi 1970 BA; Oklahoma State MA; Missouri 1980 PhD,"Chancellor, University of Maine System (2002-2006)",,,,,71965598.0,188429.0,,,Trustee,True,
Marjorie Weinberg-Berman,Trustee,Adelphi University,,,,,,,,71965598.0,188429.0,,,Trustee,True,
Helene R. Sullivan,Trustee,Adelphi University,,,,,,,,71965598.0,188429.0,,,Trustee,True,
Robert Allyn Scott,Ex Officio Trustee,Adelphi University,,,,,,,,71965598.0,188429.0,,,"Trustee, Ex Officio",True,
Leon M. Pollack,Trustee,Adelphi University,,,"Managing Director, Donaldson, Lufkin & Jenrette, Inc",,,,,71965598.0,188429.0,,,Trustee,True,
Gerald F. Mahoney,Trustee,Adelphi University,,Adelphi 1965,"Chairman and Chief Executive Officer, Mail-Well, Inc. 7",,,,,71965598.0,188429.0,,,Trustee,True,
Katherine Littlefield,Secretary,Adelphi University,,,,,,,,71965598.0,188429.0,,,Other Board Member,True,
Michael Lazarus,Trustee,Adelphi University,,,,,,,,71965598.0,188429.0,,,Trustee,True,
Lindsey Kupferman.stat,Trustee,Adelphi University,,,"Research Worker, Department of Psychiatry, Columbia University",,,,,71965598.0,188429.0,,,Trustee,True,
Angela M. Jaggar,Trustee,Adelphi University,,"Adelphi 1962 BS, 1965 MS","Professor of Education, New York University o8",,,,,71965598.0,188429.0,,,Trustee,True,
Steven L. Isenberg,Chairman Emeritus,Adelphi University,,,,,,,,71965598.0,188429.0,,,Board President,True,
Thomas F. Motamed,Chairman,Adelphi University,,Adelphi; Widener JD,"Vice Chairman and Chief Operating Officer, The Chubb Corporation",,,,,71965598.0,188429.0,,,Board President,True,
Noreen Harrington,Trustee,Adelphi University,,Adelphi 1981,,,,,,71965598.0,188429.0,,,Trustee,True,
