Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,Tel,Unnamed: 9,AffiliationId,carnegie_id,FixedPosition,StateSystem,PrimarySample
Mark S. Blumenkranz,Fellow,Brown University,Board Of Fellows (Brown University),,"Chief Operating Officer, Forbes, Inc",,,,,27804330.0,217156.0,Trustee,,True
Elizabeth Z. Chace,Fellow,Brown University,Board Of Fellows (Brown University),,,,,,,27804330.0,217156.0,Trustee,,True
"Timothy C. ""Tim"" Forbes",Fellow,Brown University,Board Of Fellows (Brown University),,"Chief Operating Officer, Forbes, Inc",,,,,27804330.0,217156.0,Trustee,,True
Kathryn S. Fuller,Fellow,Brown University,Board Of Fellows (Brown University),,"Chairman, Ford Foundation",,,,,27804330.0,217156.0,Trustee,,True
Donald C. Hood,Fellow,Brown University,Board Of Fellows (Brown University),,"James F. Bender Professor in Psychology, Columbia College",,,,,27804330.0,217156.0,Trustee,,True
Steven R. Jordan,Fellow,Brown University,Board Of Fellows (Brown University),,"Senior Project Manager, Ryan Companies US, Inc",,,,,27804330.0,217156.0,Trustee,,True
Artemis A. W. Joukowsky,Fellow,Brown University,Board Of Fellows (Brown University),,"Chancellor, Brown University (1997-1998)",,,,,27804330.0,217156.0,Trustee,,True
Robin A. Lenhardt,Fellow,Brown University,Board Of Fellows (Brown University),,,,,,,27804330.0,217156.0,Trustee,,True
David E. McKinney,Fellow,Brown University,Board Of Fellows (Brown University),,"Vice President, Personnel, International Business Machines Corporation",,,,,27804330.0,217156.0,Trustee,,True
Steven L. Rattner,Fellow,Brown University,Board Of Fellows (Brown University),Brown 1974 AB,"Managing Principal, Quadrangle Group Lic",,,,,27804330.0,217156.0,Trustee,,True
Stephen Robert,Fellow,Brown University,Board Of Fellows (Brown University),Brown 1962 AB,"Chairman, Robert Capital Management, LLC",,,,,27804330.0,217156.0,Trustee,,True
Ruth J. Simmons,Fellow,Brown University,Board Of Fellows (Brown University),,,,,,,27804330.0,217156.0,Trustee,,True
Bill L. Amick,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Amick Processing, Inc",,,,,8078737.0,217882.0,Member,,True
John J. Britton,Trustee,Clemson University,,,,,,,,8078737.0,217882.0,Member,,True
"Leon J. ""Bill"" Hendrix, Jr.",Chairman,Clemson University,,,"Chairman, Remington Arms Company, Inc",,,,,8078737.0,217882.0,Board President,,True
Louis B. Lynn,Trustee,Clemson University,,,"President, ENVIRO AgScience, IncP.O. Box 23285, Columbia, SC 29224",,,,,8078737.0,217882.0,Member,,True
Patricia Herring McAbee,Trustee,Clemson University,,,"Vice President, Custom Development Solutions111-D Jasmine Court, Greenwood, SC 29646",,,,,8078737.0,217882.0,Member,,True
"Leslie G. ""Les"" McCraw",Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Fluor Corporation",,,,,8078737.0,217882.0,Member,,True
Ellison Smyth McKissick III,Trustee,Clemson University,,Clemson BS; South Carolina MBA,"President and Treasurer, Alice Manufacturing Company, IncP.O. Box 369, Easley, SC",,,,,8078737.0,217882.0,Member,,True
"Thomas B. McTeer, Jr.",Trustee,Clemson University,,,"President, McTeer Real Estate, IncP.O. Box 11923, Columbia, SC 29211",,,,,8078737.0,217882.0,Member,,True
Robert L. Peeler,Trustee,Clemson University,,,"Agent, McGee Real Estate560 Meeting Street, West Columbia, SC 29169",,,,,8078737.0,217882.0,Member,,True
"William C. Smith, Jr.",Trustee,Clemson University,,,"Chief Executive Officer, Holmes Smith Developments, IncP.O. Box 11334, Columbia, SC 29211 o envel, griangis",,,,,8078737.0,217882.0,Member,,True
Joseph D. Swann,Vice Chairman,Clemson University,,Clemson; Case Western 1969 MBA,,,,,,8078737.0,217882.0,Board Vice President,,True
Ambassador David H. Wilkins,Trustee,Clemson University,,Clemson 1968 BA; South Carolina 1971 JD,"Ambassador, Office of the U.S. Ambassador to Canada, United States Department of State; Ambassador (R), Office of the U.S. Ambassador to Canada, United States to epello? American Embassy - Ottawa, Ontario, P.O. Box 5000 Ogdensburg, NY 13669-0430",,,,,8078737.0,217882.0,Member,,True
James R. Houghton,Fellow,Harvard University,,"Harvard 1958 AB, 1962 MBA","Chairman and Chief Executive Officer, Corning Incorporated (2002-2005)",,,,,136199984.0,166027.0,Overseer,,True
Nannerl Overholser Keohane,Fellow,Harvard University,,Wellesley 1961 BA: Oxford (UK) 1963 BA. MA: Yale 1967 PhD,"Laurance S. Rockefeller Distinguished Visiting Professor of Public Affairs and the University Center for Human Values, Princeton University",,,,,136199984.0,166027.0,Overseer,,True
