Year,Name,Position,Institution,SubInstitution,Education,AffiliationId,carnegie_id,FixedPosition,StateSystem,PrimarySample
2011,Mark S. Blumenkranz,Fellow,Brown University,,,27804330.0,217156.0,Trustee,,True
2011,Rabbi Laura Geller,Fellow,Brown University,,,27804330.0,217156.0,Trustee,,True
2011,Donald C. Hood,Fellow,Brown University,,,27804330.0,217156.0,Trustee,,True
2011,Robin A. Lenhardt,Fellow,Brown University,,,27804330.0,217156.0,Trustee,,True
2011,Matthew J. Mallow,Fellow,Brown University,,,27804330.0,217156.0,Trustee,,True
2011,Samuel M. Mencoff,Fellow,Brown University,,Brown U 1978 AB: Harvard 1981 MBA,27804330.0,217156.0,Trustee,,True
2011,Steven L. Rattner,Fellow,Brown University,,Brown U 1974 AB,27804330.0,217156.0,Trustee,,True
2011,Stephen Robert,Fellow,Brown University,,Brown U 1962 AB,27804330.0,217156.0,Trustee,,True
2011,Charles M. Royce,Fellow,Brown University,,Brown U 1961 AB; Columbia 1963 MBA,27804330.0,217156.0,Trustee,,True
2011,Ruth J. Simmons,Fellow,Brown University,,,27804330.0,217156.0,Trustee,,True
2011,Peter S. Voss,Fellow,Brown University,,Brown U 1968 BA,27804330.0,217156.0,Trustee,,True
2011,Bill L. Amick,Trustee,Clemson University,,,8078737.0,217882.0,Member,,True
2011,John J. Britton,Trustee,Clemson University,,,8078737.0,217882.0,Member,,True
2011,"Leon J. Hendrix, Jr.",Trustee,Clemson University,,,8078737.0,217882.0,Member,,True
2011,Ronald D. Lee,Trustee,Clemson University,,,8078737.0,217882.0,Member,,True
2011,Louis B. Lynn,Trustee,Clemson University,,,8078737.0,217882.0,Member,,True
2011,Patricia Herring McAbee,Trustee,Clemson University,,,8078737.0,217882.0,Member,,True
2011,"John N. McCarter, Jr",Trustee,Clemson University,,,8078737.0,217882.0,Member,,True
2011,Ellison Smyth McKissick III,Trustee,Clemson University,,,8078737.0,217882.0,Member,,True
2011,"Thomas B. McTeer, Jr.",Trustee,Clemson University,,,8078737.0,217882.0,Member,,True
2011,Robert L. Peeler,Trustee,Clemson University,,,8078737.0,217882.0,Member,,True
2011,Joseph D. Swann,Trustee,Clemson University,,Education: Clemson; Case Western 1969 MBA,8078737.0,217882.0,Member,,True
2011,Nannerl Overholser Keohane,Fellow,Harvard University,,"Wellesley 1961 BA; Oxford (UK) 1963 BA, MA; Yale 1967 PhD",136199984.0,166027.0,Overseer,,True
2011,Patricia A. King,Fellow,Harvard University,,Wheaton (MA) 1963; Harvard 1969 JD,136199984.0,166027.0,Overseer,,True
