Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Contact,Notes,AffiliationId,FullName,carnegie_id,level_0,index,FixedPosition,PrimarySample,StateSystem
Frank Angelloo.ro,Secretary,Adelphi University,,Adelphi 1977 BBA; Pace MBA,"Senior Vice President, Chief Financial Officer, Lighthouse International",119.0,,,71965598.0,Adelphi University,188429.0,,,Other Board Member,True,
Robert B. Willumstad,Chairman,Adelphi University,,Adelphi BA,"Senior Advisor, Brysam Global Partners, LLCO",120.0,,,71965598.0,Adelphi University,188429.0,,,Board President,True,
Marjorie Weinberg-Berman,Trustee,Adelphi University,,,"Limited Partner, Goldman, Sachs & Co",120.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
Helene R. Sullivan,Vice Chairman,Adelphi University,,Adelphi 1979 BBA,"Chief Financial Officer, Save the Children Federation, Inc",120.0,,,71965598.0,Adelphi University,188429.0,,,Board Vice President,True,
Patrick S. Smalley,Trustee,Adelphi University,,,,120.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
Robert Allyn Scott,Ex Officio Trustee,Adelphi University,,,,120.0,,,71965598.0,Adelphi University,188429.0,,,"Trustee, Ex Officio",True,
Lois Carter Schlissel,Trustee,Adelphi University,,SUNY (Oswego) 1972 BA; Buffalo 1975 JD,"Managing Attorney and Member [Chair, Management Committee], Meyer, Suozzi, English and Klein P.C 990 Stewart Avenue, Suite 300, Garden City, NY 11530",120.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
Gary Rosenberg,Trustee,Adelphi University,,Adelphi 1963 MSW,"Edith J. Baerwald Professor and Chief, Division of Social Work and Behavioral Science, Department of Community and Preventive Medicine, The Mount Sinai Medical Center, Inc One Gustave L. Levy Place, New York, NY 10029",120.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
Grace Pilcer,Trustee,Adelphi University,,"Adelphi 1967 MA, 1984 PhD",,120.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
Thomas F. Motamed,Trustee,Adelphi University,,Adelphi 1971; Widener 1975 JD,"Chairman and Chief Executive Officer, CNA Financial Corporation CNA Center, 333 South Wabash Avenue, Chicago, IL 60604",120.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
Gerald F. Mahoney,Trustee,Adelphi University,,Adelphi 1965,"Chairman and Chief Executive Officer, Mail-Well, Inc",120.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
Ronald B. Lee,Trustee,Adelphi University,,Adelphi 1967 BA,"Founder and Chairman Emeritus, Lee, Nolan & Koroghlian, LLC",120.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
Leon M. Pollack,Trustee,Adelphi University,,,"Managing Director, Donaldson, Lufkin & Jenrette, Inc",120.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
Laurence Kessler,Trustee,Adelphi University,,Adelphi 1965 BS,"Founder and Co-Owner, Kessler Restaurants LLC 410 White Spruce Boulevard, Rochester, NY 14623",120.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
Lindsey Kupferman,Trustee,Adelphi University,,,"Research Worker, Department of Psychiatry, Columbia University 107 Low Memorial Library, 535 West 116th Street, Mail Code 4304, New York, NY 10027",120.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
Michael Campbell,Trustee,Adelphi University,,Adelphi 1965,,119.0,,,71965598.0,Adelphi University,188429.0,,,Trustee,True,
