Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Contact,Notes,AffiliationId,FullName,carnegie_id,FixedPosition,StateSystem,PrimarySample
Dr. Mark S. Blumenkranz,Fellow,Brown University,,,,161.0,,,27804330.0,Brown University,217156.0,Trustee,,True
Rabbi Laura Geller,Fellow,Brown University,,,,161.0,,,27804330.0,Brown University,217156.0,Trustee,,True
Donald C. Hood,Fellow,Brown University,,,"James F. Bender Professor in Psychology, Columbia College",161.0,,,27804330.0,Brown University,217156.0,Trustee,,True
Robin A. Lenhardt,Fellow,Brown University,,,,161.0,,,27804330.0,Brown University,217156.0,Trustee,,True
Matthew J. Mallow,Fellow,Brown University,,Brown U 1964 AB: NYU 1967 LLB. 1968 LLM,,161.0,,,27804330.0,Brown University,217156.0,Trustee,,True
Samuel M. Mencoff,Fellow,Brown University,,Brown U 1978 AB: Harvard 1981 MBA,,161.0,,,27804330.0,Brown University,217156.0,Trustee,,True
Jonathan Milton Nelson,Fellow,Brown University,,,"Chief Executive Officer, Providence Equity Partners LLC",161.0,,,27804330.0,Brown University,217156.0,Trustee,,True
Theresia Gouw,Fellow,Brown University,,,"Partner, Accel Partners",161.0,,,27804330.0,Brown University,217156.0,Trustee,,True
Stephen Robert,Fellow,Brown University,,Brown U 1962 AB,"Chairman, Robert Capital Management, LLC",161.0,,,27804330.0,Brown University,217156.0,Trustee,,True
Charles M. Royce,Fellow,Brown University,,Brown U 1961 AB; Columbia 1963 MBA,"President and Co-Chief Investment Officer, Royce & Associates, LLC",161.0,,,27804330.0,Brown University,217156.0,Trustee,,True
Dr. Ruth J. Simmons,Fellow,Brown University,,Dillard 1967 BA: Harvard 1970 AM. 1973 PhD,,161.0,,,27804330.0,Brown University,217156.0,Trustee,,True
Peter S. Voss,Fellow,Brown University,,Brown U 1968 BA,"Chairman, IXIS Asset Management US Group, LP",161.0,,,27804330.0,Brown University,217156.0,Trustee,,True
Dr. Maria T. Zuber,Fellow,Brown University,,Brown U 1986 PhD,,161.0,,,27804330.0,Brown University,217156.0,Trustee,,True
Bill L. Amick,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Amick Processing, Inc",214.0,,,8078737.0,Clemson University,217882.0,Member,,True
David E. Dukes,Trustee,Clemson University,,Clemson 1981 BS: South Carolina 1984 JD,,214.0,,,8078737.0,Clemson University,217882.0,Member,,True
"Leon J. ""Bill"" Hendrix, Jr",Trustee,Clemson University,,Clemson 1976 BS; North Carolina MS Medical U (SC) 1988 DMD,,214.0,,,8078737.0,Clemson University,217882.0,Member,,True
Louis B. Lynn,Trustee,Clemson University,,,"President. ENVIRO AgScience, Inc",214.0,,,8078737.0,Clemson University,217882.0,Member,,True
Patricia Herring McAbee,Trustee,Clemson University,,,"Vice President, Custom Development Solutions",214.0,,,8078737.0,Clemson University,217882.0,Member,,True
"John N. ""Nicky"" McCarter, Jr.",Trustee,Clemson University,,,"President, Defender Services, Inc",214.0,,,8078737.0,Clemson University,217882.0,Member,,True
Ellison Smyth McKissick III,Trustee,Clemson University,,Clemson BS; South Carolina MBA,"President and Treasurer, Alice Manufacturing Company, Inc",214.0,,,8078737.0,Clemson University,217882.0,Member,,True
Robert L. Peeler,Vice Chair,Clemson University,,,,214.0,,,8078737.0,Clemson University,217882.0,Board Vice President,,True
"William C. Smith, Jr.",Trustee,Clemson University,,Clemson 1982 BS,"Chief Executive Officer, Red Rock Developments",214.0,,,8078737.0,Clemson University,217882.0,Member,,True
Joseph D. Swann,Trustee,Clemson University,,Clemson; Case Western 1969 MBA,"President, Rockwell Automation Power Systems, Rockwell Automation, Inc",214.0,,,8078737.0,Clemson University,217882.0,Member,,True
