Id,Source,Target,Type,Weight,Year
e_1999_1,Case Western Reserve University,Columbia University,Undirected,0.012658227848101266,1999
e_1999_2,Carnegie Mellon University,Duquesne University,Undirected,0.02112676056338028,1999
e_1999_3,Boston University,East Carolina University,Undirected,0.008695652173913044,1999
e_1999_4,Clark Atlanta University,Emory University,Undirected,0.028169014084507043,1999
e_1999_5,Brandeis University,Fordham University,Undirected,0.012195121951219513,1999
e_1999_6,Fordham University,Georgetown University,Undirected,0.01282051282051282,1999
e_1999_7,Clark Atlanta University,Georgia Institute of Technology,Undirected,0.021739130434782608,1999
e_1999_8,Clark Atlanta University,Georgia Southern University,Undirected,0.021739130434782608,1999
e_1999_9,Clark Atlanta University,Georgia State University,Undirected,0.021739130434782608,1999
e_1999_10,Brown University,Johns Hopkins University,Undirected,0.008547008547008548,1999
e_1999_11,Howard University,Johns Hopkins University,Undirected,0.011235955056179775,1999
e_1999_12,Clark Atlanta University,Kennesaw State University,Undirected,0.021739130434782608,1999
e_1999_13,Andrews University,Loma Linda University,Undirected,0.03278688524590164,1999
e_1999_14,Illinois Institute Of Technology,Loyola University Chicago,Undirected,0.015625,1999
e_1999_15,George Washington University,Marquette University,Undirected,0.012195121951219513,1999
e_1999_16,Boston University,Massachusetts Institute Of Technology,Undirected,0.0078125,1999
e_1999_17,George Washington University,Massachusetts Institute Of Technology,Undirected,0.01,1999
e_1999_18,Dartmouth College,New School,Undirected,0.014492753623188406,1999
e_1999_19,Georgetown University,New York University,Undirected,0.00819672131147541,1999
e_1999_20,Case Western Reserve University,Ohio State University,Undirected,0.015151515151515152,1999
e_1999_21,New York University,Rensselaer Polytechnic Institute,Undirected,0.008928571428571428,1999
e_1999_22,Princeton University,Rice University,Undirected,0.016666666666666666,1999
e_1999_23,Lehigh University,Seton Hall University,Undirected,0.0125,1999
e_1999_24,Adelphi University,State University of New York at Albany,Undirected,0.037037037037037035,1999
e_1999_25,Pennsylvania State University,Temple University,Undirected,0.024390243902439025,1999
e_1999_26,Brandeis University,Tufts University,Undirected,0.012195121951219513,1999
e_1999_27,Auburn University,Universitv of Alabama Tuscaloosa,Undirected,0.03571428571428571,1999
e_1999_28,Tufts University,University Of Chicago,Undirected,0.011904761904761904,1999
e_1999_29,New School,University Of Chicago,Undirected,0.009900990099009901,1999
e_1999_30,Marquette University,University Of Chicago,Undirected,0.011494252873563218,1999
e_1999_31,Illinois Institute Of Technology,University Of Chicago,Undirected,0.009174311926605505,1999
e_1999_32,Georgetown University,University Of Delaware,Undirected,0.013333333333333334,1999
e_1999_33,Tufts University,University Of Delaware,Undirected,0.014925373134328358,1999
e_1999_34,New York University,University Of Notre Dame,Undirected,0.007462686567164179,1999
e_1999_35,New Jersey Institute Of Technology,University Of Notre Dame,Undirected,0.008333333333333333,1999
e_1999_36,Hofstra University,University Of Pittsburgh,Undirected,0.010869565217391304,1999
e_1999_37,Carnegie Mellon University,University Of Pittsburgh,Undirected,0.006756756756756757,1999
e_1999_38,New Jersey Institute Of Technology,University Of Pittsburgh,Undirected,0.008547008547008548,1999
e_1999_39,Temple University,University Of Pittsburgh,Undirected,0.010526315789473684,1999
e_1999_40,Pennsylvania State University,University Of Pittsburgh,Undirected,0.01098901098901099,1999
e_1999_41,Universitv of Alabama Tuscaloosa,University Of South Alabama,Undirected,0.02564102564102564,1999
e_1999_42,Auburn University,University Of South Alabama,Undirected,0.05714285714285714,1999
e_1999_43,Loyola Marymount University,University Of Southern California,Undirected,0.010526315789473684,1999
e_1999_44,Carnegie Mellon University,University Of Southern California,Undirected,0.007194244604316547,1999
e_1999_45,University Of Notre Dame,University Of St Thomas Minnesota,Undirected,0.010526315789473684,1999
e_1999_46,Marquette University,University Of St Thomas Minnesota,Undirected,0.01282051282051282,1999
e_1999_47,Carnegie Mellon University,University Of Tulsa,Undirected,0.007518796992481203,1999
e_1999_48,California State University Fresno,University of California Berkeley,Undirected,0.02727272727272727,1999
e_1999_49,San Diego State University,University of California Berkeley,Undirected,0.03614457831325301,1999
e_1999_50,California State University Long Beach,University of California Berkeley,Undirected,0.02727272727272727,1999
e_1999_51,California State University Hayward,University of California Berkeley,Undirected,0.03614457831325301,1999
e_1999_52,California State University Fullerton,University of California Berkeley,Undirected,0.021897810218978103,1999
e_1999_53,San Francisco State University,University of California Berkeley,Undirected,0.03614457831325301,1999
e_1999_54,California State University San Bernardino,University of California Berkeley,Undirected,0.02727272727272727,1999
e_1999_55,California State University Fresno,University of California Davis,Undirected,0.02727272727272727,1999
e_1999_56,San Diego State University,University of California Davis,Undirected,0.03614457831325301,1999
e_1999_57,California State University Long Beach,University of California Davis,Undirected,0.02727272727272727,1999
e_1999_58,California State University Hayward,University of California Davis,Undirected,0.03614457831325301,1999
e_1999_59,California State University Fullerton,University of California Davis,Undirected,0.021897810218978103,1999
e_1999_60,San Francisco State University,University of California Davis,Undirected,0.03614457831325301,1999
e_1999_61,California State University San Bernardino,University of California Davis,Undirected,0.02727272727272727,1999
e_1999_62,California State University Fresno,University of California Irvine,Undirected,0.02727272727272727,1999
e_1999_63,San Diego State University,University of California Irvine,Undirected,0.03614457831325301,1999
e_1999_64,California State University Long Beach,University of California Irvine,Undirected,0.02727272727272727,1999
e_1999_65,California State University Hayward,University of California Irvine,Undirected,0.03614457831325301,1999
e_1999_66,California State University Fullerton,University of California Irvine,Undirected,0.021897810218978103,1999
e_1999_67,San Francisco State University,University of California Irvine,Undirected,0.03614457831325301,1999
e_1999_68,California State University San Bernardino,University of California Irvine,Undirected,0.02727272727272727,1999
e_1999_69,California State University Fresno,University of California Los Angeles,Undirected,0.02727272727272727,1999
e_1999_70,San Diego State University,University of California Los Angeles,Undirected,0.03614457831325301,1999
e_1999_71,California State University Long Beach,University of California Los Angeles,Undirected,0.02727272727272727,1999
e_1999_72,California State University Hayward,University of California Los Angeles,Undirected,0.03614457831325301,1999
e_1999_73,California State University Fullerton,University of California Los Angeles,Undirected,0.021897810218978103,1999
e_1999_74,San Francisco State University,University of California Los Angeles,Undirected,0.03614457831325301,1999
e_1999_75,California State University San Bernardino,University of California Los Angeles,Undirected,0.02727272727272727,1999
e_1999_76,California State University Fresno,University of California Merced,Undirected,0.02727272727272727,1999
e_1999_77,San Diego State University,University of California Merced,Undirected,0.03614457831325301,1999
