Id,Label,Interlock_Count,AffiliationId,Board_Size
Adelphi University,Adelphi University,1,71965598,17
American University,American University,0,181401687,28
Andrews University,Andrews University,2,102298084,36
Auburn University,Auburn University,3,82497590,12
Ball State University,Ball State University,0,198089087,9
Baylor University,Baylor University,0,157394403,36
Biola University,Biola University,0,152479009,24
Boston College,Boston College,0,103531236,38
Boston University,Boston University,3,111088046,72
Bowling Green State University,Bowling Green State University,0,157417397,8
Brandeis University,Brandeis University,2,6902469,47
Brown University,Brown University,2,27804330,55
California State University Fresno,California State University Fresno,30,67328108,54
California State University Fullerton,California State University Fullerton,30,142934699,81
California State University Hayward,California State University Hayward,30,184813773,27
California State University Long Beach,California State University Long Beach,30,59897056,54
California State University San Bernardino,California State University San Bernardino,30,43369023,54
Carnegie Mellon University,Carnegie Mellon University,7,74973139,96
Case Western Reserve University,Case Western Reserve University,2,58956616,53
Catholic University Of America,Catholic University Of America,1,84470341,42
Central Michigan University,Central Michigan University,0,1629065,7
Chapman University,Chapman University,0,185071736,40
Clark Atlanta University,Clark Atlanta University,7,52064589,30
Clark University,Clark University,0,130785548,24
Clarkson University,Clarkson University,0,16944753,28
Clemson University,Clemson University,0,8078737,58
Cleveland State University,Cleveland State University,0,102607778,25
College Of William And Mary,College Of William And Mary,0,16285277,17
Colorado School Of Mines,Colorado School Of Mines,0,167576493,7
Columbia University,Columbia University,1,78577930,26
Cornell University,Cornell University,0,205783295,46
Dartmouth College,Dartmouth College,2,107672454,17
Drexel University,Drexel University,0,72816309,42
Duke University,Duke University,0,170897317,42
Duquesne University,Duquesne University,3,165102784,46
East Carolina University,East Carolina University,1,186335123,43
Eastern Michigan University,Eastern Michigan University,0,138216421,34
Emory University,Emory University,2,150468666,41
Florida Agricultural and Mechanical University,Florida Agricultural and Mechanical University,0,8248082,16
Florida Atlantic University,Florida Atlantic University,0,63772739,16
Florida Institute Of Technology,Florida Institute Of Technology,0,106959904,27
Fordham University,Fordham University,2,164389053,35
George Mason University,George Mason University,0,162714631,15
George Washington University,George Washington University,2,193531525,44
Georgetown University,Georgetown University,3,184565670,43
Georgia Institute of Technology,Georgia Institute of Technology,1,130701444,16
Georgia Southern University,Georgia Southern University,1,39815113,16
Georgia State University,Georgia State University,1,181565077,16
Harvard University,Harvard University,0,136199984,39
Hofstra University,Hofstra University,2,139290212,40
Howard University,Howard University,1,137853757,27
Illinois Institute Of Technology,Illinois Institute Of Technology,2,180949307,60
Illinois State University,Illinois State University,0,47301684,7
Indiana State University,Indiana State University,0,86420138,9
Indiana University of Pennsylvania,Indiana University of Pennsylvania,0,200885203,23
James Madison University,James Madison University,0,11883440,17
Johns Hopkins University,Johns Hopkins University,2,145311948,62
Kennesaw State University,Kennesaw State University,1,172980758,16
Kent State University,Kent State University,0,149910238,19
Lehigh University,Lehigh University,1,186143895,38
Loma Linda University,Loma Linda University,2,26347476,25
Long Island University,Long Island University,0,138873065,130
Louisiana Tech University,Louisiana Tech University,0,919208787,13
Loyola Marymount University,Loyola Marymount University,1,35566140,52
Loyola University Chicago,Loyola University Chicago,1,1925986,4
Marquette University,Marquette University,3,102461120,38
Marshall University,Marshall University,15,88694374,17
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,3,63966007,56
Mercer University,Mercer University,0,150149174,45
Michigan State University,Michigan State University,0,87216513,12
Michigan Technological University,Michigan Technological University,0,11957088,4
Mississippi State University,Mississippi State University,0,99041443,12
Montclair State University,Montclair State University,0,166088655,13
New Jersey Institute Of Technology,New Jersey Institute Of Technology,3,118118575,65
New School,New School,2,102179633,52
New York University,New York University,4,57206974,79
North Carolina Agricultural and Technical State University,North Carolina Agricultural and Technical State University,0,35777872,27
North Carolina State University,North Carolina State University,0,137902535,26
North Dakota State University,North Dakota State University,0,57328836,17
North Dakota University,North Dakota University,0,24571045,34
Northern Illinois University,Northern Illinois University,0,102502594,8
Nova Southeastern University,Nova Southeastern University,0,203088144,31
Oakland University,Oakland University,0,177721651,8
