Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,AffiliationId,carnegie_id,FixedPosition,StateSystem,PrimarySample
John P. Birkelund,Fellow,Brown University,Board of Fellows,,"President, American Heritage Forbes Bldg., 60 5th Ave., New York, NY 10011 Tel: (212) 206-5500 Fax: (212) 620-2332",154.0,,27804330.0,217156.0,Trustee,,True
Elizabeth Z. Chace,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,Trustee,,True
Barbara L. Chase,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,Trustee,,True
Timothy C. Forbes,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,Trustee,,True
Kathryn S. Fuller,Fellow,Brown University,Board of Fellows,Brown 1976 AB,,154.0,,27804330.0,217156.0,Trustee,,True
E. Gordon Gee,President,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,Board President,,True
E. Gordon Gee,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,Trustee,,True
Steven R. Jordan,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,Trustee,,True
Artemis A.W. Joukowsky,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,Trustee,,True
Frederick Lippitt,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,Trustee,,True
Dand E. McKinney,Fellow,Brown University,Board of Fellows,,,154.0,,27804330.0,217156.0,Trustee,,True
Wendy J. Strothman,Secretary,Brown University,Board of Fellows,,"Executive Vice President, Trade and Reference Division, Houghton Mifflin Company 222 Berkeley St., Boston, MA 02116-3764 Tel: (617) 351-5909 Fax: (617) 351-1100",154.0,,27804330.0,217156.0,Other Board Member,,True
Alva O. Way,Fellow,Brown University,Board of Fellows,,"Chairman, IBJ Schroder Bank & Trust Company 1 State St., New York, NY 10004 Tel: (212) 858-2545 Fax: (212) 425-0542",154.0,,27804330.0,217156.0,Trustee,,True
Bill L. Amick,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Amick Farms",204.0,,8078737.0,217882.0,Member,,True
John. Britton,Trustee,Clemson University,,,,204.0,,8078737.0,217882.0,Member,,True
"Lawrence M. Gressette, Jr",Chairman,Clemson University,,,"Executive Committee Chairman, SCANA Corporation",204.0,,8078737.0,217882.0,Board President,,True
"Leon J. Hendrix, Jr",Trustee,Clemson University,,,"Clayton, Dubilier & Rice, Inc",204.0,,8078737.0,217882.0,Member,,True
Harold D. Kingsmore,Trustee,Clemson University,,,Kingsmore Enterprises,204.0,,8078737.0,217882.0,Member,,True
Louis B. Lynn,Trustee,Clemson University,,,"President, ENVIRO AgScience, Inc",204.0,,8078737.0,217882.0,Member,,True
Patricia Herring McAbee,Trustee,Clemson University,,,Piedmont Technical College,204.0,,8078737.0,217882.0,Member,,True
Leslie G. McCraw,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Fluor Corporation",204.0,,8078737.0,217882.0,Member,,True
Ellison Smyth McKissick III,Trustee,Clemson University,,,"President and Treasurer, Alice Manufacturing Company, Inc",204.0,,8078737.0,217882.0,Member,,True
"Thomas B. McTeer, Jr.",Trustee,Clemson University,,,"President, McTeer Real Estate, Inc",204.0,,8078737.0,217882.0,Member,,True
