Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Notes,Career,AffiliationId,carnegie_id,FixedPosition,StateSystem,PrimarySample
Elizabeth Z. Chace,Fellow,Brown University,,,,186.0,,,27804330.0,217156.0,Trustee,,True
Timothy C. Forbes,Fellow,Brown University,,,"Affiliation: President, American Heritage Forbes Bldg., 60 5th Ave., New York, NY 10011 Tel: (212) 206-5590",186.0,,,27804330.0,217156.0,Trustee,,True
Kathryn S. Fuller,Fellow,Brown University,,Brown 1968 BA; Texas 1976 JD,"Career: President and Chief Executive Officer, World Wildlife Fund (1989-2005)",186.0,,,27804330.0,217156.0,Trustee,,True
Donald C. Hood,Fellow,Brown University,,,"Affiliation: James F. Bender Professor in Psychology, Columbia College 208 Hamilton Hall, 1130 Amsterdam Avenue, MC 2805, New York, NY 10027 Tel: (212) 854-4587",186.0,,,27804330.0,217156.0,Trustee,,True
Steven R. Jordan,Fellow,Brown University,,Brown 1982 BS,"Affiliation: Senior Project Manager, Ryan Companies USIncTel: (480) 857-6485",186.0,,,27804330.0,217156.0,Trustee,,True
Artemis A.W. Joukowsky.,Fellow,Brown University,,,E-mail: artemis_joukowsky@brown.edu,186.0,,,27804330.0,217156.0,Trustee,,True
David E. McKinney,Fellow,Brown University,,,,186.0,,,27804330.0,217156.0,Trustee,,True
Steven L. Rattner,Fellow,Brown University,,Brown 1974 AB,"Managing Principal, Quadrangle Group LLC",186.0,,,27804330.0,217156.0,Trustee,,True
Ruth J. Simmons,Fellow,Brown University,,,"Principal Literary Agent, The Strothman Agency",186.0,,,27804330.0,217156.0,Trustee,,True
Wendy J. Strothman,Secretary,Brown University,,,"Principal Literary Agent, The Strothman Agency",186.0,,,27804330.0,217156.0,Other Board Member,,True
Alva O. Way,Fellow,Brown University,,,,186.0,,,27804330.0,217156.0,Trustee,,True
Bill L. Amick,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Amick Processing, Inc",257.0,,,8078737.0,217882.0,Member,,True
John J. Britton,Vice Chairman,Clemson University,,,,257.0,,,8078737.0,217882.0,Board Vice President,,True
"Lawrence M. Gressette, Jr",Trustee,Clemson University,,Clemson 1954 BS; South Carolina 1959 LLB,,257.0,,,8078737.0,217882.0,Member,,True
"Leon J. Hendrix, Jr",Chairman,Clemson University,,,"Chairman, Remington Arms Company, Inc",257.0,,,8078737.0,217882.0,Board President,,True
"Thomas C. Lynch, Jr",Trustee,Clemson University,,,,257.0,,,8078737.0,217882.0,Member,,True
Louis B. Lynn,Trustee,Clemson University,,,"President, ENVIRO AgScience, Inc",257.0,,,8078737.0,217882.0,Member,,True
Patricia Herring McAbee,Trustee,Clemson University,,,"Vice President, Custom Development Solutions 0",258.0,,,8078737.0,217882.0,Member,,True
Leslie G. McCraw,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Fluor Corporation",258.0,,,8078737.0,217882.0,Member,,True
Ellison Smyth McKissick III,Trustee,Clemson University,,Clemson BS; South Carolina MBA,"President and Treasurer, Alice Manufacturing Company, Inc",258.0,,,8078737.0,217882.0,Member,,True
"Thomas B. McTeer, Jr.",Trustee,Clemson University,,,"President, MeTer Real Estate, Inc",258.0,,,8078737.0,217882.0,Member,,True
Robert L. Peeler,Trustee,Clemson University,,,"Agent, McGee Real Estate",258.0,,,8078737.0,217882.0,Member,,True
"William C. Smith, Jr.",Trustee,Clemson University,,,"Chief Executive Officer, Holmes Smith Developments, Inc",258.0,,,8078737.0,217882.0,Member,,True
Joseph D. Swann,Trustee,Clemson University,,Clemson; Case Western 1969 MBA,,258.0,,,8078737.0,217882.0,Member,,True
Richard H. Blatt,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,Trustee,,True
Thomas MBuck,Chairman,Columbia University,,,,282.0,,,78577930.0,190150.0,Board President,,True
Elizabeth Duda,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,Trustee,,True
Joanne Dull,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,Trustee,,True
Kirk Farney,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,Trustee,,True
Rev. Dan Gilbert,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,Trustee,,True
James Grebe,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,Trustee,,True
John F. Johnson,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,Trustee,,True
Kathleen Mills,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,Trustee,,True
Chris Nelson,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,Trustee,,True
Terry Pfortmiller,Secretary,Columbia University,,,,282.0,,,78577930.0,190150.0,Other Board Member,,True
Robert Rauscher,Vice Chairman,Columbia University,,,,282.0,,,78577930.0,190150.0,Board Vice President,,True
Leopold Schmidt,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,Trustee,,True
Mark Schulz,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,Trustee,,True
Kent A. Tibben,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,Trustee,,True
Fred A. Wittlinger,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,Trustee,,True
James R. Houghton,Fellow,Harvard University,,Harvard 1958 AB. 1962 MBA,"Chairman and Chief Executive Officer, Corning Incorporated (2002-2005)",371.0,,,136199984.0,166027.0,Overseer,,True
Nannerl Overholser Keohane,Fellow,Harvard University,,"Wellesley 1961 BA; Oxford (UK) 1963 BA, MA; Yale 1967 PhD","Laurance S. Rockefeller Distinguished Visiting Professor of Public Affairs and the University Center for Human Values, Princeton University",371.0,,,136199984.0,166027.0,Overseer,,True
Patricia A. King,Fellow,Harvard University,,Wheaton (MA) 1963; Harvard 1969 JD,"Professor of Law, Georgetown University",371.0,,,136199984.0,166027.0,Overseer,,True
Robert D. Reischauer,Fellow,Harvard University,,"Harvard AB; Columbia MIA, PhD",,371.0,,,136199984.0,166027.0,Overseer,,True
James F. Rothenberg,Treasurer,Harvard University,,Harvard 1968 AB. 1970 MBA,"Chairman and Principal Executive Officer, Capital Research & Management Company",371.0,,,136199984.0,166027.0,Other Board Member,,True
James F. Rothenberg,Fellow,Harvard University,,Harvard 1968 AB. 1970 MBA,"Chairman and Principal Executive Officer, Capital Research & Management Company",371.0,,,136199984.0,166027.0,Overseer,,True
Robert E. Rubin,Fellow,Harvard University,,Harvard 1960 AB; Yale 1964 LLB; London School Econ (UK),"Chairman [Chairman of the Executive Committee], Office of the Chairman, Citigroup Inc399 Park Avenue, New York, NY 10022",371.0,,,136199984.0,166027.0,Overseer,,True
Robert J. Abernethy,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,Regent,,True
