Year,Name,Position,Institution,SubInstitution,Education,AffiliationId,carnegie_id,level_0,index,FixedPosition,PrimarySample,StateSystem
2011,Frank Angello,Trustee,Adelphi University,,Adelphi 1977,71965598.0,188429.0,,,Trustee,True,
2011,Barry T. Zeman,Trustee,Adelphi University,,,71965598.0,188429.0,,,Trustee,True,
2011,Robert B. Willumstad,Vice Chairman,Adelphi University,,Adelphi BA,71965598.0,188429.0,,,Board Vice President,True,
2011,Marjorie Weinberg-Berman,Trustee,Adelphi University,,,71965598.0,188429.0,,,Trustee,True,
2011,Helene R. Sullivan,Secretary,Adelphi University,,,71965598.0,188429.0,,,Other Board Member,True,
2011,Robert Allyn Scott,Ex Officio Trustee,Adelphi University,,,71965598.0,188429.0,,,"Trustee, Ex Officio",True,
2011,Christopher D. Saridakis,Trustee,Adelphi University,,Adelphi 1990 BS; NYU MS; Fordham MBA,71965598.0,188429.0,,,Trustee,True,
2011,Gary Rosenberg,Trustee,Adelphi University,,Adelphi 1963 MSW,71965598.0,188429.0,,,Trustee,True,
2011,Leon M. Pollack,Trustee,Adelphi University,,,71965598.0,188429.0,,,Trustee,True,
2011,"Thomas F. ""Tom"" Motamed.",Chairman,Adelphi University,,Adelphi 1971; Widener 1975 JD (008),71965598.0,188429.0,,,Board President,True,
2011,Gerald F. Mahoney,Trustee,Adelphi University,,Adelphi 1965,71965598.0,188429.0,,,Trustee,True,
2011,Katherine Hagedorn Littlefield.,Trustee,Adelphi University,,,71965598.0,188429.0,,,Trustee,True,
2011,Lindsey Kupferman,Trustee,Adelphi University,,,71965598.0,188429.0,,,Trustee,True,
2011,Lois Carter Schlissel,Trustee,Adelphi University,,SUNY (Oswego) 1972 BA; Buffalo 1975 JD two& noitsaul,71965598.0,188429.0,,,Trustee,True,
2011,Angela M. Jaggar,Trustee,Adelphi University,,"Adelphi 1962 BS, 1965 MS",71965598.0,188429.0,,,Trustee,True,
2011,Laurence Kessler,Trustee,Adelphi University,,Adelphi 1965,71965598.0,188429.0,,,Trustee,True,
