Id,Source,Target,Type,Weight,Year
e_2005_1,Carnegie Mellon University,Duquesne University,Undirected,2,2005
e_2005_2,Duke University,Emory University,Undirected,1,2005
e_2005_3,Fordham University,Georgetown University,Undirected,1,2005
e_2005_4,Andrews University,Loma Linda University,Undirected,5,2005
e_2005_5,Boston College,Loyola Marymount University,Undirected,2,2005
e_2005_6,Fordham University,Loyola University Chicago,Undirected,1,2005
e_2005_7,Boston College,Loyola University Chicago,Undirected,2,2005
e_2005_8,Loyola University Chicago,Marquette University,Undirected,1,2005
e_2005_9,Howard University,Massachusetts Institute Of Technology,Undirected,1,2005
e_2005_10,Cornell University,Massachusetts Institute Of Technology,Undirected,1,2005
e_2005_11,Harvard University,Massachusetts Institute Of Technology,Undirected,1,2005
e_2005_12,Dartmouth College,New School,Undirected,1,2005
e_2005_13,Massachusetts Institute Of Technology,New School,Undirected,1,2005
e_2005_14,Cornell University,New School,Undirected,2,2005
e_2005_15,Columbia University,New York University,Undirected,1,2005
e_2005_16,New School,New York University,Undirected,1,2005
e_2005_17,Georgetown University,New York University,Undirected,1,2005
e_2005_18,Hofstra University,New York University,Undirected,1,2005
e_2005_19,Clarkson University,New York University,Undirected,1,2005
e_2005_20,Drexel University,Pennsylvania State System Of Higher Education,Undirected,1,2005
e_2005_21,Pennsylvania State System Of Higher Education,Pennsylvania State University,Undirected,1,2005
e_2005_22,Carnegie Mellon University,Princeton University,Undirected,1,2005
e_2005_23,Georgetown University,Rensselaer Polytechnic Institute,Undirected,1,2005
e_2005_24,Cornell University,Rochester Institute Of Technology,Undirected,1,2005
e_2005_25,Pennsylvania State System Of Higher Education,Temple University,Undirected,2,2005
e_2005_26,Pennsylvania State University,Temple University,Undirected,1,2005
e_2005_27,Brown University,Tufts University,Undirected,1,2005
e_2005_28,Tufts University,University Of Chicago,Undirected,1,2005
e_2005_29,University Of California System,University Of Chicago,Undirected,1,2005
e_2005_30,New York University,University Of Chicago,Undirected,1,2005
e_2005_31,Princeton University,University Of Chicago,Undirected,1,2005
e_2005_32,New School,University Of Chicago,Undirected,1,2005
e_2005_33,Illinois Institute Of Technology,University Of Chicago,Undirected,1,2005
e_2005_34,Georgetown University,University Of Connecticut,Undirected,1,2005
e_2005_35,New York University,University Of Connecticut,Undirected,1,2005
e_2005_36,Tufts University,University Of New Mexico,Undirected,1,2005
e_2005_37,New Jersey Institute Of Technology,University Of Notre Dame,Undirected,1,2005
e_2005_38,Pennsylvania State System Of Higher Education,University Of Pittsburgh,Undirected,2,2005
e_2005_39,Temple University,University Of Pittsburgh,Undirected,2,2005
e_2005_40,Carnegie Mellon University,University Of Pittsburgh,Undirected,1,2005
e_2005_41,Pennsylvania State University,University Of Pittsburgh,Undirected,1,2005
e_2005_42,Auburn University,University Of South Alabama,Undirected,1,2005
e_2005_43,University Of California System,University Of Southern California,Undirected,1,2005
e_2005_44,University Of Notre Dame,University Of St Thomas Minnesota,Undirected,1,2005
e_2005_45,Princeton University,University Of Virginia,Undirected,1,2005
e_2005_46,Clark Atlanta University,University System Of Georgia,Undirected,1,2005
e_2005_47,Dartmouth College,University System Of New Hampshire,Undirected,1,2005
e_2005_48,University Of South Alabama,University of Alabama System,Undirected,2,2005
e_2005_49,Auburn University,University of Alabama System,Undirected,1,2005
e_2005_50,Harvard University,Vanderbilt University,Undirected,1,2005
e_2005_51,University Of Notre Dame,Vanderbilt University,Undirected,1,2005
e_2005_52,University Of St Thomas Minnesota,Vanderbilt University,Undirected,1,2005
e_2005_53,Drexel University,Villanova University,Undirected,1,2005
e_2005_54,University Of San Diego,Wake Forest University,Undirected,1,2005
e_2005_55,George Washington University,Washington State University,Undirected,1,2005
e_2005_56,Lehigh University,West Virginia University,Undirected,1,2005
e_2005_57,Massachusetts Institute Of Technology,Yale University,Undirected,1,2005
e_2005_58,Fordham University,Yeshiva University,Undirected,1,2005
e_2005_59,Hofstra University,Yeshiva University,Undirected,1,2005
e_2005_60,New York University,Yeshiva University,Undirected,1,2005
e_2005_61,Columbia University,Yeshiva University,Undirected,1,2005
