Year,Institution,AffiliationId,female_president,PrimarySample,total_members,male,female,unknown,total_ethnicity,white,poc,unknown_eth,board_turnover,male_change,female_change,unknown_change,white_change,poc_change,unknown_eth_change,carnegie_id_x,state,control,StateSystem,region,num_billionaires,carnegie_id_y,year_x,admissions.admission_rate.overall,carnegie_id,year_y,student.demographics.age_entry,student.demographics.female_share,student.demographics.married,student.demographics.dependent,student.demographics.avg_family_income,student.students_with_pell_grant,student.demographics.poverty_rate,student.demographics.unemployment,student.demographics.men,student.demographics.women,student.demographics.share_white.home_ZIP,student.demographics.share_black.home_ZIP,student.demographics.share_asian.home_ZIP,student.demographics.share_hispanic.home_ZIP,student.demographics.share_bachelors_degree_age25.home_ZIP,student.demographics.share_professional_degree_age25.home_ZIP,student.demographics.share_born_US.home_ZIP,student.demographics.faculty.women,betweenness,closeness,eigenvector,degree,clustering
1999,Adelphi University,71965598.0,False,True,17,13,3,1,17,15,2,0,0.0,0,0,0,0,0,0,188429.0,NY,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,American University,181401687.0,False,True,28,17,11,0,27,26,1,0,0.0,0,0,0,0,0,0,131159.0,DC,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Andrews University,102298084.0,False,True,36,26,9,1,36,30,6,0,0.0,0,0,0,0,0,0,168740.0,MI,Private,False,Midwest,1,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Arizona Board of Regents,55732556.0,False,True,12,7,5,0,11,11,0,0,0.0,0,0,0,0,0,0,104151.0,AZ,Public,Arizona Board of Regents,West,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Auburn University,82497590.0,False,True,12,10,1,1,12,11,1,0,0.0,0,0,0,0,0,0,100858.0,AL,Public,False,South,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Ball State University,198089087.0,False,True,9,6,2,1,9,8,1,0,0.0,0,0,0,0,0,0,150136.0,IN,Public,False,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Baylor University,157394403.0,False,True,36,30,3,3,33,28,5,0,0.0,0,0,0,0,0,0,223232.0,TX,Private,False,South,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Biola University,152479009.0,False,True,24,20,3,1,21,19,2,0,0.0,0,0,0,0,0,0,110097.0,CA,Private,False,West,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Boston College,103531236.0,False,True,38,30,6,2,36,36,0,0,0.0,0,0,0,0,0,0,164924.0,MA,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Boston University,111088046.0,False,True,72,61,9,2,50,46,4,0,0.0,0,0,0,0,0,0,164988.0,MA,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
