Id,Source,Target,Type,Weight,Year
e_2008_510,Brandeis University,Columbia University,Undirected,0.008130081300813009,2008
e_2008_511,Case Western Reserve University,Duke University,Undirected,0.013333333333333334,2008
e_2008_512,Clark Atlanta University,Emory University,Undirected,0.013333333333333334,2008
e_2008_513,Boston University,Florida Agricultural and Mechanical University,Undirected,0.019230769230769232,2008
e_2008_514,Boston College,Georgetown University,Undirected,0.011627906976744186,2008
e_2008_515,Fordham University,Georgetown University,Undirected,0.025,2008
e_2008_516,Clark Atlanta University,Georgia Institute of Technology,Undirected,0.019230769230769232,2008
e_2008_517,Clark Atlanta University,Georgia Southern University,Undirected,0.019230769230769232,2008
e_2008_518,Clark Atlanta University,Georgia State University,Undirected,0.019230769230769232,2008
e_2008_519,Brandeis University,Harvard University,Undirected,0.011764705882352941,2008
e_2008_520,Duke University,Johns Hopkins University,Undirected,0.009433962264150943,2008
e_2008_521,Clark Atlanta University,Kennesaw State University,Undirected,0.019230769230769232,2008
e_2008_522,Carnegie Mellon University,Lehigh University,Undirected,0.007142857142857143,2008
e_2008_523,Andrews University,Loma Linda University,Undirected,0.0847457627118644,2008
e_2008_524,Boston College,Loyola Marymount University,Undirected,0.007246376811594203,2008
e_2008_525,Fordham University,Loyola University Chicago,Undirected,0.012987012987012988,2008
e_2008_526,Boston College,Loyola University Chicago,Undirected,0.024096385542168676,2008
e_2008_527,Georgetown University,Loyola University Chicago,Undirected,0.012658227848101266,2008
e_2008_528,Loyola University Chicago,Marquette University,Undirected,0.01282051282051282,2008
e_2008_529,Dartmouth College,Marquette University,Undirected,0.017241379310344827,2008
e_2008_530,Howard University,Massachusetts Institute Of Technology,Undirected,0.011764705882352941,2008
e_2008_531,Cornell University,Massachusetts Institute Of Technology,Undirected,0.009708737864077669,2008
e_2008_532,Kennesaw State University,Mercer University,Undirected,0.03076923076923077,2008
e_2008_533,Georgia Institute of Technology,Mercer University,Undirected,0.03076923076923077,2008
e_2008_534,Georgia State University,Mercer University,Undirected,0.03076923076923077,2008
e_2008_535,Georgia Southern University,Mercer University,Undirected,0.03076923076923077,2008
e_2008_536,Clemson University,Mercer University,Undirected,0.008620689655172414,2008
e_2008_537,Massachusetts Institute Of Technology,New School,Undirected,0.00909090909090909,2008
e_2008_538,Cornell University,New School,Undirected,0.009174311926605505,2008
e_2008_539,Georgetown University,New York University,Undirected,0.0072992700729927005,2008
