Id,Label,Interlock_Count,AffiliationId,Board_Size
Andrews University,Andrews University,5,102298084,38
Auburn University,Auburn University,1,82497590,18
Boston College,Boston College,4,103531236,46
Brandeis University,Brandeis University,3,6902469,44
Brown University,Brown University,2,27804330,59
Carnegie Mellon University,Carnegie Mellon University,2,74973139,39
Catholic University Of America,Catholic University Of America,4,84470341,50
Columbia University,Columbia University,3,78577930,54
Cornell University,Cornell University,2,205783295,47
Dartmouth College,Dartmouth College,1,107672454,23
Duke University,Duke University,2,170897317,37
Fordham University,Fordham University,3,164389053,39
Georgetown University,Georgetown University,6,184565670,43
Hofstra University,Hofstra University,1,139290212,30
Howard University,Howard University,2,137853757,33
Illinois Institute Of Technology,Illinois Institute Of Technology,2,180949307,44
Johns Hopkins University,Johns Hopkins University,3,145311948,67
Loma Linda University,Loma Linda University,5,26347476,20
Loyola Marymount University,Loyola Marymount University,4,35566140,90
Loyola University Chicago,Loyola University Chicago,4,1925986,45
Marquette University,Marquette University,2,102461120,33
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,4,63966007,50
New Jersey Institute Of Technology,New Jersey Institute Of Technology,2,118118575,46
New School,New School,3,102179633,58
New York University,New York University,4,57206974,52
North Dakota University System,North Dakota University System,1,4210127926,14
Pennsylvania State System of Higher Education,Pennsylvania State System of Higher Education,1,29957033,21
Pennsylvania State University,Pennsylvania State University,2,130769515,33
Princeton University,Princeton University,2,20089843,41
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,2,165799507,32
Rice University,Rice University,1,74775410,24
Rochester Institute Of Technology,Rochester Institute Of Technology,1,155173764,49
Seton Hall University,Seton Hall University,3,12524447,47
St Johns University,St Johns University,3,142823887,29
Stanford University,Stanford University,1,97018004,31
State University of New York System,State University of New York System,2,1327163397,17
Syracuse University,Syracuse University,2,70983195,72
Temple University,Temple University,1,84392919,32
Tennessee Board of Regents,Tennessee Board of Regents,2,94658018,22
Tufts University,Tufts University,3,121934306,43
University Of Chicago,University Of Chicago,5,40347166,49
University Of Connecticut,University Of Connecticut,2,140172145,21
University Of New Mexico,University Of New Mexico,1,169521973,8
University Of Notre Dame,University Of Notre Dame,1,107639228,54
University Of Pittsburgh,University Of Pittsburgh,4,170201317,51
University Of San Diego,University Of San Diego,1,160856358,41
University Of St Thomas Minnesota,University Of St Thomas Minnesota,4,161515732,40
University System of New Hampshire,University System of New Hampshire,1,2800453862,27
University System of Ohio,University System of Ohio,1,2802096936,110
University of Alabama System,University of Alabama System,1,2800507078,16
University of Alaska System,University of Alaska System,1,2802090665,11
University of Tennessee System,University of Tennessee System,2,2799495847,23
Vanderbilt University,Vanderbilt University,2,200719446,55
Worcester Polytechnic Institute,Worcester Polytechnic Institute,1,107077323,34
Yale University,Yale University,2,32971472,18
Yeshiva University,Yeshiva University,2,19772626,44
