Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Notes,Career,AffiliationId,carnegie_id,PrimarySample,FixedPosition
Alva O. Way,Fellow,Brown University,,,,186.0,,,27804330.0,217156.0,True,Trustee
Elizabeth Z. Chace,Fellow,Brown University,,,,186.0,,,27804330.0,217156.0,True,Trustee
Timothy C. Forbes,Fellow,Brown University,,,"Affiliation: President, American Heritage Forbes Bldg., 60 5th Ave., New York, NY 10011 Tel: (212) 206-5590",186.0,,,27804330.0,217156.0,True,Trustee
Kathryn S. Fuller,Fellow,Brown University,,Brown 1968 BA; Texas 1976 JD,"Career: President and Chief Executive Officer, World Wildlife Fund (1989-2005)",186.0,,,27804330.0,217156.0,True,Trustee
Donald C. Hood,Fellow,Brown University,,,"Affiliation: James F. Bender Professor in Psychology, Columbia College 208 Hamilton Hall, 1130 Amsterdam Avenue, MC 2805, New York, NY 10027 Tel: (212) 854-4587",186.0,,,27804330.0,217156.0,True,Trustee
Steven R. Jordan,Fellow,Brown University,,Brown 1982 BS,"Affiliation: Senior Project Manager, Ryan Companies USIncTel: (480) 857-6485",186.0,,,27804330.0,217156.0,True,Trustee
Artemis A.W. Joukowsky.,Fellow,Brown University,,,E-mail: artemis_joukowsky@brown.edu,186.0,,,27804330.0,217156.0,True,Trustee
David E. McKinney,Fellow,Brown University,,,,186.0,,,27804330.0,217156.0,True,Trustee
Steven L. Rattner,Fellow,Brown University,,Brown 1974 AB,"Managing Principal, Quadrangle Group LLC",186.0,,,27804330.0,217156.0,True,Trustee
Ruth J. Simmons,Fellow,Brown University,,,"Principal Literary Agent, The Strothman Agency",186.0,,,27804330.0,217156.0,True,Trustee
Wendy J. Strothman,Secretary,Brown University,,,"Principal Literary Agent, The Strothman Agency",186.0,,,27804330.0,217156.0,True,Other Board Member
"Thomas C. Lynch, Jr",Trustee,Clemson University,,,,257.0,,,8078737.0,217882.0,True,Member
Louis B. Lynn,Trustee,Clemson University,,,"President, ENVIRO AgScience, Inc",257.0,,,8078737.0,217882.0,True,Member
John J. Britton,Vice Chairman,Clemson University,,,,257.0,,,8078737.0,217882.0,True,Board Vice President
"Lawrence M. Gressette, Jr",Trustee,Clemson University,,Clemson 1954 BS; South Carolina 1959 LLB,,257.0,,,8078737.0,217882.0,True,Member
"Leon J. Hendrix, Jr",Chairman,Clemson University,,,"Chairman, Remington Arms Company, Inc",257.0,,,8078737.0,217882.0,True,Board President
Joseph D. Swann,Trustee,Clemson University,,Clemson; Case Western 1969 MBA,,258.0,,,8078737.0,217882.0,True,Member
Robert L. Peeler,Trustee,Clemson University,,,"Agent, McGee Real Estate",258.0,,,8078737.0,217882.0,True,Member
Leslie G. McCraw,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Fluor Corporation",258.0,,,8078737.0,217882.0,True,Member
"Thomas B. McTeer, Jr.",Trustee,Clemson University,,,"President, MeTer Real Estate, Inc",258.0,,,8078737.0,217882.0,True,Member
"William C. Smith, Jr.",Trustee,Clemson University,,,"Chief Executive Officer, Holmes Smith Developments, Inc",258.0,,,8078737.0,217882.0,True,Member
Ellison Smyth McKissick III,Trustee,Clemson University,,Clemson BS; South Carolina MBA,"President and Treasurer, Alice Manufacturing Company, Inc",258.0,,,8078737.0,217882.0,True,Member
Bill L. Amick,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Amick Processing, Inc",257.0,,,8078737.0,217882.0,True,Member
Patricia Herring McAbee,Trustee,Clemson University,,,"Vice President, Custom Development Solutions 0",258.0,,,8078737.0,217882.0,True,Member
Leopold Schmidt,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Chris Nelson,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Terry Pfortmiller,Secretary,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Other Board Member
James Grebe,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Fred A. Wittlinger,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Kent A. Tibben,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Mark Schulz,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
John F. Johnson,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Thomas MBuck,Chairman,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Board President
Robert Rauscher,Vice Chairman,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Board Vice President
Joanne Dull,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Rev. Dan Gilbert,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Elizabeth Duda,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Kathleen Mills,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Richard H. Blatt,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Kirk Farney,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Nannerl Overholser Keohane,Fellow,Harvard University,,"Wellesley 1961 BA; Oxford (UK) 1963 BA, MA; Yale 1967 PhD","Laurance S. Rockefeller Distinguished Visiting Professor of Public Affairs and the University Center for Human Values, Princeton University",371.0,,,136199984.0,166027.0,True,Overseer
James R. Houghton,Fellow,Harvard University,,Harvard 1958 AB. 1962 MBA,"Chairman and Chief Executive Officer, Corning Incorporated (2002-2005)",371.0,,,136199984.0,166027.0,True,Overseer
Patricia A. King,Fellow,Harvard University,,Wheaton (MA) 1963; Harvard 1969 JD,"Professor of Law, Georgetown University",371.0,,,136199984.0,166027.0,True,Overseer
James F. Rothenberg,Fellow,Harvard University,,Harvard 1968 AB. 1970 MBA,"Chairman and Principal Executive Officer, Capital Research & Management Company",371.0,,,136199984.0,166027.0,True,Overseer
Robert D. Reischauer,Fellow,Harvard University,,"Harvard AB; Columbia MIA, PhD",,371.0,,,136199984.0,166027.0,True,Overseer
Robert E. Rubin,Fellow,Harvard University,,Harvard 1960 AB; Yale 1964 LLB; London School Econ (UK),"Chairman [Chairman of the Executive Committee], Office of the Chairman, Citigroup Inc399 Park Avenue, New York, NY 10022",371.0,,,136199984.0,166027.0,True,Overseer
James F. Rothenberg,Treasurer,Harvard University,,Harvard 1968 AB. 1970 MBA,"Chairman and Principal Executive Officer, Capital Research & Management Company",371.0,,,136199984.0,166027.0,True,Other Board Member
Robert C. Baker,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
James R. Belardi,Trustee,Loyola Marymount University,,Stanford 1979 BA; UCLA 1981 MBA,,436.0,,,35566140.0,117946.0,True,Regent
The Honorable Irma J. Brown-Dillon,Trustee,Loyola Marymount University,,Arizona State 1974 BS,,436.0,,,35566140.0,117946.0,True,Regent
Larry R. Carter,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Alex Chaves, Sr",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
John F. Cosgrove,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Rev. Robert B. Lawton, S.J",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Rudy F. deLeon, Jr",Chairman,Loyola Marymount University,,Loyola Marymount 1969 BS,,436.0,,,35566140.0,117946.0,True,Board President
R. Chad Dreier,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
George A.V. Dunning,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Rev. Paul J. Fitzgerald, S.J",Trustee,Loyola Marymount University,,"Santa Clara 1980 BA; Weston Theology 1991 MDiv, 1993",,436.0,,,35566140.0,117946.0,True,Regent
"Sister Mary Genino, RSHM",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Sister Anne Hennessy, CSJ",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Thomas G. Hynes,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Rev. Daniel K. Lahart, S.J",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Frederick B. Craves,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Deborah Lanni,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Sister Rita Arthur, RSHM",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Bruce C. Edwards,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Kathleen Hannon Aikenhead,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Laura D. Williamson,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Kathleen L. McCarthy,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Rev. Kevin P. Quinn, S.J",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Paul W. Mikos,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Susan F. Moley,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Robert J. Abernethy,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Stephen F. Page,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Timothy G. Psomas,Trustee,Loyola Marymount University,,Loyola Marymount BS,"Chairman, PSOMAS
11444 West Olympic Boulevard, Los Angeles, CA 90064
Tel: (310) 954-3701",436.0,,,35566140.0,117946.0,True,Regent
"Edward P. Roski, Jr.",Trustee,Loyola Marymount University,,USC 1962 BS,,436.0,,,35566140.0,117946.0,True,Regent
"Rev. Jeffrey P. von Arx, S.J",Trustee,Loyola Marymount University,,"Princeton 1969 AB; Yale 1973 MA1975 MPhil, 1980 PhD; Weston Theology 1981 MDiv",,436.0,,,35566140.0,117946.0,True,Regent
Michael R. Steed,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Stephen M. Mosko,Trustee,Loyola Marymount University,,Loyola Marymount,,436.0,,,35566140.0,117946.0,True,Regent
Rosemary L. Turner,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Walter F. Ulloa,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Thomas R. Von Der Ahe, Sr",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Rev. Robert T. Walsh, S.J.",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Liam E. McGee,Trustee,Loyola Marymount University,,Loyola Law JD,,436.0,,,35566140.0,117946.0,True,Regent
Rev. Robert W. Scholla,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Joan A. Payden,Trustee,Loyola Marymount University,,Trinity Col (DC) BA; Harvard 1981 AMP,,436.0,,,35566140.0,117946.0,True,Regent
"Thomas E. Larkin, Jr.",Trustee,Loyola Marymount University,,Notre Dame 1961 BA,,436.0,,,35566140.0,117946.0,True,Regent
Elbridge H. Stuart I,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Anthony J. Knapp, Jr",Trustee,New Jersey Institute Of Technology,,,"Owner, Black Horse Inn",494.0,,,118118575.0,185828.0,True,Overseer
Kevin F. Toolan,Trustee,New Jersey Institute Of Technology,,,"President and Chairman of the Board, T&M Associates",494.0,,,118118575.0,185828.0,True,Overseer
David J. Samuel,Trustee,New Jersey Institute Of Technology,,,"Managing Partner, CME Associates",494.0,,,118118575.0,185828.0,True,Overseer
Arthur F. Powell,Trustee,New Jersey Institute Of Technology,,,"President, Powell Capital Markets, Inc",494.0,,,118118575.0,185828.0,True,Overseer
Diane Montalto,Trustee,New Jersey Institute Of Technology,,,"Senior Director, Corporate Engineering and Facilities Management, Par Pharmaceutical Companies, Inc",494.0,,,118118575.0,185828.0,True,Overseer
Peter A. Cistaro,Trustee,New Jersey Institute Of Technology,,NJIT 1968 PhD,,494.0,,,118118575.0,185828.0,True,Overseer
Stephen P. DePalma,Vice Chairman,New Jersey Institute Of Technology,,NJIT 1972,"President and Chief Executive Officer, Schoor DePalma",494.0,,,118118575.0,185828.0,True,Board Vice President
Jon S. Corzine,Ex Officio Trustee,New Jersey Institute Of Technology,,Illinois 1969 BA; Chicago 1973 MBA,"Governor (D), State of New Jersey",494.0,,,118118575.0,185828.0,True,"Overseer, Ex Officio"
James M. Burns,Vice Chairman,New Jersey Institute Of Technology,,,"Partner, Genova, Burns & Vernoia",494.0,,,118118575.0,185828.0,True,Board Vice President
Cory A. Booker,Ex Officio Trustee,New Jersey Institute Of Technology,,"Stanford 1991 BA, 1992 MA; Yale 1997 JD","Mayor, Office of the Mayor, City of Newark",494.0,,,118118575.0,185828.0,True,"Overseer, Ex Officio"
Dennis M. Bone,Trustee,New Jersey Institute Of Technology,,,"President, Verizon New Jersey Inc",494.0,,,118118575.0,185828.0,True,Overseer
Philip K. Beachem,Trustee,New Jersey Institute Of Technology,,,"President, New Jersey Alliance for Action",494.0,,,118118575.0,185828.0,True,Overseer
Elizabeth Garcia,Trustee,New Jersey Institute Of Technology,,,"Manager, Public Affairs, Infineum",494.0,,,118118575.0,185828.0,True,Overseer
Vincent L. DeCaprio,Trustee,New Jersey Institute Of Technology,,NJIT 1972,"President, Vyteris",494.0,,,118118575.0,185828.0,True,Overseer
Richard L. McCormick,President,Rutgers State University Of New Jersey,,,,595.0,,,102322142.0,186380.0,True,Board President
Leslie A. Fehrenbach,Secretary,Rutgers State University Of New Jersey,,,,595.0,,,102322142.0,186380.0,True,Other Board Member
Bruce Fehn,Treasurer (Interim),Rutgers State University Of New Jersey,,,,595.0,,,102322142.0,186380.0,True,Other Board Member
"Albert R. Gamper, Jr",Governor,Rutgers State University Of New Jersey,,,,595.0,,,102322142.0,186380.0,True,Trustee
Rochelle Gizinski,Governor,Rutgers State University Of New Jersey,,Rutgers 1980 BA; Seton Hall 1983 JD,"Partner, Abazia & Gininski, L.L.C",595.0,,,102322142.0,186380.0,True,Trustee
Leslie Eugene Goodman,Governor,Rutgers State University Of New Jersey,,"Rutgers 1965 BA, 1970 MBA; Rutgers (Camden) 1980 JD","Chair, The Eagle Group",595.0,,,102322142.0,186380.0,True,Trustee
Robert A. Laudicina,Governor,Rutgers State University Of New Jersey,,"Rutgers 1963 BA, 1965 MA; Columbia 1968 PhD",,595.0,,,102322142.0,186380.0,True,Trustee
"Rev. M. William Howard, Jr",Chairman,Rutgers State University Of New Jersey,,Morehouse Col 1968 BA; Princeton Sem 1972 MDiv,"Pastor, Bethany Baptist Church",595.0,,,102322142.0,186380.0,True,Board President
Patrick M. Ryan,Governor,Rutgers State University Of New Jersey,,Notre Dame 1967,"President and Chief Executive Officer, Yardville National Bank; Trustee, Board of Trustees, Rutgers, The State University of New Jersey",595.0,,,102322142.0,186380.0,True,Trustee
Richard L. McCormick,Ex Officio Governor,Rutgers State University Of New Jersey,,,,595.0,,,102322142.0,186380.0,True,"Trustee, Ex Officio"
Eugene Michael O'Hara,Governor,Rutgers State University Of New Jersey,,Rutgers (Newark) 1962 BS,"Chief Financial Officer, Prudential Insurance Company of America",595.0,,,102322142.0,186380.0,True,Trustee
Samuel Rabinowitz,Faculty Representative Governor,Rutgers State University Of New Jersey,,,,595.0,,,102322142.0,186380.0,True,Other Board Member
"John F. Russo, Sr.",Governor,Rutgers State University Of New Jersey,,Notre Dame 1955; Columbia 1958 JD,"Partner, Princeton Public Affairs Group, Inc",595.0,,,102322142.0,186380.0,True,Trustee
George R. Zoffinger,Governor,Rutgers State University Of New Jersey,,Penn State 1970 BA: NYU 1971 MA,"President and Chief Executive Officer, New Jersey Sports and Exposition Authority Capital Corporation",595.0,,,102322142.0,186380.0,True,Trustee
Patricia Nachtigal,Vice Chairman,Rutgers State University Of New Jersey,,Montclair State Col 1968 BA; Rutgers (Newark) 1976 JD; NYU 1982 LLM,"Senior Vice President and General Counsel, Ingersoll-Rand Company Limited",595.0,,,102322142.0,186380.0,True,Board Vice President
Duncan L. MacMillan,Governor,Rutgers State University Of New Jersey,,Rutgers 1966 BA; Fordham 1967 MA; NYU 1971 MBA,,595.0,,,102322142.0,186380.0,True,Trustee
Bruce A. Tomason,Trustee,Seton Hall University,,,"President and Chief Executive Officer, Alterna LLC",626.0,,,12524447.0,186584.0,True,Regent
Gerald P. Buccino,Trustee,Seton Hall University,,,"President, The Buccino Foundation",626.0,,,12524447.0,186584.0,True,Regent
Thomas J. Sharkey,Trustee,Seton Hall University,,,"General Partner, Sharkey & Associates, LLC",626.0,,,12524447.0,186584.0,True,Regent
Pamela M. Swartzberg.,Secretary,Seton Hall University,,,"Chair, Womens Commission, Archdiocese of Newark",626.0,,,12524447.0,186584.0,True,Other Board Member
Joseph P. LaSala,Trustee,Seton Hall University,,St Peter's Col 1969 BS; Seton Hall 1972 JD,"Partner, McElroy, Deutsch, Mulvaney & Carpenter, LLP",626.0,,,12524447.0,186584.0,True,Regent
Kurt T. Borowsky,Trustee,Seton Hall University,,,"Chairman, Van Beuren Management, Inc",626.0,,,12524447.0,186584.0,True,Regent
Monsignor Robert Sheeran,Trustee,Seton Hall University,,,,626.0,,,12524447.0,186584.0,True,Regent
Monsignor Robert Wister,Trustee,Seton Hall University,,,,626.0,,,12524447.0,186584.0,True,Regent
Phillip Frese,Trustee,Seton Hall University,,,"Executive Vice President, Operations, Catholic Health and Human Services Corporation",626.0,,,12524447.0,186584.0,True,Regent
Monsignor James M. Cafone,Vice Chairman,Seton Hall University,,,,626.0,,,12524447.0,186584.0,True,Board Vice President
The Most Reverend John J. Myers,Chairman,Seton Hall University,,,"Archbishop, Archdiocese of Newark",626.0,,,12524447.0,186584.0,True,Board President
Rev. Joseph Reilly,Trustee,Seton Hall University,,,,626.0,,,12524447.0,186584.0,True,Regent
John J. Schimpf,Trustee,Seton Hall University,,,"Consultant and Portfolio Manager, Denholtz Associates",626.0,,,12524447.0,186584.0,True,Regent
The Most Reverend Aurthur J. Serratelli,Trustee,Seton Hall University,,Seton Hall 1965 BA; Pontifical Gregorian (Italy) DD,"Affiliation: Bishop, Diocese of Paterson",626.0,,,12524447.0,186584.0,True,Regent
Monsignor John Doran,Trustee,Seton Hall University,,,"Vicar General and Moderator of the Curia, Archdiocese of Newark",626.0,,,12524447.0,186584.0,True,Regent
Thomas F. Egan,Trustee,State University of New York at Albany,,,,660.0,,,392282.0,,True,Member
Thomas F. Egan,Trustee,State University of New York at Albany,,,,660.0,,,392282.0,,True,Member
Father John J. Cremins,Member,State University of New York at Albany,,,,660.0,,,392282.0,,True,Member
Edward F. Cox,Member,State University of New York at Albany,,Princeton 1968 AB: Harvard 1972 JD,,660.0,,,392282.0,,True,Member
Christopher Parker Conners,Member,State University of New York at Albany,,,Vice President. British American,660.0,,,392282.0,,True,Member
Father John J. Cremins,Member,State University of New York at Albany,,,,660.0,,,392282.0,,True,Member
Randy A. Daniels,Vice Chairman,State University of New York at Albany,,Southern Illinois BA,,660.0,,,392282.0,,True,Board Vice President
Randy A. Daniels,Vice Chairman,State University of New York at Albany,,Southern Illinois BA,,660.0,,,392282.0,,True,Board Vice President
Father John J. Cremins,Member,State University of New York at Albany,,,,660.0,,,392282.0,,True,Member
Edward F. Cox,Member,State University of New York at Albany,,Princeton 1968 AB: Harvard 1972 JD,,660.0,,,392282.0,,True,Member
Thomas F. Egan,Trustee,State University of New York at Albany,,,,660.0,,,392282.0,,True,Member
Christopher Parker Conners,Member,State University of New York at Albany,,,Vice President. British American,660.0,,,392282.0,,True,Member
Edward F. Cox,Member,State University of New York at Albany,,Princeton 1968 AB: Harvard 1972 JD,,660.0,,,392282.0,,True,Member
Father John J. Cremins,Member,State University of New York at Albany,,,,660.0,,,392282.0,,True,Member
Randy A. Daniels,Vice Chairman,State University of New York at Albany,,Southern Illinois BA,,660.0,,,392282.0,,True,Board Vice President
Edward F. Cox,Member,State University of New York at Albany,,Princeton 1968 AB: Harvard 1972 JD,,660.0,,,392282.0,,True,Member
Christopher Parker Conners,Member,State University of New York at Albany,,,Vice President. British American,660.0,,,392282.0,,True,Member
Thomas F. Egan,Trustee,State University of New York at Albany,,,,660.0,,,392282.0,,True,Member
Christopher Parker Conners,Member,State University of New York at Albany,,,Vice President. British American,660.0,,,392282.0,,True,Member
Randy A. Daniels,Vice Chairman,State University of New York at Albany,,Southern Illinois BA,,660.0,,,392282.0,,True,Board Vice President
Edward F. Cox,Member,State University of New York at Binghamton,,Princeton 1968 AB: Harvard 1972 JD,,660.0,,,123946342.0,,True,Member
Christopher Parker Conners,Member,State University of New York at Binghamton,,,Vice President. British American,660.0,,,123946342.0,,True,Member
Thomas F. Egan,Trustee,State University of New York at Binghamton,,,,660.0,,,123946342.0,,True,Member
Father John J. Cremins,Member,State University of New York at Binghamton,,,,660.0,,,123946342.0,,True,Member
Christopher Parker Conners,Member,State University of New York at Binghamton,,,Vice President. British American,660.0,,,123946342.0,,True,Member
Thomas F. Egan,Trustee,State University of New York at Binghamton,,,,660.0,,,123946342.0,,True,Member
Thomas F. Egan,Trustee,State University of New York at Binghamton,,,,660.0,,,123946342.0,,True,Member
Edward F. Cox,Member,State University of New York at Binghamton,,Princeton 1968 AB: Harvard 1972 JD,,660.0,,,123946342.0,,True,Member
Randy A. Daniels,Vice Chairman,State University of New York at Binghamton,,Southern Illinois BA,,660.0,,,123946342.0,,True,Board Vice President
Edward F. Cox,Member,State University of New York at Binghamton,,Princeton 1968 AB: Harvard 1972 JD,,660.0,,,123946342.0,,True,Member
Christopher Parker Conners,Member,State University of New York at Binghamton,,,Vice President. British American,660.0,,,123946342.0,,True,Member
Father John J. Cremins,Member,State University of New York at Binghamton,,,,660.0,,,123946342.0,,True,Member
Randy A. Daniels,Vice Chairman,State University of New York at Binghamton,,Southern Illinois BA,,660.0,,,123946342.0,,True,Board Vice President
Randy A. Daniels,Vice Chairman,State University of New York at Binghamton,,Southern Illinois BA,,660.0,,,123946342.0,,True,Board Vice President
Father John J. Cremins,Member,State University of New York at Binghamton,,,,660.0,,,123946342.0,,True,Member
Father John J. Cremins,Member,State University of New York at Binghamton,,,,660.0,,,123946342.0,,True,Member
Thomas F. Egan,Trustee,State University of New York at Binghamton,,,,660.0,,,123946342.0,,True,Member
Randy A. Daniels,Vice Chairman,State University of New York at Binghamton,,Southern Illinois BA,,660.0,,,123946342.0,,True,Board Vice President
Edward F. Cox,Member,State University of New York at Binghamton,,Princeton 1968 AB: Harvard 1972 JD,,660.0,,,123946342.0,,True,Member
Christopher Parker Conners,Member,State University of New York at Binghamton,,,Vice President. British American,660.0,,,123946342.0,,True,Member
Randy A. Daniels,Vice Chairman,State University of New York at Buffalo,,Southern Illinois BA,,660.0,,,63190737.0,,True,Board Vice President
Randy A. Daniels,Vice Chairman,State University of New York at Buffalo,,Southern Illinois BA,,660.0,,,63190737.0,,True,Board Vice President
Thomas F. Egan,Trustee,State University of New York at Buffalo,,,,660.0,,,63190737.0,,True,Member
Christopher Parker Conners,Member,State University of New York at Buffalo,,,Vice President. British American,660.0,,,63190737.0,,True,Member
Edward F. Cox,Member,State University of New York at Buffalo,,Princeton 1968 AB: Harvard 1972 JD,,660.0,,,63190737.0,,True,Member
Edward F. Cox,Member,State University of New York at Buffalo,,Princeton 1968 AB: Harvard 1972 JD,,660.0,,,63190737.0,,True,Member
Christopher Parker Conners,Member,State University of New York at Buffalo,,,Vice President. British American,660.0,,,63190737.0,,True,Member
Father John J. Cremins,Member,State University of New York at Buffalo,,,,660.0,,,63190737.0,,True,Member
Randy A. Daniels,Vice Chairman,State University of New York at Buffalo,,Southern Illinois BA,,660.0,,,63190737.0,,True,Board Vice President
Father John J. Cremins,Member,State University of New York at Buffalo,,,,660.0,,,63190737.0,,True,Member
Edward F. Cox,Member,State University of New York at Buffalo,,Princeton 1968 AB: Harvard 1972 JD,,660.0,,,63190737.0,,True,Member
Thomas F. Egan,Trustee,State University of New York at Buffalo,,,,660.0,,,63190737.0,,True,Member
Christopher Parker Conners,Member,State University of New York at Buffalo,,,Vice President. British American,660.0,,,63190737.0,,True,Member
