Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,Tel,Unnamed: 9,AffiliationId,carnegie_id,PrimarySample,level_0,index,StateSystem,FixedPosition
Joan S. Girgus,Trustee,Adelphi University,,"Sarah Lawrence 1963 BA; New School 1965 MA, 1969 PhD","Professor, Department of Psychology, Princeton University",,,,,71965598.0,188429.0,True,,,,Trustee
Steven N. Fischer,Chairman Emeritus,Adelphi University,,,,,,,,71965598.0,188429.0,True,,,,Board President
Carol A. Ammon,Vice Chairman,Adelphi University,,,"Chairman, Endo Pharmaceuticals, Inc. (2005-2007)",,,,,71965598.0,188429.0,True,,,,Board Vice President
Barry T. Zeman,Trustee,Adelphi University,,,"President, U.S. Business Development Corp",,,,,71965598.0,188429.0,True,,,,Trustee
"Robert B. ""Bob"" Willumstad",Trustee,Adelphi University,,Adelphi BAvinU,"Chairman and Chief Executive Officer, American International Group, Inc. (2008)",,,,,71965598.0,188429.0,True,,,,Trustee
Joseph W. Westphal,Trustee,Adelphi University,,Adelphi 1970 BA; Oklahoma State MA; Missouri 1980 PhD,"Chancellor, University of Maine System (2002-2006)",,,,,71965598.0,188429.0,True,,,,Trustee
Marjorie Weinberg-Berman,Trustee,Adelphi University,,,,,,,,71965598.0,188429.0,True,,,,Trustee
Helene Sullivan,Trustee,Adelphi University,,,,,,,,71965598.0,188429.0,True,,,,Trustee
Leon M. Pollack,Trustee,Adelphi University,,,"Managing Director, Donaldson, Lufkin & Jenrette, Inc",,,,,71965598.0,188429.0,True,,,,Trustee
Gerald F. Mahoney,Trustee,Adelphi University,,Adelphi 1965,"Chairman and Chief Executive Officer, Mail-Well, Inc. 7",,,,,71965598.0,188429.0,True,,,,Trustee
Katherine Hagedorn Littlefield,Secretary,Adelphi University,,,,,,,,71965598.0,188429.0,True,,,,Other Board Member
Michael Lazarus,Trustee,Adelphi University,,,,,,,,71965598.0,188429.0,True,,,,Trustee
Lindsey Kupferman.stat,Trustee,Adelphi University,,,"Research Worker, Department of Psychiatry, Columbia University",,,,,71965598.0,188429.0,True,,,,Trustee
Angela M. Jaggar,Trustee,Adelphi University,,"Adelphi 1962 BS, 1965 MS","Professor of Education, New York University o8",,,,,71965598.0,188429.0,True,,,,Trustee
Robert Allyn Scott,Ex Officio Trustee,Adelphi University,,,,,,,,71965598.0,188429.0,True,,,,"Trustee, Ex Officio"
Thomas F Motamed,Chairman,Adelphi University,,Adelphi; Widener JD,"Vice Chairman and Chief Operating Officer, The Chubb Corporation",,,,,71965598.0,188429.0,True,,,,Board President
Steven L. Isenberg,Chairman Emeritus,Adelphi University,,,,,,,,71965598.0,188429.0,True,,,,Board President
John J. Gutleberdown.mela.o,Trustee,Adelphi University,,,"President and Chief Executive Officer, Castagna Realty Company",,,,,71965598.0,188429.0,True,,,,Trustee
Palmina R. Grella,Trustee,Adelphi University,,,"Budget Director, County of Nassau, New York",,,,,71965598.0,188429.0,True,,,,Trustee
Jeffrey R. Greene,Trustee,Adelphi University,,,,,,,,71965598.0,188429.0,True,,,,Trustee
Douglas J. Green,Trustee,Adelphi University,,,"Partner in Charge, Leadership Development, KPMG LLP",,,,,71965598.0,188429.0,True,,,,Trustee
Michael J. Driscoll,Trustee,Adelphi University,,,"Head Trader, GeoSphere Capital Management, LLC",,,,,71965598.0,188429.0,True,,,,Trustee
"CAPT Robert G. Darling, USN",Director,Adelphi University,,,,,,,,71965598.0,188429.0,True,,,,Trustee
Richard C. Cahn,Trustee,Adelphi University,,,"Attorney and Founding Partner, Cahn and Cahn, LLP",,,,,71965598.0,188429.0,True,,,,Trustee
John C. Bierwirth,Trustee,Adelphi University,,,"Chairman, Grumman Corporation",,,,,71965598.0,188429.0,True,,,,Trustee
Frank Angello,Trustee,Adelphi University,,Adelphi 1977,"Chief Financial Officer, Treasury and Securities Services, JPMorgan Chase & Co",,,,,71965598.0,188429.0,True,,,,Trustee
N. Gerry House.re,Trustee,Adelphi University,,,"President and Chief Executive Officer, Institute for Student Achievement",,,,,71965598.0,188429.0,True,,,,Trustee
Noreen Harrington,Trustee,Adelphi University,,Adelphi 1981,,,,,,71965598.0,188429.0,True,,,,Trustee
Michael J. Campbell,Trustee Emeritus,Adelphi University,,Adelphi 1965,"President and Chief Executive Officer, Dominick & Dominick LLC",,,,,71965598.0,188429.0,True,,,,Trustee
Gary D. Cohn,Trustee,American University,,American U 1982,"President and Co-Chief Operating Officer, The Goldman Sachs Group, Inc",,,,,181401687.0,131159.0,True,,,,Trustee
Hani M. S. Farsi,Trustee,American University,,,"Managing Director and Chairman, Farsi Enterprises",,,,,181401687.0,131159.0,True,,,,Trustee
Fuad El-Hibri,Trustee,American University,,Yale 1982 MPPM,"Chief Executive Officer and Chairman, Emergent BioSolutions",,,,,181401687.0,131159.0,True,,,,Trustee
Marc N. Duber,Trustee,American University,,American U 1981 BS,"Executive Vice President and Chief Operating Officer, The Bernstein Companies",,,,,181401687.0,131159.0,True,,,,Trustee
David R. Drobis,Trustee,American University,,American U MA,"Chairman, Ketchum Inc. (1994-2001)",,,,,181401687.0,131159.0,True,,,,Trustee
Dan Gasby,Trustee,American University,,,"President, GBH Radio, Inc",,,,,181401687.0,131159.0,True,,,,Trustee
Jack C. Cassell,Trustee,American University,,,"President and Chief Executive Officer, Visual Aids Electronics & Conference Systems, Inc",,,,,181401687.0,131159.0,True,,,,Trustee
Richard Beyer,Trustee,American University,,Olivet BA,"Vice President, Trimble Navigation Limited",,,,,181401687.0,131159.0,True,,,,Trustee
Edward R. Carr,Trustee,American University,,,"President, Carrhomes, Inc",,,,,181401687.0,131159.0,True,,,,Trustee
Patrick H. Butler,Trustee,American University,,American U 1996 MA,,,,,,181401687.0,131159.0,True,,,,Trustee
Gary M. Abramson,Chairman,American University,,American U 1980 BA; Howard U 1983 JD; Georgetown 1987 LLM,"Partner, The Tower Companies",,,,,181401687.0,131159.0,True,,,,Board President
Gina F. Adams,Trustee,American University,,,"Corporate Vice President, Government Affairs, FedEx Corporation",,,,,181401687.0,131159.0,True,,,,Trustee
Pamela M. Deese,Trustee,American University,,"American U 1980 BS, 1983 JD","Partner, Arent Fox LLP",,,,,181401687.0,131159.0,True,,,,Trustee
Jerome King Del Pino,Trustee,American University,,,"General Secretary, General Board of Higher Education and Ministry, The United Methodist Church",,,,,181401687.0,131159.0,True,,,,Trustee
Stephanie Bennett-Smith,Trustee,American University,,"New Mexico BA, MA; Iowa 1973 PhD","President, Centenary College (1984-2001)",,,,,181401687.0,131159.0,True,,,,Trustee
Jeffrey A. Sine,Trustee,American University,,,"Vice Chairman and Global Head, Technology, Media and Telecommunications, UBS Investment Bank299 Park Avenue, New York, NY 10171-0026",,,,,181401687.0,131159.0,True,,,,Trustee
Margery Kraus,Trustee,American University,,,"President and Chief Executive Officer, APCO Worldwide Inc700 12th Street, NW, Suite 800, Washington, DC 20005-3949",,,,,181401687.0,131159.0,True,,,,Trustee
Gary R. Weaver,Trustee,American University,,,,,,,,181401687.0,131159.0,True,,,,Trustee
"C. Nicholas Keating, Jr.",Trustee,American University,,"American U 1963 BA, 1964 MA","President and Chief Executive Officer, Network Equipment Technologies",,,,,181401687.0,131159.0,True,,,,Trustee
Regina L. Muehlhauser,Trustee,American University,,,"President, San Francisco Market, Bank of America",,,,,181401687.0,131159.0,True,,,,Trustee
Gisela B. Huberman,Trustee,American University,,"George Washington 1964 AB, 1965 MA, 1970 PhD; American U 1980 JD",,,,,,181401687.0,131159.0,True,,,,Trustee
