Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,Tel,Unnamed: 9,AffiliationId,carnegie_id,PrimarySample,FixedPosition
Elizabeth Z. Chace,Fellow,Brown University,Board Of Fellows (Brown University),,,,,,,27804330.0,217156.0,True,Trustee
"Timothy C. ""Tim"" Forbes",Fellow,Brown University,Board Of Fellows (Brown University),,"Chief Operating Officer, Forbes, Inc",,,,,27804330.0,217156.0,True,Trustee
Kathryn S. Fuller,Fellow,Brown University,Board Of Fellows (Brown University),,"Chairman, Ford Foundation",,,,,27804330.0,217156.0,True,Trustee
Donald C. Hood,Fellow,Brown University,Board Of Fellows (Brown University),,"James F. Bender Professor in Psychology, Columbia College",,,,,27804330.0,217156.0,True,Trustee
Steven R. Jordan,Fellow,Brown University,Board Of Fellows (Brown University),,"Senior Project Manager, Ryan Companies US, Inc",,,,,27804330.0,217156.0,True,Trustee
Artemis A. W. Joukowsky,Fellow,Brown University,Board Of Fellows (Brown University),,"Chancellor, Brown University (1997-1998)",,,,,27804330.0,217156.0,True,Trustee
Mark S. Blumenkranz,Fellow,Brown University,Board Of Fellows (Brown University),,"Chief Operating Officer, Forbes, Inc",,,,,27804330.0,217156.0,True,Trustee
David E. McKinney,Fellow,Brown University,Board Of Fellows (Brown University),,"Vice President, Personnel, International Business Machines Corporation",,,,,27804330.0,217156.0,True,Trustee
Steven L. Rattner,Fellow,Brown University,Board Of Fellows (Brown University),Brown 1974 AB,"Managing Principal, Quadrangle Group Lic",,,,,27804330.0,217156.0,True,Trustee
Stephen Robert,Fellow,Brown University,Board Of Fellows (Brown University),Brown 1962 AB,"Chairman, Robert Capital Management, LLC",,,,,27804330.0,217156.0,True,Trustee
Ruth J. Simmons,Fellow,Brown University,Board Of Fellows (Brown University),,,,,,,27804330.0,217156.0,True,Trustee
Robin A. Lenhardt,Fellow,Brown University,Board Of Fellows (Brown University),,,,,,,27804330.0,217156.0,True,Trustee
"William C. Smith, Jr.",Trustee,Clemson University,,,"Chief Executive Officer, Holmes Smith Developments, IncP.O. Box 11334, Columbia, SC 29211 o envel, griangis",,,,,8078737.0,217882.0,True,Member
"Leslie G. ""Les"" McCraw",Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Fluor Corporation",,,,,8078737.0,217882.0,True,Member
Joseph D. Swann,Vice Chairman,Clemson University,,Clemson; Case Western 1969 MBA,,,,,,8078737.0,217882.0,True,Board Vice President
Ellison Smyth McKissick III,Trustee,Clemson University,,Clemson BS; South Carolina MBA,"President and Treasurer, Alice Manufacturing Company, IncP.O. Box 369, Easley, SC",,,,,8078737.0,217882.0,True,Member
Robert L. Peeler,Trustee,Clemson University,,,"Agent, McGee Real Estate560 Meeting Street, West Columbia, SC 29169",,,,,8078737.0,217882.0,True,Member
Ambassador David H. Wilkins,Trustee,Clemson University,,Clemson 1968 BA; South Carolina 1971 JD,"Ambassador, Office of the U.S. Ambassador to Canada, United States Department of State; Ambassador (R), Office of the U.S. Ambassador to Canada, United States to epello? American Embassy - Ottawa, Ontario, P.O. Box 5000 Ogdensburg, NY 13669-0430",,,,,8078737.0,217882.0,True,Member
John J. Britton,Trustee,Clemson University,,,,,,,,8078737.0,217882.0,True,Member
"Leon J. ""Bill"" Hendrix, Jr.",Chairman,Clemson University,,,"Chairman, Remington Arms Company, Inc",,,,,8078737.0,217882.0,True,Board President
Louis B. Lynn,Trustee,Clemson University,,,"President, ENVIRO AgScience, IncP.O. Box 23285, Columbia, SC 29224",,,,,8078737.0,217882.0,True,Member
Patricia Herring McAbee,Trustee,Clemson University,,,"Vice President, Custom Development Solutions111-D Jasmine Court, Greenwood, SC 29646",,,,,8078737.0,217882.0,True,Member
Bill L. Amick,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Amick Processing, Inc",,,,,8078737.0,217882.0,True,Member
"Thomas B. McTeer, Jr.",Trustee,Clemson University,,,"President, McTeer Real Estate, IncP.O. Box 11923, Columbia, SC 29211",,,,,8078737.0,217882.0,True,Member
James F. Rothenberg,Fellow,Harvard University,,"Harvard 1968 AB, 1970 MBA","Chairman and Principal Executive Officer, Capital Research & Management Company",,,,,136199984.0,166027.0,True,Overseer
Patricia A. King,Fellow,Harvard University,,Wheaton (MA) 1963; Harvard 1969 JD,"Professor of Law, Georgetown University",,,,,136199984.0,166027.0,True,Overseer
James F. Rothenberg,Treasurer,Harvard University,,"Harvard 1968 AB, 1970 MBA","Chairman and Principal Executive Officer, Capital Research & Management Company",,,,,136199984.0,166027.0,True,Other Board Member
"Robert E. ""Bob"" Rubin",Fellow,Harvard University,,Harvard 1960 AB; Yale 1964 LLB; London School Econ (UK),"Senior Counselor, Executive Committee, Citigroup Inc399 Park Avenue, New York, NY 10022",,,,,136199984.0,166027.0,True,Overseer
James R. Houghton,Fellow,Harvard University,,"Harvard 1958 AB, 1962 MBA","Chairman and Chief Executive Officer, Corning Incorporated (2002-2005)",,,,,136199984.0,166027.0,True,Overseer
Nannerl Overholser Keohane,Fellow,Harvard University,,Wellesley 1961 BA: Oxford (UK) 1963 BA. MA: Yale 1967 PhD,"Laurance S. Rockefeller Distinguished Visiting Professor of Public Affairs and the University Center for Human Values, Princeton University",,,,,136199984.0,166027.0,True,Overseer
Robert D. Reischauer,Fellow,Harvard University,,"Harvard 1963 AB; Columbia 1966 MIA, 1971 PhD",,,,,,136199984.0,166027.0,True,Overseer
Kathleen L. McCarthy,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Michael R. Steed,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Liam E. McGee,Trustee,Loyola Marymount University,,UC San Diego; Pepperdine MBA; Loyola Law JD,,,,,,35566140.0,117946.0,True,Regent
John A. McMahon,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Paul W. Mikos,Vice Chairman,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Board Vice President
James R. Belardi,Trustee,Loyola Marymount University,,Stanford 1979 BA; UCLA 1981 MBA,,,,,,35566140.0,117946.0,True,Regent
Stephen M. Mosko,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Susan F. Moley,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
"Rev. Jeffrey P. von Arx, S.J",Trustee,Loyola Marymount University,,Princeton 1969 AB; Yale 1973 MA. 1975 MPhil 1980 PhD; Weston Theology 1981 MDiv,,,,,,35566140.0,117946.0,True,Regent
Walter F. Ulloa,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Elbridge H. Stuart III,Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
"Thomas R. Von Der Ahe, Sr",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
"Rev. Robert W. Scholla, S.J",Secretary,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Other Board Member
"Edward P. Roski, Jr",Trustee,Loyola Marymount University,,USC 1962 BS,,,,,,35566140.0,117946.0,True,Regent
"Rev. Kevin P. Quinn, S.J",Trustee,Loyola Marymount University,,,,,,,,35566140.0,117946.0,True,Regent
Joan A. Payden,Trustee,Loyola Marymount University,,Trinity Col (DC) BA; Harvard 1981 AMP,,,,,,35566140.0,117946.0,True,Regent
