Year,Name,Position,Institution,SubInstitution,Education,AffiliationId,carnegie_id,PrimarySample,FixedPosition
2010,Elizabeth Z Chace,Fellow,Brown University,,,27804330.0,217156.0,True,Trustee
2010,Mark Blumenkranz,Fellow,Brown University,,,27804330.0,217156.0,True,Trustee
2010,Timothy C Forbes,Fellow,Brown University,,,27804330.0,217156.0,True,Trustee
2010,Kathryn S Fuller,Fellow,Brown University,,Brown 1968 BA; Texas 1976 JD,27804330.0,217156.0,True,Trustee
2010,Donald C Hood,Fellow,Brown University,,,27804330.0,217156.0,True,Trustee
2010,Steven R Jordan,Fellow,Brown University,,Brown 1982 BS,27804330.0,217156.0,True,Trustee
2010,Ruth J Simmons,Fellow,Brown University,,,27804330.0,217156.0,True,Trustee
2010,Robin A Lenhardt,Fellow,Brown University,,,27804330.0,217156.0,True,Trustee
2010,David E Mckinney,Fellow,Brown University,,,27804330.0,217156.0,True,Trustee
2010,Steven L Rattner,Fellow,Brown University,,Brown 1974 AB,27804330.0,217156.0,True,Trustee
2010,Stephen Robert,Fellow,Brown University,,Brown 1962 AB,27804330.0,217156.0,True,Trustee
2010,Artemis Aw Joukowsky,Fellow,Brown University,,,27804330.0,217156.0,True,Trustee
2010,Patricia Herring Mcabee,Trustee,Clemson University,,,8078737.0,217882.0,True,Member
2010,John N Nick Mccarter J,Trustee,Clemson University,,,8078737.0,217882.0,True,Member
2010,John J Britton,Trustee,Clemson University,,,8078737.0,217882.0,True,Member
2010,Leon J Hendrix,Trustee,Clemson University,,,8078737.0,217882.0,True,Member
2010,Louis B Lynn,Trustee,Clemson University,,,8078737.0,217882.0,True,Member
2010,William C Smith,Vice Chairman,Clemson University,,,8078737.0,217882.0,True,Board Vice President
2010,Joseph D Swann,Trustee,Clemson University,,Clemson; Case Western 1969 MBA,8078737.0,217882.0,True,Member
2010,Ellison Smyth Mckissick,Trustee,Clemson University,,Clemson BS; South Carolina MBA,8078737.0,217882.0,True,Member
2010,Thomas B Mcteer,Trustee,Clemson University,,,8078737.0,217882.0,True,Member
