Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Contact,Notes,AffiliationId,FullName,carnegie_id,PrimarySample,level_0,index,StateSystem,FixedPosition
Jeffrey W. Bolton,Trustee,Adelphi University,,Adelphi 1961 BA,,119.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Joan S. Girgus,Trustee,Adelphi University,,Sarah Lawrence 1963 BA: New School 1965 MA1969 PhD,"Professor, Department of Psychology, Princeton University",119.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
N. Gerry House,Trustee,Adelphi University,,,,120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Angela M. Jaggar,Trustee,Adelphi University,,"Adelphi 1962 BS, 1965 MS","Professor, Education, New York University",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Osbert M. Hood,Trustee,Adelphi University,,Adelphi 1986 BS; NYU 1988 MBA,"Chairman and Chief Executive Officer, MacKay Shields (2007-2010)",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Noreen Harrington,Trustee,Adelphi University,,Adelphi 1981,"Alternative Investments, M.D. Sass Investor Services, Inc1185 Avenue of the Americas, 18th Floor, New York, NY 10036-2699",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Frank Angelloo.ro,Secretary,Adelphi University,,Adelphi 1977 BBA; Pace MBA,"Senior Vice President, Chief Financial Officer, Lighthouse International",119.0,,,71965598.0,Adelphi University,188429.0,True,,,,Other Board Member
John J. Gutleber,Trustee,Adelphi University,,,"President and Chief Executive Officer, Castagna Realty Company",119.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Robert B. Willumstad,Chairman,Adelphi University,,Adelphi BA,"Senior Advisor, Brysam Global Partners, LLCO",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Board President
Marjorie Weinberg-Berman,Trustee,Adelphi University,,,"Limited Partner, Goldman, Sachs & Co",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Helene R. Sullivan,Vice Chairman,Adelphi University,,Adelphi 1979 BBA,"Chief Financial Officer, Save the Children Federation, Inc",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Board Vice President
Laurence Kessler,Trustee,Adelphi University,,Adelphi 1965 BS,"Founder and Co-Owner, Kessler Restaurants LLC 410 White Spruce Boulevard, Rochester, NY 14623",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Jeffrey R. Greene,Trustee,Adelphi University,,,"Transaction Executive, Ernst & Young LLP",119.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Lindsey Kupferman,Trustee,Adelphi University,,,"Research Worker, Department of Psychiatry, Columbia University 107 Low Memorial Library, 535 West 116th Street, Mail Code 4304, New York, NY 10027",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Michael Campbell,Trustee,Adelphi University,,Adelphi 1965,,119.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Gerald F. Mahoney,Trustee,Adelphi University,,Adelphi 1965,"Chairman and Chief Executive Officer, Mail-Well, Inc",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Thomas F. Motamed,Trustee,Adelphi University,,Adelphi 1971; Widener 1975 JD,"Chairman and Chief Executive Officer, CNA Financial Corporation CNA Center, 333 South Wabash Avenue, Chicago, IL 60604",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Grace Pilcer,Trustee,Adelphi University,,"Adelphi 1967 MA, 1984 PhD",,120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
Gary Rosenberg,Trustee,Adelphi University,,Adelphi 1963 MSW,"Edith J. Baerwald Professor and Chief, Division of Social Work and Behavioral Science, Department of Community and Preventive Medicine, The Mount Sinai Medical Center, Inc One Gustave L. Levy Place, New York, NY 10029",120.0,,,71965598.0,Adelphi University,188429.0,True,,,,Trustee
