Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Contact,Notes,AffiliationId,FullName,carnegie_id,PrimarySample,FixedPosition
Charles M. Royce,Fellow,Brown University,,Brown U 1961 AB; Columbia 1963 MBA,"President and Co-Chief Investment Officer, Royce & Associates, LLC",161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Dr. Maria T. Zuber,Fellow,Brown University,,Brown U 1986 PhD,,161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Peter S. Voss,Fellow,Brown University,,Brown U 1968 BA,"Chairman, IXIS Asset Management US Group, LP",161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Ruth J. Simmons,Fellow,Brown University,,Dillard 1967 BA: Harvard 1970 AM. 1973 PhD,,161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Stephen Robert,Fellow,Brown University,,Brown U 1962 AB,"Chairman, Robert Capital Management, LLC",161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Jonathan Milton Nelson,Fellow,Brown University,,,"Chief Executive Officer, Providence Equity Partners LLC",161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Theresia Gouw Ranzetta,Fellow,Brown University,,,"Partner, Accel Partners",161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Matthew J. Mallow,Fellow,Brown University,,Brown U 1964 AB: NYU 1967 LLB. 1968 LLM,,161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Robin A. Lenhardt,Fellow,Brown University,,,,161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Donald C. Hood,Fellow,Brown University,,,"James F. Bender Professor in Psychology, Columbia College",161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Rabbi Laura Geller,Fellow,Brown University,,,,161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Mark Blumenkranz,Fellow,Brown University,,,,161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Samuel M. Mencoff,Fellow,Brown University,,Brown U 1978 AB: Harvard 1981 MBA,,161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Robert L. Peeler,Vice Chair,Clemson University,,,,214.0,,,8078737.0,Clemson University,217882.0,True,Board Vice President
Ellison Smyth McKissick III,Trustee,Clemson University,,Clemson BS; South Carolina MBA,"President and Treasurer, Alice Manufacturing Company, Inc",214.0,,,8078737.0,Clemson University,217882.0,True,Member
Joseph D. Swann,Trustee,Clemson University,,Clemson; Case Western 1969 MBA,"President, Rockwell Automation Power Systems, Rockwell Automation, Inc",214.0,,,8078737.0,Clemson University,217882.0,True,Member
"William C. Smith, Jr.",Trustee,Clemson University,,Clemson 1982 BS,"Chief Executive Officer, Red Rock Developments",214.0,,,8078737.0,Clemson University,217882.0,True,Member
