Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,AffiliationId,carnegie_id,PrimarySample,FixedPosition
The Hon. Riley Darnell,Ex Officio Member,Austin Peay State University,,Austin Pay State 1962 BS; Vanderbilt 1965 JD,"Secretary of State, State of Tennessee",,,184692499.0,219602.0,False,"Regent, Ex Officio"
The Hon. Steve Adams,Ex Officio Member,Austin Peay State University,,Austin Pay State 1973 BS,"Treasurer, State of Tenneesee",,,184692499.0,219602.0,False,"Regent, Ex Officio"
William Ransom Jones,Member,Austin Peay State University,,,,,,184692499.0,219602.0,False,Regent
Debby Patterson Koch,Secretary,Austin Peay State University,,,,,,184692499.0,219602.0,False,Other Board Member
Joe Lancaster,Member,Austin Peay State University,,,,,,184692499.0,219602.0,False,Regent
Wanda McMahan,Vice Chairman,Austin Peay State University,,,,,,184692499.0,219602.0,False,Board Vice President
Angela Marie Neal,Ex Officio Member,Austin Peay State University,,,,,,184692499.0,219602.0,False,"Regent, Ex Officio"
John L. Parish,Member,Austin Peay State University,,,,,,184692499.0,219602.0,False,Regent
Reed Pond,Ex Officio Member,Austin Peay State University,,,,,,184692499.0,219602.0,False,"Regent, Ex Officio"
"James M. Powers, Sr",Member,Austin Peay State University,,,,,,184692499.0,219602.0,False,Regent
June Scobee Rodgers,Member,Austin Peay State University,,,,,,184692499.0,219602.0,False,Regent
J. V. Sailors,Ex Officio Member,Austin Peay State University,,,"Executive Director, State Board of Education",,,184692499.0,219602.0,False,"Regent, Ex Officio"
The Hon. William R. Snodgrass,Vice Chairman,Austin Peay State University,,Tennessee 1947 BS,"Comptroller, State of Tennessee",,,184692499.0,219602.0,False,Board Vice President
Lisa Verble,Member,Austin Peay State University,,,,,,184692499.0,219602.0,False,Regent
"A. C. Wharton, Jr.",Chairman,Austin Peay State University,,,"Chief Public Defender, County of Shelby, Tennessee",,,184692499.0,219602.0,False,Board President
David Oliver Boone,Fellow,Bates College,,,,,,37415318.0,160977.0,False,Overseer
"James Francis Callahan, Jr",Fellow,Bates College,,,,,,37415318.0,160977.0,False,Overseer
Richard Francis Coughlin,Fellow,Bates College,,,,,,37415318.0,160977.0,False,Overseer
Ernest Henry Ern,Fellow,Bates College,,,,,,37415318.0,160977.0,False,Overseer
Barry Allan Greenfield,Fellow,Bates College,,,,,,37415318.0,160977.0,False,Overseer
Burton Michael Harris,Fellow,Bates College,,,,,,37415318.0,160977.0,False,Overseer
Donald West Harward,President,Bates College,,,,,,37415318.0,160977.0,False,Board President
William Steven Holt,Fellow,Bates College,,,,,,37415318.0,160977.0,False,Overseer
"James Leander Moody, Jr",Chairman,Bates College,,,,,,37415318.0,160977.0,False,Board President
M. Patricia Morse,Fellow,Bates College,,,,,,37415318.0,160977.0,False,Overseer
Helen Antonette Papaioanou,Fellow,Bates College,,,,,,37415318.0,160977.0,False,Overseer
Roger Clayton Schmutz,Secretary of the Corporation,Bates College,,,,,,37415318.0,160977.0,False,Other Board Member
Catharine Roslyn Simpson,Fellow,Bates College,,,,,,37415318.0,160977.0,False,Overseer
Victoria Aghababian Wicks,Fellow,Bates College,,,,,,37415318.0,160977.0,False,Overseer
Lynn Willcox Willsey,Fellow,Bates College,,,,,,37415318.0,160977.0,False,Overseer
John P. Birkelund,Fellow,Brown University,Board of Fellows,,"Senior Advisor, Warburg Dillon Read. LLCSwiss Bank Ctr. 1, 677 Washington Blvd., Stamford, CT 06901",,,27804330.0,217156.0,True,Trustee
Barbara L. Chase,Fellow,Brown University,Board of Fellows,Brown 1976 AB,"President, American Heritage Forbes Bldg., 60 5th Ave., New York, NY 10011",,,27804330.0,217156.0,True,Trustee
Timothy C. Forbes,Fellow,Brown University,Board of Fellows,,"President, American Heritage Forbes Bldg., 60 5th Ave., New York, NY 10011",,,27804330.0,217156.0,True,Trustee
Carolyn Rafkin,Executive Secretary,Brown University,,,,,,27804330.0,217156.0,True,Other Board Member
E. Gordon Gee,President,Brown University,,,,,,27804330.0,217156.0,True,Board President
Steven R. Jordan,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,True,Trustee
Artemis A.W. Joukowsky,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,True,Trustee
Frederick Lippitt,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,True,Trustee
Eleanor H. McMahon,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,True,Trustee
Henry D. Sharpe,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,True,Trustee
Wendy J. Strothman,Secretary,Brown University,Board of Fellows,,"Executive Vice President, Trade and Reference Division, Houghton Mifflin Company 222 Berkeley St., Boston, MA 02116-3764",,,27804330.0,217156.0,True,Other Board Member
"Charles C. Tillinghast, Jr",Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,True,Trustee
Alva O. Way,Fellow,Brown University,Board of Fellows,,"Chairman, IBJ Schroder Bank & Trust Company 1 State St., New York, NY 10004",,,27804330.0,217156.0,True,Trustee
Ronald J. Carlson,Regent,California Lutheran University,,,,,,176611909.0,110413.0,False,Member
Ronald Anderson,Regent,California Lutheran University,,,"President, Blue Circle CorpParamount, CA",,,176611909.0,110413.0,False,Member
Sydney Anderson,Regent,California Lutheran University,,,"President and Chief Executive Officer, Scripps Bank La Jolla, CA",,,176611909.0,110413.0,False,Member
Luther H. Creed,Regent,California Lutheran University,,,"Partner, Desert Radiology Clinic Las Vegas, CA",,,176611909.0,110413.0,False,Member
Priscilla Partridge de Garcia,Regent,California Lutheran University,,,,,,176611909.0,110413.0,False,Member
Siri M. Eliason,Regent,California Lutheran University,,,"Honorary Consul General of Sweden, Swedish Consulate San Francisco, CA",,,176611909.0,110413.0,False,Member
