Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Notes,Career,AffiliationId,carnegie_id,PrimarySample,FixedPosition
Alva O. Way,Fellow,Brown University,,,,186.0,,,27804330.0,217156.0,True,Trustee
Elizabeth Z. Chace,Fellow,Brown University,,,,186.0,,,27804330.0,217156.0,True,Trustee
Timothy C. Forbes,Fellow,Brown University,,,"Affiliation: President, American Heritage Forbes Bldg., 60 5th Ave., New York, NY 10011 Tel: (212) 206-5590",186.0,,,27804330.0,217156.0,True,Trustee
Kathryn S. Fuller,Fellow,Brown University,,Brown 1968 BA; Texas 1976 JD,"Career: President and Chief Executive Officer, World Wildlife Fund (1989-2005)",186.0,,,27804330.0,217156.0,True,Trustee
Donald C. Hood,Fellow,Brown University,,,"Affiliation: James F. Bender Professor in Psychology, Columbia College 208 Hamilton Hall, 1130 Amsterdam Avenue, MC 2805, New York, NY 10027 Tel: (212) 854-4587",186.0,,,27804330.0,217156.0,True,Trustee
Steven R. Jordan,Fellow,Brown University,,Brown 1982 BS,"Affiliation: Senior Project Manager, Ryan Companies USIncTel: (480) 857-6485",186.0,,,27804330.0,217156.0,True,Trustee
Artemis A.W. Joukowsky.,Fellow,Brown University,,,E-mail: artemis_joukowsky@brown.edu,186.0,,,27804330.0,217156.0,True,Trustee
David E. McKinney,Fellow,Brown University,,,,186.0,,,27804330.0,217156.0,True,Trustee
Steven L. Rattner,Fellow,Brown University,,Brown 1974 AB,"Managing Principal, Quadrangle Group LLC",186.0,,,27804330.0,217156.0,True,Trustee
Ruth J. Simmons,Fellow,Brown University,,,"Principal Literary Agent, The Strothman Agency",186.0,,,27804330.0,217156.0,True,Trustee
Wendy J. Strothman,Secretary,Brown University,,,"Principal Literary Agent, The Strothman Agency",186.0,,,27804330.0,217156.0,True,Other Board Member
Autumn Malloy,Student Regent,California Lutheran University,,,,195.0,,,176611909.0,110413.0,False,Other Board Member
Susan Lundeen-Smuck,Regent,California Lutheran University,,,"Vice President, Human Resources and Administration, Activus Healthcare Solutions, Inc31186 La Baya Drive, Suite 200, Westlake Village, CA 91362",195.0,,,176611909.0,110413.0,False,Member
Rev. Raymond LeBlanc,Regent,California Lutheran University,,,"Pastor, First Lutheran Church",195.0,,,176611909.0,110413.0,False,Member
Shawn Howie,Regent,California Lutheran University,,,"Chief Financial Officer, Pacific Monarch Resorts, Inc",194.0,,,176611909.0,110413.0,False,Member
Bod Gilbert,Regent,California Lutheran University,,,"President, TOLD Corporation",194.0,,,176611909.0,110413.0,False,Member
Joan R. Young,Regent,California Lutheran University,,,,195.0,,,176611909.0,110413.0,False,Member
Randall Foster,Regent,California Lutheran University,,,"Vice President, Women's and Children's Mental Health and Rehabilitation, Cedars-Sinai Medical Center",194.0,,,176611909.0,110413.0,False,Member
Sharon Docter,Regent,California Lutheran University,,,,194.0,,,176611909.0,110413.0,False,Member
Michael D. Bradbury,Regent,California Lutheran University,,Oregon 1964 BS; Hastings 1967 JD,"Partner, Ventura County/Westlake Village, CA Office, Weston, Benshoof, Rochefort, Rubalcava & MacCuish LLP",194.0,,,176611909.0,110413.0,False,Member
Rev. Frank Nausin,Regent,California Lutheran University,,Cal Lutheran 1970 BA; Pacific Lutheran Sem MDiv,"Senior Pastor, Holy Trinity Lutheran Church 1 West Avenida de los Arboles, Thousand Oaks, CA 91360",195.0,,,176611909.0,110413.0,False,Member
Kate McLean,Regent,California Lutheran University,,,"President and Chief Executive Officer, Ventura County Community Foundation",195.0,,,176611909.0,110413.0,False,Member
Yale GieszI,Regent,California Lutheran University,,,"Senior Advisor, Toyota Motor Sales. U.S.A Inc",194.0,,,176611909.0,110413.0,False,Member
William J. Kane,Chairman,California Lutheran University,,,"Audit Partner, Ernst & Young LLP, Ernst & Young LLP",195.0,,,176611909.0,110413.0,False,Board President
Jane Lee Winter,Regent,California Lutheran University,,,"President, Town and Country Travel",195.0,,,176611909.0,110413.0,False,Member
James Swenson,Regent,California Lutheran University,,,"Founder, Swenson Family Foundation",195.0,,,176611909.0,110413.0,False,Member
Rev. Dean W. Nelson,Regent,California Lutheran University,,,"Bishop, Southern California West Synod, Evangelical Lutheran Church in America",195.0,,,176611909.0,110413.0,False,Member
Ronald Poulson,Regent,California Lutheran University,,,"President, Ron Poulson Associates, Inc28219 Agoura Road, Agoura Hills, CA 91301",195.0,,,176611909.0,110413.0,False,Member
James D. Power IV,Regent,California Lutheran University,,,"Executive Vice President, J.D. Power and Associates 2625 Townsgate Road, Westlake Village, CA 91361",195.0,,,176611909.0,110413.0,False,Member
"John R. Sladek, Jr",Regent,California Lutheran University,,,,195.0,,,176611909.0,110413.0,False,Member
Karen B. Spies,Regent,California Lutheran University,,,,195.0,,,176611909.0,110413.0,False,Member
Marvin J. Suomi,Regent,California Lutheran University,,,"President and Chief Executive Officer, KUD International 100 Wilshire Boulevard, Suite 950, Santa Monica, CA 90401",195.0,,,176611909.0,110413.0,False,Member
Dean Soiland,Regent,California Lutheran University,,,"President and Owner, Bodean Co. Inc1060 North Dutton Avenue, Santa Rosa, CA 95401",195.0,,,176611909.0,110413.0,False,Member
Stephanie Taylor-Dinwiddie,Regent,California Lutheran University,,,"Assistant Clinical Professor, Department of Pediatrics, University of Southern California 1975 Zonal Avenue, KAM-500, Los Angeles, CA 90089-9034",195.0,,,176611909.0,110413.0,False,Member
"George Ullman, Jr",Regent,California Lutheran University,,,"President, Ullman Bros. Land and Cattle Company",195.0,,,176611909.0,110413.0,False,Member
Franklin Urteaga,Regent,California Lutheran University,,,,195.0,,,176611909.0,110413.0,False,Member
Terry Noonan,Regent,California Lutheran University,,,"President and Chief Executive Officer, Furon Company",195.0,,,176611909.0,110413.0,False,Member
GayLyn Talbot,Regent,California Lutheran University,,,"Creative Director, Talbot Design Group 310 North Westlake Boulevard, Suite 220, Westlake Village, CA 91362",195.0,,,176611909.0,110413.0,False,Member
"Thomas C. Lynch, Jr",Trustee,Clemson University,,,,257.0,,,8078737.0,217882.0,True,Member
Louis B. Lynn,Trustee,Clemson University,,,"President, ENVIRO AgScience, Inc",257.0,,,8078737.0,217882.0,True,Member
John J. Britton,Vice Chairman,Clemson University,,,,257.0,,,8078737.0,217882.0,True,Board Vice President
"Lawrence M. Gressette, Jr",Trustee,Clemson University,,Clemson 1954 BS; South Carolina 1959 LLB,,257.0,,,8078737.0,217882.0,True,Member
"Leon J. Hendrix, Jr",Chairman,Clemson University,,,"Chairman, Remington Arms Company, Inc",257.0,,,8078737.0,217882.0,True,Board President
Joseph D. Swann,Trustee,Clemson University,,Clemson; Case Western 1969 MBA,,258.0,,,8078737.0,217882.0,True,Member
Robert L. Peeler,Trustee,Clemson University,,,"Agent, McGee Real Estate",258.0,,,8078737.0,217882.0,True,Member
Leslie G. McCraw,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Fluor Corporation",258.0,,,8078737.0,217882.0,True,Member
"Thomas B. McTeer, Jr.",Trustee,Clemson University,,,"President, MeTer Real Estate, Inc",258.0,,,8078737.0,217882.0,True,Member
"William C. Smith, Jr.",Trustee,Clemson University,,,"Chief Executive Officer, Holmes Smith Developments, Inc",258.0,,,8078737.0,217882.0,True,Member
Ellison Smyth McKissick III,Trustee,Clemson University,,Clemson BS; South Carolina MBA,"President and Treasurer, Alice Manufacturing Company, Inc",258.0,,,8078737.0,217882.0,True,Member
Bill L. Amick,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Amick Processing, Inc",257.0,,,8078737.0,217882.0,True,Member
Patricia Herring McAbee,Trustee,Clemson University,,,"Vice President, Custom Development Solutions 0",258.0,,,8078737.0,217882.0,True,Member
Leopold Schmidt,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Chris Nelson,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Terry Pfortmiller,Secretary,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Other Board Member
James Grebe,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Fred A. Wittlinger,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Kent A. Tibben,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Mark Schulz,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
John F. Johnson,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Thomas MBuck,Chairman,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Board President
Robert Rauscher,Vice Chairman,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Board Vice President
Joanne Dull,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Rev. Dan Gilbert,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Elizabeth Duda,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Kathleen Mills,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Richard H. Blatt,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Kirk Farney,Regent,Columbia University,,,,282.0,,,78577930.0,190150.0,True,Trustee
Michael Carson,Trustee,Emerson College,,,,320.0,,,87650153.0,165662.0,False,Overseer
Doug A. Herzog,Trustee,Emerson College,,Emerson BS,,321.0,,,87650153.0,165662.0,False,Overseer
Gary Grossman,Trustee,Emerson College,,,,321.0,,,87650153.0,165662.0,False,Overseer
Jeffrey Greenhawt,Treasurer,Emerson College,,,,321.0,,,87650153.0,165662.0,False,Other Board Member
Tony Goldman,Trustee,Emerson College,,Emerson 1965,,321.0,,,87650153.0,165662.0,False,Overseer
"Thomas E. ""Tom"" Freston",Trustee,Emerson College,,St Michael's BA; NYU MBA,,320.0,,,87650153.0,165662.0,False,Overseer
Linda Gersh,Trustee,Emerson College,,,,320.0,,,87650153.0,165662.0,False,Overseer
Kevin Scott Bright,Trustee,Emerson College,,,,320.0,,,87650153.0,165662.0,False,Overseer
Theodore Benard Cutler,Trustee,Emerson College,,,,320.0,,,87650153.0,165662.0,False,Overseer
Douglas V. Holloway,Trustee,Emerson College,,Emerson 1976 BS; Columbia 1978 MBA,,321.0,,,87650153.0,165662.0,False,Overseer
"Judith ""Judy"" Hurt",Trustee,Emerson College,,,,321.0,,,87650153.0,165662.0,False,Overseer
Sandra Goldfarb,Trustee,Emerson College,,,,320.0,,,87650153.0,165662.0,False,Overseer
"James Aloisi, Jr.",Trustee,Emerson College,,,,320.0,,,87650153.0,165662.0,False,Overseer
Bobbi Brown,Trustee,Emerson College,,,,320.0,,,87650153.0,165662.0,False,Overseer
Terry S. Semel,Trustee,Emerson College,,Long Island 1964 BSAcc,,321.0,,,87650153.0,165662.0,False,Overseer
Eric Alexander,Trustee,Emerson College,,,,320.0,,,87650153.0,165662.0,False,Overseer
Jacqueline W. Liebergott,Trustee,Emerson College,,,,321.0,,,87650153.0,165662.0,False,Overseer
"Albert M. ""Al"" Jaffe",Trustee,Emerson College,,,,321.0,,,87650153.0,165662.0,False,Overseer
Peter Meade,Chairman,Emerson College,,,"Executive Vice President, Blue Cross/Blue Shield",321.0,,,87650153.0,165662.0,False,Board President
Max Mutchnick,Trustee,Emerson College,,,,321.0,,,87650153.0,165662.0,False,Overseer
Nancy Ryan,Trustee,Emerson College,,,"President, ProMedia, Inc",321.0,,,87650153.0,165662.0,False,Overseer
Jonathan Miller,Trustee,Emerson College,,,,321.0,,,87650153.0,165662.0,False,Overseer
Steven Samuels,Trustee,Emerson College,,,,321.0,,,87650153.0,165662.0,False,Overseer
Linda Schwartz,Trustee,Emerson College,,,"President, Firm Affairs, Inc",321.0,,,87650153.0,165662.0,False,Overseer
Sheryl S. Levy,Trustee,Emerson College,,,,321.0,,,87650153.0,165662.0,False,Overseer
Richard Janssen,Trustee,Emerson College,,,,321.0,,,87650153.0,165662.0,False,Overseer
Vincent J. Di Bona,Vice Chairman,Emerson College,,,,320.0,,,87650153.0,165662.0,False,Board Vice President
Lucille S. Salhany,Trustee,Emerson College,,,"President and Chief Executive Officer, JHMedia",321.0,,,87650153.0,165662.0,False,Overseer
Fred Brown,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
Philip G. McCarthey,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
Gerri Craves,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
James R. Jundt,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
Timothy Barnard,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
John McCann,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
"David Leigh, S.J",Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
Rita Illig Liebelt,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
Harry F. Magnuson,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
Shannon McCambridge,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
"Rev. Joseph W. Koterski, S",Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
J. Donald Curran,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
Walter J. Conn,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
John Luger,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
"Michael Moynahan, S.J",Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
Elizabeth Hanson,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
Donald H. Herak,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
"Alvin J. Wolff, Jr.",Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
Scott L. Morris,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
Patrick J. West,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
Edward Taylor,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
"Rev. Kevin Waters, S",Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
Peter F. Stanton,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
"Rev. Robert J. Spitzer, S.J",Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
"Joseph Rossi, S.J",Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
Michael A. Patterson,Chairman,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Board President
Donald P. Nelles,Vice Chairman,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Board Vice President
John M. Stone,Trustee,Gonzaga University,,,,355.0,,,119888943.0,235316.0,False,Regent
Nannerl Overholser Keohane,Fellow,Harvard University,,"Wellesley 1961 BA; Oxford (UK) 1963 BA, MA; Yale 1967 PhD","Laurance S. Rockefeller Distinguished Visiting Professor of Public Affairs and the University Center for Human Values, Princeton University",371.0,,,136199984.0,166027.0,True,Overseer
James R. Houghton,Fellow,Harvard University,,Harvard 1958 AB. 1962 MBA,"Chairman and Chief Executive Officer, Corning Incorporated (2002-2005)",371.0,,,136199984.0,166027.0,True,Overseer
Patricia A. King,Fellow,Harvard University,,Wheaton (MA) 1963; Harvard 1969 JD,"Professor of Law, Georgetown University",371.0,,,136199984.0,166027.0,True,Overseer
James F. Rothenberg,Fellow,Harvard University,,Harvard 1968 AB. 1970 MBA,"Chairman and Principal Executive Officer, Capital Research & Management Company",371.0,,,136199984.0,166027.0,True,Overseer
Robert D. Reischauer,Fellow,Harvard University,,"Harvard AB; Columbia MIA, PhD",,371.0,,,136199984.0,166027.0,True,Overseer
Robert E. Rubin,Fellow,Harvard University,,Harvard 1960 AB; Yale 1964 LLB; London School Econ (UK),"Chairman [Chairman of the Executive Committee], Office of the Chairman, Citigroup Inc399 Park Avenue, New York, NY 10022",371.0,,,136199984.0,166027.0,True,Overseer
James F. Rothenberg,Treasurer,Harvard University,,Harvard 1968 AB. 1970 MBA,"Chairman and Principal Executive Officer, Capital Research & Management Company",371.0,,,136199984.0,166027.0,True,Other Board Member
Robert C. Baker,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
James R. Belardi,Trustee,Loyola Marymount University,,Stanford 1979 BA; UCLA 1981 MBA,,436.0,,,35566140.0,117946.0,True,Regent
The Honorable Irma J. Brown-Dillon,Trustee,Loyola Marymount University,,Arizona State 1974 BS,,436.0,,,35566140.0,117946.0,True,Regent
Larry R. Carter,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Alex Chaves, Sr",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
John F. Cosgrove,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Rev. Robert B. Lawton, S.J",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Rudy F. deLeon, Jr",Chairman,Loyola Marymount University,,Loyola Marymount 1969 BS,,436.0,,,35566140.0,117946.0,True,Board President
R. Chad Dreier,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
George A.V. Dunning,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Rev. Paul J. Fitzgerald, S.J",Trustee,Loyola Marymount University,,"Santa Clara 1980 BA; Weston Theology 1991 MDiv, 1993",,436.0,,,35566140.0,117946.0,True,Regent
"Sister Mary Genino, RSHM",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Sister Anne Hennessy, CSJ",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Thomas G. Hynes,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Rev. Daniel K. Lahart, S.J",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Frederick B. Craves,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Deborah Lanni,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Sister Rita Arthur, RSHM",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Bruce C. Edwards,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Kathleen Hannon Aikenhead,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Laura D. Williamson,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Kathleen L. McCarthy,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Rev. Kevin P. Quinn, S.J",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Paul W. Mikos,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Susan F. Moley,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Robert J. Abernethy,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Stephen F. Page,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Timothy G. Psomas,Trustee,Loyola Marymount University,,Loyola Marymount BS,"Chairman, PSOMAS
11444 West Olympic Boulevard, Los Angeles, CA 90064
Tel: (310) 954-3701",436.0,,,35566140.0,117946.0,True,Regent
"Edward P. Roski, Jr.",Trustee,Loyola Marymount University,,USC 1962 BS,,436.0,,,35566140.0,117946.0,True,Regent
"Rev. Jeffrey P. von Arx, S.J",Trustee,Loyola Marymount University,,"Princeton 1969 AB; Yale 1973 MA1975 MPhil, 1980 PhD; Weston Theology 1981 MDiv",,436.0,,,35566140.0,117946.0,True,Regent
Michael R. Steed,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Stephen M. Mosko,Trustee,Loyola Marymount University,,Loyola Marymount,,436.0,,,35566140.0,117946.0,True,Regent
Rosemary L. Turner,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Walter F. Ulloa,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Thomas R. Von Der Ahe, Sr",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
"Rev. Robert T. Walsh, S.J.",Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Liam E. McGee,Trustee,Loyola Marymount University,,Loyola Law JD,,436.0,,,35566140.0,117946.0,True,Regent
Rev. Robert W. Scholla,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
Joan A. Payden,Trustee,Loyola Marymount University,,Trinity Col (DC) BA; Harvard 1981 AMP,,436.0,,,35566140.0,117946.0,True,Regent
"Thomas E. Larkin, Jr.",Trustee,Loyola Marymount University,,Notre Dame 1961 BA,,436.0,,,35566140.0,117946.0,True,Regent
Elbridge H. Stuart I,Trustee,Loyola Marymount University,,,,436.0,,,35566140.0,117946.0,True,Regent
William H. Elliott,Trustee,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Regent
Jacqueline Powers Doud,Trustee,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Regent
Joan Otomo Corgel,Trustee,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Regent
Monsignor Clement J. Connolly,Trustee,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Regent
Thomas J. Blumenthal,Trustee,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Regent
"Sister Marilyn Binder, CSJ",Trustee,Mount St Marys College,,Mount St Mary's 1965,,485.0,,,4210134096.0,163462.0,False,Regent
Joseph M. Waechter,Trustee,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Regent
David V. Adams,Trustee,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Regent
Valerie Zavala,Trustee,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Regent
Phyllis L. Hennigan,Trustee,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Regent
James R. Belardi,Trustee,Mount St Marys College,,Stanford 1979 BA; UCLA 1981 MBA,,485.0,,,4210134096.0,163462.0,False,Regent
Michael A. Enright,Chairman,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Board President
Helen S. Astin,Trustee,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Regent
James J. Flanigan,Trustee,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Regent
"Sister Mary McKay, CSJ",Trustee,Mount St Marys College,,Mount St Mary's 1967,,485.0,,,4210134096.0,163462.0,False,Regent
Kathleen McCarthy Duncan,Trustee,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Regent
Mark Foster,Trustee,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Regent
Karl H. Loring,Trustee,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Regent
Monica S. Luechtefeld,Trustee,Mount St Marys College,,Mount St Mary's 1971 BS,,485.0,,,4210134096.0,163462.0,False,Regent
A. Barry Patmore,Trustee,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Regent
"Sister Maureen O'Connor, CSJ",Trustee,Mount St Marys College,,Mount St Mary's 1963,,485.0,,,4210134096.0,163462.0,False,Regent
David L. Mcintyre,Trustee,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Regent
"Thomas E. Larkin, Jr.",Trustee,Mount St Marys College,,Notre Dame 1961 BA,,485.0,,,4210134096.0,163462.0,False,Regent
"Sister Mary Patricia Rosholt, CSJ",Trustee,Mount St Marys College,,Mount St Mary's 1964,,485.0,,,4210134096.0,163462.0,False,Regent
Jack H. Schuster,Trustee,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Regent
"Sister Jill Marie Napier, CSJ",Trustee,Mount St Marys College,,Mount St Mary's 1971,,485.0,,,4210134096.0,163462.0,False,Regent
"Sister Miriam Therese Larkin, CSJ",Trustee,Mount St Marys College,,Mount St Mary's 1953,,485.0,,,4210134096.0,163462.0,False,Regent
Maria Gutierrez Ott,Trustee,Mount St Marys College,,,,485.0,,,4210134096.0,163462.0,False,Regent
