Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,Tel,Unnamed: 9,AffiliationId,carnegie_id,PrimarySample,FixedPosition
Elizabeth Z. Chace,Fellow,Brown University,Board Of Fellows (Brown University),,,,,,,27804330.0,217156.0,True,Trustee
"Timothy C. ""Tim"" Forbes",Fellow,Brown University,Board Of Fellows (Brown University),,"Chief Operating Officer, Forbes, Inc",,,,,27804330.0,217156.0,True,Trustee
Kathryn S. Fuller,Fellow,Brown University,Board Of Fellows (Brown University),,"Chairman, Ford Foundation",,,,,27804330.0,217156.0,True,Trustee
Donald C. Hood,Fellow,Brown University,Board Of Fellows (Brown University),,"James F. Bender Professor in Psychology, Columbia College",,,,,27804330.0,217156.0,True,Trustee
Steven R. Jordan,Fellow,Brown University,Board Of Fellows (Brown University),,"Senior Project Manager, Ryan Companies US, Inc",,,,,27804330.0,217156.0,True,Trustee
Artemis A. W. Joukowsky,Fellow,Brown University,Board Of Fellows (Brown University),,"Chancellor, Brown University (1997-1998)",,,,,27804330.0,217156.0,True,Trustee
Mark S. Blumenkranz,Fellow,Brown University,Board Of Fellows (Brown University),,"Chief Operating Officer, Forbes, Inc",,,,,27804330.0,217156.0,True,Trustee
David E. McKinney,Fellow,Brown University,Board Of Fellows (Brown University),,"Vice President, Personnel, International Business Machines Corporation",,,,,27804330.0,217156.0,True,Trustee
Steven L. Rattner,Fellow,Brown University,Board Of Fellows (Brown University),Brown 1974 AB,"Managing Principal, Quadrangle Group Lic",,,,,27804330.0,217156.0,True,Trustee
Stephen Robert,Fellow,Brown University,Board Of Fellows (Brown University),Brown 1962 AB,"Chairman, Robert Capital Management, LLC",,,,,27804330.0,217156.0,True,Trustee
Ruth J. Simmons,Fellow,Brown University,Board Of Fellows (Brown University),,,,,,,27804330.0,217156.0,True,Trustee
Robin A. Lenhardt,Fellow,Brown University,Board Of Fellows (Brown University),,,,,,,27804330.0,217156.0,True,Trustee
William Krantz,Regent,California Lutheran University,Board Of Regents (California Lutheran University),,"Career: Principal, Boston Partners Asset Management, L.P",,,,,176611909.0,110413.0,False,Member
Joan R. Young,Regent,California Lutheran University,Board Of Regents (California Lutheran University),,,,,,,176611909.0,110413.0,False,Member
Susan Lundeen-Smuck,Regent,California Lutheran University,Board Of Regents (California Lutheran University),,"Affiliation: Vice President, Human Resources and Administration, Activus Healthcare Solutions, Inc 31186 La Baya Drive, Suite 200, Westlake Village, CA 91362",,,,,176611909.0,110413.0,False,Member
Dennis Erickson,Regent,California Lutheran University,Board Of Regents (California Lutheran University),,,,,,,176611909.0,110413.0,False,Member
Randall Foster,Regent,California Lutheran University,Board Of Regents (California Lutheran University),,"Career: Vice President, Women's and Children's Mental Health and Rehabilitation, Cedars-Sinai Medical Center",,,,,176611909.0,110413.0,False,Member
Yale Gieszl,Regent,California Lutheran University,Board Of Regents (California Lutheran University),,,,,,,176611909.0,110413.0,False,Member
Rod Gilbert,Regent,California Lutheran University,Board Of Regents (California Lutheran University),,"Affiliation: President, TOLD Corporation 621 Via Alondra, Camarillo, CA 93012 Tel: (805) 388-4757",,,,,176611909.0,110413.0,False,Member
Jane Lee Winter,Regent,California Lutheran University,Board Of Regents (California Lutheran University),,"President, Town and Country Travel",,,,,176611909.0,110413.0,False,Member
William J. Kane,Regent,California Lutheran University,Board Of Regents (California Lutheran University),,"Affiliation: Audit Partner, Ernst & Young LLP Five Times Square, New York, NY 10036-6530",,,,,176611909.0,110413.0,False,Member
"Christopher W. ""Chris"" Kimball",Regent,California Lutheran University,Board Of Regents (California Lutheran University),,,,,,,176611909.0,110413.0,False,Member
Rev. Raymond LeBlanc,Regent,California Lutheran University,Board Of Regents (California Lutheran University),,"Affiliation: Pastor, First Lutheran Church",,,,,176611909.0,110413.0,False,Member
"George Ullman, Jr",Regent,California Lutheran University,Board Of Regents (California Lutheran University),,"President, Ullman Bros. Land and Cattle Company",,,,,176611909.0,110413.0,False,Member
Kate McLean,Regent,California Lutheran University,Board Of Regents (California Lutheran University),,"Career: President and Chief Executive Officer, Ventura County",,,,,176611909.0,110413.0,False,Member
James Swenson,Regent,California Lutheran University,Board Of Regents (California Lutheran University),,"Affiliation: Founder, Swenson Family Foundation",,,,,176611909.0,110413.0,False,Member
Rev. Frank Nausin,Regent,California Lutheran University,Board Of Regents (California Lutheran University),,"Affiliation: Senior Pastor, Holy Trinity Lutheran Church 1 West Avenida de los Arboles, Thousand Oaks, CA 91360 Tel: (805) 492-1234",,,,,176611909.0,110413.0,False,Member
Stephanie Taylor-Dinwiddie,Regent,California Lutheran University,Board Of Regents (California Lutheran University),,"Assistant Clinical Professor, Department of Pediatrics, University of Southern California",,,,,176611909.0,110413.0,False,Member
GayLyn Talbot,Secretary,California Lutheran University,Board Of Regents (California Lutheran University),,"Creative Director, Talbot Design Group",,,,,176611909.0,110413.0,False,Other Board Member
Rev. Dean W. Nelson,Regent,California Lutheran University,Board Of Regents (California Lutheran University),,"Affiliation: Bishop, Southern California West Synod, Evangelical Lutheran Church in America",,,,,176611909.0,110413.0,False,Member
Karen Bornemann Spies,Chairman,California Lutheran University,Board Of Regents (California Lutheran University),Cal Lutheran 1970,,,,,,176611909.0,110413.0,False,Board President
James D. Power IV,Vice Chairman,California Lutheran University,Board Of Regents (California Lutheran University),,"Affiliation: Executive Vice President, J.D. Power and Associates 2625 Townsgate Road, Westlake Village, CA 91361 Tel: (805) 418-8000",,,,,176611909.0,110413.0,False,Board Vice President
Terry Noonan,Regent,California Lutheran University,Board Of Regents (California Lutheran University),,"Career: President and Chief Executive Officer, Furon Company",,,,,176611909.0,110413.0,False,Member
Sasan Nikoomanesh,Regent,California Lutheran University,Board Of Regents (California Lutheran University),,"Affiliation: Financial Advisor, Merrill Lynch & Co., Inc Four World Financial Center, New York, NY 10080",,,,,176611909.0,110413.0,False,Member
Shawn Howie.west,Regent,California Lutheran University,Board Of Regents (California Lutheran University),,"Affiliation: Chief Financial Officer, Pacific Monarch Resorts, Inc 23091 Mill Creek Drive, Laguna Hills, CA 92653 Tel: (800) 828-4200",,,,,176611909.0,110413.0,False,Member
"William C. Smith, Jr.",Trustee,Clemson University,,,"Chief Executive Officer, Holmes Smith Developments, IncP.O. Box 11334, Columbia, SC 29211 o envel, griangis",,,,,8078737.0,217882.0,True,Member
"Leslie G. ""Les"" McCraw",Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Fluor Corporation",,,,,8078737.0,217882.0,True,Member
Joseph D. Swann,Vice Chairman,Clemson University,,Clemson; Case Western 1969 MBA,,,,,,8078737.0,217882.0,True,Board Vice President
Ellison Smyth McKissick III,Trustee,Clemson University,,Clemson BS; South Carolina MBA,"President and Treasurer, Alice Manufacturing Company, IncP.O. Box 369, Easley, SC",,,,,8078737.0,217882.0,True,Member
Robert L. Peeler,Trustee,Clemson University,,,"Agent, McGee Real Estate560 Meeting Street, West Columbia, SC 29169",,,,,8078737.0,217882.0,True,Member
Ambassador David H. Wilkins,Trustee,Clemson University,,Clemson 1968 BA; South Carolina 1971 JD,"Ambassador, Office of the U.S. Ambassador to Canada, United States Department of State; Ambassador (R), Office of the U.S. Ambassador to Canada, United States to epello? American Embassy - Ottawa, Ontario, P.O. Box 5000 Ogdensburg, NY 13669-0430",,,,,8078737.0,217882.0,True,Member
