Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Contact,Notes,AffiliationId,FullName,carnegie_id,PrimarySample,FixedPosition
Charles M. Royce,Fellow,Brown University,,Brown U 1961 AB; Columbia 1963 MBA,"President and Co-Chief Investment Officer, Royce & Associates, LLC",161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Dr. Maria T. Zuber,Fellow,Brown University,,Brown U 1986 PhD,,161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Peter S. Voss,Fellow,Brown University,,Brown U 1968 BA,"Chairman, IXIS Asset Management US Group, LP",161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Dr. Ruth J. Simmons,Fellow,Brown University,,Dillard 1967 BA: Harvard 1970 AM. 1973 PhD,,161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Stephen Robert,Fellow,Brown University,,Brown U 1962 AB,"Chairman, Robert Capital Management, LLC",161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Jonathan Milton Nelson,Fellow,Brown University,,,"Chief Executive Officer, Providence Equity Partners LLC",161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Theresia Gouw,Fellow,Brown University,,,"Partner, Accel Partners",161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Matthew J. Mallow,Fellow,Brown University,,Brown U 1964 AB: NYU 1967 LLB. 1968 LLM,,161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Robin A. Lenhardt,Fellow,Brown University,,,,161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Donald C. Hood,Fellow,Brown University,,,"James F. Bender Professor in Psychology, Columbia College",161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Rabbi Laura Geller,Fellow,Brown University,,,,161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Dr. Mark S. Blumenkranz,Fellow,Brown University,,,,161.0,,,27804330.0,Brown University,217156.0,True,Trustee
Samuel M. Mencoff,Fellow,Brown University,,Brown U 1978 AB: Harvard 1981 MBA,,161.0,,,27804330.0,Brown University,217156.0,True,Trustee
"George Ullman, Jr",Regent,California Lutheran University,,,"President, Ullman Bros. Land and Cattle Company",166.0,,,176611909.0,California Lutheran University,110413.0,False,Member
Shawn Howie,Regent,California Lutheran University,,Harvard MBA,,166.0,,,176611909.0,California Lutheran University,110413.0,False,Member
Jon Irwin,Regent,California Lutheran University,,,"President and Chief Executive Officer, Rhapsody International Inc",166.0,,,176611909.0,California Lutheran University,110413.0,False,Member
Joan R. Young,Regent,California Lutheran University,,,,166.0,,,176611909.0,California Lutheran University,110413.0,False,Member
