Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,Notes,AffiliationId,carnegie_id,PrimarySample
Royce L. Money,President,Abilene Christian University,,"Abilene Christian 1964 BA, 1967 MDiv; Baylor 1975 PhD; Nebraska 1982 MS","Faculty Member, Alabama Christian College; Faculty Member, Southwest Missouri State University",119.0,,,60205797,222178,False
Jim Holmans,Executive Assistant,Abilene Christian University,,,,119.0,,,60205797,222178,False
William J. Teague,Chancellor,Abilene Christian University,,,,119.0,,,60205797,222178,False
Dwayne D. VanRheenen,Provost,Abilene Christian University,,,,119.0,,,60205797,222178,False
Dan Garrett,"Vice Chancellor and President, The Abilene Christian University Foundation",Abilene Christian University,,,,119.0,,,60205797,222178,False
Jack Rich,Executive Vice President,Abilene Christian University,,,,119.0,,,60205797,222178,False
Gary McCaleb,Vice President,Abilene Christian University,,,,119.0,,,60205797,222178,False
Gaston Welborn,Vice President and General Counsel,Abilene Christian University,,,,119.0,,,60205797,222178,False
"John Tyson, Jr","Vice President, Development",Abilene Christian University,,,,119.0,,,60205797,222178,False
Phil Schubert,"Vice President, Finance",Abilene Christian University,,,,119.0,,,60205797,222178,False
Michelle Morris,"Assistant Vice President, University and Alumni Relations",Abilene Christian University,,,,119.0,,,60205797,222178,False
Charles Mattis,"Dean, First Year Program",Abilene Christian University,,,,119.0,,,60205797,222178,False
Mark Tucker,"Dean, Library and Information Resources",Abilene Christian University,,,,119.0,,,60205797,222178,False
David Gibson,"Director, Administrative Computing",Abilene Christian University,,,,119.0,,,60205797,222178,False
David Merrell,"Director, Curriculum and Advising",Abilene Christian University,,,,119.0,,,60205797,222178,False
Jimmy Ellison,"Director, Public Safety and Chief of Police",Abilene Christian University,,,,119.0,,,60205797,222178,False
Kent Rideout,"Director, Trust and Endowment Administration",Abilene Christian University,,,,119.0,,,60205797,222178,False
Glenda Knight,"Director, University Events",Abilene Christian University,,,,119.0,,,60205797,222178,False
David Gotcher,"Director, University Studies",Abilene Christian University,,,,119.0,,,60205797,222178,False
Dan Garrett,President and Vice Chancellor,Abilene Christian University,The Abilene Christian University Foundation,,,119.0,,,60205797,222178,False
Colleen Durrington,Dean,Abilene Christian University,College of Arts and Sciences,,,119.0,,,60205797,222178,False
Jack Reese,Dean,Abilene Christian University,College of Biblical Studies,,,119.0,,,60205797,222178,False
Rick Lytle,Dean,Abilene Christian University,College of Business Administration,,,119.0,,,60205797,222178,False
Dorinda Smith,Assistant,Abilene Christian University,,,,119.0,,,60205797,222178,False
Matt Boisvert,"Director, Career Services",Abilene Christian University,,,,119.0,,,60205797,222178,False
Janet Noles,Dean,Abilene Christian University,Abilene Intercollegiate School of Nursing,,,119.0,,,60205797,222178,False
Carol Williams,"Dean and Assistant Provost, Research",Abilene Christian University,Graduate School and Academic Enhancement,Eastern Kentucky; UC Santa Barbara,,119.0,,,60205797,222178,False
G. Thane Akins,Trustee,Abilene Christian University,,,,119.0,,,60205797,222178,False
Abel Alvarez,Trustee,Abilene Christian University,,,,119.0,,,60205797,222178,False
April Anthony,Trustee,Abilene Christian University,,,"President, Advanced Homecare Management, Inc",119.0,,,60205797,222178,False
James E. Anthony,Senior Board Trustee,Abilene Christian University,,,"President, Anthony Group",119.0,,,60205797,222178,False
Joe T. Ator,Senior Board Trustee,Abilene Christian University,,,"Project Engineer, The Aerospace Corporation",119.0,,,60205797,222178,False
Joe Baisden,Trustee,Abilene Christian University,,,"Minister, Belton Church of Christ",119.0,,,60205797,222178,False
Todd Barfield,Senior Board Trustee,Abilene Christian University,,,,119.0,,,60205797,222178,False
Jane Varner Beard,Secretary,Abilene Christian University,,,,119.0,,,60205797,222178,False
Ed Bonneau,Senior Board Trustee,Abilene Christian University,,,"President, Bonneau Properties",119.0,,,60205797,222178,False
Cynthia R. Brown,Trustee,Abilene Christian University,,,"Anesthesiologist, B. G. Anesthesia PLLC",119.0,,,60205797,222178,False
Dale A. Brown,Trustee,Abilene Christian University,,,,119.0,,,60205797,222178,False
Mary Prudie Brown,Senior Board Trustee,Abilene Christian University,,,"President, National Federation of Music Clubs",119.0,,,60205797,222178,False
Herb Butrum,Trustee,Abilene Christian University,,,"President and Owner, Butrum and Associates",119.0,,,60205797,222178,False
Royce C. Caldwell,Trustee,Abilene Christian University,,,,119.0,,,60205797,222178,False
Mike Calvert,Trustee,Abilene Christian University,,,President. Mike Calvert Tovota,119.0,,,60205797,222178,False
Virginia Chambers,Trustee,Abilene Christian University,,,,119.0,,,60205797,222178,False
Terry Lee Childers,Trustee,Abilene Christian University,,,"President, Childers Corporation",119.0,,,60205797,222178,False
Mary Frazier Clark,Senior Board Trustee,Abilene Christian University,,,,119.0,,,60205797,222178,False
Don Conder,Trustee,Abilene Christian University,,,,119.0,,,60205797,222178,False
David L. Copeland,Assistant Secretary,Abilene Christian University,,,"President, SIPCO, IncC. E. Cornutt",119.0,,,60205797,222178,False
Don W. Crisp,Chairman,Abilene Christian University,,,"President, The Rosewood Corporation",119.0,,,60205797,222178,False
Billy Curl,Trustee,Abilene Christian University,,,,119.0,,,60205797,222178,False
Jennifer Haltom Doan,Trustee,Abilene Christian University,,,"Attorney, Palton, Haltom, Roberts, McWilliams and Greer, L.L.PA. Don Drennan",119.0,,,60205797,222178,False
N. Sharron Drury,Trustee,Abilene Christian University,,,"Development Director, Southwest Christian Schools",119.0,,,60205797,222178,False
John Duncum,Trustee,Abilene Christian University,,,"Chairman of the Board, Bossier Chrysler Dodge",119.0,,,60205797,222178,False
Charles Ezzell,Vice Chairman,Abilene Christian University,,,,119.0,,,60205797,222178,False
Deon Fair,Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Bob L. Gowens,Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Berto Guerra,Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
David D. Halbert,Trustee,Abilene Christian University,,Abilene Christian 1978 BBA,,120.0,,,60205797,222178,False
Moses Hall,Trustee,Abilene Christian University,,,"Owner, Hall Family Partnership",120.0,,,60205797,222178,False
Robert J. Hall Senior,Board Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Ray V. Hansen,Senior Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Ralph Harvey,Trustee,Abilene Christian University,,,"President, Marlin Oil Corporation",120.0,,,60205797,222178,False
Ira Hill,Trustee,Abilene Christian University,,,"Owner, Whitehill Enterprises Group",120.0,,,60205797,222178,False
Pat Holder,Trustee,Abilene Christian University,,Abilene Christian 1971 BS,"Principal Partner, First Worthing Co",120.0,,,60205797,222178,False
William F. Hooten,Senior Board Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Jasper S. Howard,Senior Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
J. Oliver Jackson,Senior Board Trustee,Abilene Christian University,,,,120.0,,,60205797,222178,False
Paul W. Johnson,Trustee,Abilene Christian University,,,"President, Johnson Farms",120.0,,,60205797,222178,False
