Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,AffiliationId,carnegie_id,PrimarySample
Royce L. Money,President,Abilene Christian University,,"Abilene Christian 1964 BA, 1967 MDiv; Baylor 1975 PhD; Nebraska 1982","Faculty Member, Alabama Christian College; Faculty Member, Southwest Missouri State University",111.0,,60205797.0,222178.0,False
Jim Holmans,Executive Assistant,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
William J. Teague,Chancellor,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
Dan Garrett,Vice Chancellor,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
Dan Garrett,"President, Acu Foundation",Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
Dwayne D. Vanheenen,Provost,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
Jack Rich,Executive Vice President,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
Gary McCaleb,Vice President,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
Gaston Welborn,Vice President,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
Gaston Welborn,General Counsel,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
"John Tyson, Jr.","Vice President, Development",Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
David Merrell,"Director, Curriculum and Advising",Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
Michelle Morris,"Director, Marketing and Public Relations",Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
Colleen Durington,Dean,Abilene Christian University,College of Arts and Sciences,,,111.0,,60205797.0,222178.0,False
Jack Reese,Dean,Abilene Christian University,College of Biblical and Family Studies,,,111.0,,60205797.0,222178.0,False
Rick Lytle,Dean,Abilene Christian University,College of Business Administration,,,111.0,,60205797.0,222178.0,False
Lisa Estrada,Assistant,Abilene Christian University,College of Business Administration,,,111.0,,60205797.0,222178.0,False
Jack Stewart,"Director, Career Services",Abilene Christian University,College of Business Administration,,,111.0,,60205797.0,222178.0,False
Monty Lynn,"Director, MBA Programs",Abilene Christian University,College of Business Administration,,,111.0,,60205797.0,222178.0,False
Cecilia Tiller,Dean,Abilene Christian University,School of Nursing,,,111.0,,60205797.0,222178.0,False
Angela Brenton,Dean,Abilene Christian University,Graduate School and Academic Enhancement,,,111.0,,60205797.0,222178.0,False
Grady Acuff,Senior Board Trustee,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
G. Thane Akins,Trustee,Abilene Christian University,,,Member of the Board,111.0,,60205797.0,222178.0,False
James E. Anthony,Senior Board Trustee,Abilene Christian University,,,"President, Anthony Group",111.0,,60205797.0,222178.0,False
Joe T. Ator,Trustee,Abilene Christian University,,,"Project Engineer, The Aerospace Corporation",111.0,,60205797.0,222178.0,False
Joe Baisden,Trustee,Abilene Christian University,,,"Minister, Belton Church of Christ",111.0,,60205797.0,222178.0,False
Harvey Baker,Senior Board Trustee,Abilene Christian University,,,"Minister, Bridgewood Church of Christ",111.0,,60205797.0,222178.0,False
Robert D. Bankes,Senior Board Trustee,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
Todd Barfield,Trustee,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
Jane Varner Beard,Vice Chairman,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
Jane Varner Beard,Secretary,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
Ed Bonneau,Trustee,Abilene Christian University,,,"President, Bonneau Properties",111.0,,60205797.0,222178.0,False
Dale A. Brown,Trustee,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
Mary Prudie Brown,Senior Board Trustee,Abilene Christian University,,,"President, National Federation of Music Clubs",111.0,,60205797.0,222178.0,False
Mike Calvert,Trustee,Abilene Christian University,,,"President, Mike Calvert Toyota",111.0,,60205797.0,222178.0,False
Steve Carrizal,Trustee,Abilene Christian University,,,"Minister, Round Rock Church of Christ",111.0,,60205797.0,222178.0,False
Virginia Chambers,Trustee,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
Terry Lee Childers,Trustee,Abilene Christian University,,,"President, Childers Construction Company",111.0,,60205797.0,222178.0,False
Mary Frazier Clark,Senior Board Trustee,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
Don Conder,Trustee,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
C. E. Cornutt,Trustee,Abilene Christian University,,,"President, Argent Property Company, Ltd",111.0,,60205797.0,222178.0,False
Don W. Crisp,Trustee,Abilene Christian University,,,"President, The Rosewood Corporation",111.0,,60205797.0,222178.0,False
Marvin N. Crowe,Trustee,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
Jennifer Haltom Doan,Trustee,Abilene Christian University,,,"Attorney, Palton, Haltom, Roberts, McWilliams and Greer, L.L.P",111.0,,60205797.0,222178.0,False
A. Don Drennan,Vice Chairman,Abilene Christian University,,,,111.0,,60205797.0,222178.0,False
John Duncum,Chairman of the Board,Abilene Christian University,,,Bossier Chrysler Dodge,112.0,,60205797.0,222178.0,False
Charles Ezzell,Assistant Secretary,Abilene Christian University,,,"President, Wes-Tex Drilling Company",112.0,,60205797.0,222178.0,False
Homer O. Gainer,Senior Board Trustee,Abilene Christian University,,,,112.0,,60205797.0,222178.0,False
Bob L. Gowens,Trustee,Abilene Christian University,,,"Owner, Magnolia Investments",112.0,,60205797.0,222178.0,False
Ray V. Hansen,Trustee,Abilene Christian University,,,"Consultant, EDS, Exxon Corporation",112.0,,60205797.0,222178.0,False
Ralph Harvey,Trustee,Abilene Christian University,,,"President, Marlin Oil Corporation",112.0,,60205797.0,222178.0,False
Ira Hill,Board Trustee,Abilene Christian University,,,"Chairman and Chief Executive Officer, Whitehill Oral Technologies",112.0,,60205797.0,222178.0,False
William F. Hooten,Senior Board Trustee,Abilene Christian University,,,,112.0,,60205797.0,222178.0,False
Jasper S. Howard,Trustee,Abilene Christian University,,,,112.0,,60205797.0,222178.0,False
"Leslie Huff, Sr",Senior Board Trustee,Abilene Christian University,,,,112.0,,60205797.0,222178.0,False
Paul W. Johnson,Trustee,Abilene Christian University,,,,112.0,,60205797.0,222178.0,False
Barbara Johnston,Trustee,Abilene Christian University,,,,112.0,,60205797.0,222178.0,False
Marshal Keller,Senior Board Trustee,Abilene Christian University,,,"Chairman, West Texas Wholesale Supply Company",112.0,,60205797.0,222178.0,False
James C. Kerr,Senior Board Trustee,Abilene Christian University,,,,112.0,,60205797.0,222178.0,False
George W. Knight,Trustee,Abilene Christian University,,,,112.0,,60205797.0,222178.0,False
L. Roger Knight,Trustee,Abilene Christian University,,,,112.0,,60205797.0,222178.0,False
Guy Lewis,Trustee,Abilene Christian University,,,,112.0,,60205797.0,222178.0,False
Leon Locke,Trustee,Abilene Christian University,,,"President, J. D. Hudgins",112.0,,60205797.0,222178.0,False
Stanley A. Lockhart,Trustee,Abilene Christian University,,,,112.0,,60205797.0,222178.0,False
Richard Lunsford,Trustee,Abilene Christian University,,,Owner. Lunsford Insurance and Financial Enterprise,112.0,,60205797.0,222178.0,False
Thomas K. Lyons,Trustee,Abilene Christian University,,,"President, Lyons Company, IncGlasgow, KY",112.0,,60205797.0,222178.0,False
Janice Massey,Trustee,Abilene Christian University,,,"Associate Professor, Duke University Medical Center",112.0,,60205797.0,222178.0,False
"Ray McGlothlin, Jr",Senior Board Trustee,Abilene Christian University,,,"Chairman, Dwight's Energydata Inc",112.0,,60205797.0,222178.0,False
"Prentice A. Meador, Jr",Trustee,Abilene Christian University,,,"Minister, Prestoncrest Church of Christ Dallas, TX",112.0,,60205797.0,222178.0,False
"John W. Michener, Jr",Trustee,Abilene Christian University,,,,112.0,,60205797.0,222178.0,False
C. Todd Miller,Trustee,Abilene Christian University,,,"Chairman and Chief Executive Officer, Rosewind Property Company Dallas, TX",112.0,,60205797.0,222178.0,False
Tommy Morris,Assistant Secretary,Abilene Christian University,,,"Owner, Tommy Morris Agency",112.0,,60205797.0,222178.0,False
James Muns,Trustee,Abilene Christian University,,,"Partner and President, Muns Enterprises Plano, TX",112.0,,60205797.0,222178.0,False
Randv Nicholson,Vice Chairman,Abilene Christian University,,,"Chairman and Chief Executive Officer, Auto Gas Systems",112.0,,60205797.0,222178.0,False
George Offutt,Trustee,Abilene Christian University,,,,112.0,,60205797.0,222178.0,False
"Robert Oglesby, Sr.",Trustee,Abilene Christian University,,,"Minister, Waterview Church of Christ Richardson, TX",112.0,,60205797.0,222178.0,False
Robert Onstead,Trustee,Abilene Christian University,,,"Chairman, Randalls Food Markets",112.0,,60205797.0,222178.0,False
Wilson C. Orr,Vice Chairman,Abilene Christian University,,,,112.0,,60205797.0,222178.0,False
Harrold D. Owen,Senior Board Trustee,Abilene Christian University,,,"Owner, Owen Oil Tools, IncFort Worth, TX",112.0,,60205797.0,222178.0,False
H. Lynn Packer,Trustee,Abilene Christian University,,,,112.0,,60205797.0,222178.0,False
"Hubert Pickett, Jr.",Assistant Secretary,Abilene Christian University,,,"Principal, Jefferson Middle School",112.0,,60205797.0,222178.0,False
Ted Poe,Trustee,Abilene Christian University,,,"Judge. 228th State District Court Houston, TX",112.0,,60205797.0,222178.0,False
Jack Pope,Senior Board Trustee,Abilene Christian University,,,"Chief Justice, Texas Supreme Court",112.0,,60205797.0,222178.0,False
James Porter,Trustee,Abilene Christian University,,,"President and Chief Executive Officer, Triad Systems Corporation",112.0,,60205797.0,222178.0,False
Joe Powell,Trustee,Abilene Christian University,,,"President and Chief Executive Officer, Old Hickory Clay Company Paducah. KY",112.0,,60205797.0,222178.0,False
Don Clifford Rhoden,Trustee,Abilene Christian University,,,,112.0,,60205797.0,222178.0,False
John James Riehl,Trustee,Abilene Christian University,,,,112.0,,60205797.0,222178.0,False
Joe T. Ritchie,Trustee,Abilene Christian University,,,"Professor, Michigan State University",113.0,,60205797.0,222178.0,False
Don M. Shultz,Trustee,Abilene Christian University,,,Career: Ford Motor Company,113.0,,60205797.0,222178.0,False
S. Douglas Smith,Trustee,Abilene Christian University,,,,113.0,,60205797.0,222178.0,False
Sam Sparks,Trustee,Abilene Christian University,,,"Affiliation: President, B&P Bridge Company of Weslaco",113.0,,60205797.0,222178.0,False
Gene Stallings,Trustee,Abilene Christian University,,,,113.0,,60205797.0,222178.0,False
R. Jerry Strader,Vice Chairman,Abilene Christian University,,,"Affiliation: Vice President, Medical Staff Affairs, Hendrick Medical Center",113.0,,60205797.0,222178.0,False
I. Joe Talbot,Senior Board Trustee,Abilene Christian University,,,"Affiliation: Owner, Joe Talbot and Associates",113.0,,60205797.0,222178.0,False
Warlick Thomas,Trustee,Abilene Christian University,,,"Affiliation: Attorney, Burdett, Morgan & Thomas",113.0,,60205797.0,222178.0,False
A. Clifford Thornton,Senior Board Trustee,Abilene Christian University,,,"Affiliation: Attorney, Small, Craig and Werkenthin",113.0,,60205797.0,222178.0,False
William R. Waugh,Senior Board Trustee,Abilene Christian University,,,"Affiliation: President, Burger Street Inc",113.0,,60205797.0,222178.0,False
O. J. Weber,Senior Board Trustee,Abilene Christian University,,,"Affiliation: Attorney, Mehaffy & Weber",113.0,,60205797.0,222178.0,False
Louie Welch,Senior Board Trustee,Abilene Christian University,,,"Career: Mayor, City of Houston",113.0,,60205797.0,222178.0,False
Robert Lee West,Trustee,Abilene Christian University,,,,113.0,,60205797.0,222178.0,False
J. McDonald Williams,Trustee,Abilene Christian University,,,"Affiliation: Chairman, Trammell Crow Company",113.0,,60205797.0,222178.0,False
Roy Willingham,Senior Board Trustee,Abilene Christian University,,,,113.0,,60205797.0,222178.0,False
Melinda Worley,Trustee,Abilene Christian University,,,"Affiliation: Teacher, Brentwood Christian School",113.0,,60205797.0,222178.0,False
Steven L. Isenberg,President,Adelphi University,,"UC Berkeley BA; Oxford (UK) BA, MA; Yale JD","Chief of Staff, Mayor John VLindsay; Attorney, Breed, Abbott and Morgan; Publisher, The Advocate; Publisher, The Greenwich Time; Publisher, New York Newsday; Vice President, Marketing, The Los Angeles Times",113.0,,71965598.0,188429.0,True
Carol Sabino,Special Assistant To The President,Adelphi University,,,,113.0,,71965598.0,188429.0,True
Carol Sabino,Assistant Secretary To The Board Of Trustees,Adelphi University,,,,113.0,,71965598.0,188429.0,True
Catherine S. Davy,Provost,Adelphi University,,,,113.0,,71965598.0,188429.0,True
Audrey Blumberg,Senior Associate Provost,Adelphi University,,,,113.0,,71965598.0,188429.0,True
Robert Santos,Chief Administrative Officer,Adelphi University,,,,113.0,,71965598.0,188429.0,True
Angelo Proto,"Vice President, Enrollment Management and Student Affairs",Adelphi University,,,,113.0,,71965598.0,188429.0,True
Catherine Hennessy,"Vice President, Finance",Adelphi University,,,,113.0,,71965598.0,188429.0,True
Catherine Hennessy,Treasurer,Adelphi University,,,,113.0,,71965598.0,188429.0,True
Nan Rokaw Gerson,"Vice President, University Advancemen",Adelphi University,,,,113.0,,71965598.0,188429.0,True
Donald Flanders,"Associate Vice President, Human Resources and Labor Relations",Adelphi University,,,,113.0,,71965598.0,188429.0,True
Jeffrey Kessler,Dean of Students,Adelphi University,,,,113.0,,71965598.0,188429.0,True
Eugene T. Neely,"Dean, University Libraries",Adelphi University,,,,113.0,,71965598.0,188429.0,True
Justin Wilson,"Executive Director, Development",Adelphi University,,,,113.0,,71965598.0,188429.0,True
Spencer Simon,"Director, Academic Budget",Adelphi University,,,,113.0,,71965598.0,188429.0,True
Joseph Posillico,"Director, Admissions",Adelphi University,,,,113.0,,71965598.0,188429.0,True
Patricia D. Mitchell,"Director, Center for Career Development",Adelphi University,,,,113.0,,71965598.0,188429.0,True
Ruth H. Thomas,"Director, Publications",Adelphi University,,,,113.0,,71965598.0,188429.0,True
Nava Lerer,"Director, Research, Assessment and Planning",Adelphi University,,,,113.0,,71965598.0,188429.0,True
Vincent Passaro,"Director, University Communications",Adelphi University,,,,113.0,,71965598.0,188429.0,True
Robert DeCarlo,Controller,Adelphi University,,,,113.0,,71965598.0,188429.0,True
Robert DeCarlo,Associate Treasurer,Adelphi University,,,,113.0,,71965598.0,188429.0,True
Gayle D. Inser,Dean,Adelphi University,College of Arts and Sciences,,,113.0,,71965598.0,188429.0,True
Elaine Sands,Dean,Adelphi University,School of Education,,,113.0,,71965598.0,188429.0,True
Russell Boisjoly,Dean,Adelphi University,School of Management and Business,,,113.0,,71965598.0,188429.0,True
Caryle G. Wolahan,Dean,Adelphi University,School of Nursing,,,113.0,,71965598.0,188429.0,True
Roger Levin,Dean,Adelphi University,School of Social Work,,,113.0,,71965598.0,188429.0,True
William A. Ackerman,Trustee,Adelphi University,,,,113.0,,71965598.0,188429.0,True
Bernard F. Ashe,Trustee,Adelphi University,,,,113.0,,71965598.0,188429.0,True
Barbara T. Barrantes,Trustee,Adelphi University,,Harvard 1969 PhD,"Visiting Professor, Massachusetts Institute of Technology",114.0,,71965598.0,188429.0,True
John C. Bierwirth,Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,True
Richard C. Cahn,Secretary,Adelphi University,,,,114.0,,71965598.0,188429.0,True
El Ker Conway,Trustee,Adelphi University,,,"Visiting Professor, Massachusetts Institute of Technology",114.0,,71965598.0,188429.0,True
Michael Finnerty,Vice Chairman,Adelphi University,,,,114.0,,71965598.0,188429.0,True
Michael Finnerty,Interim Co-Chairman,Adelphi University,,,,114.0,,71965598.0,188429.0,True
Steven N. Fischel,Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,True
Harold S. Gelb,Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,True
Palmina R. Grella,Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,True
"Philip H. Jordan, Jr",Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,True
John D. Macomber,Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,True
Shirley M. Malcom,Vice Chairman,Adelphi University,,,,114.0,,71965598.0,188429.0,True
Shirley M. Malcom,Interim Co-Chairman,Adelphi University,,,,114.0,,71965598.0,188429.0,True
S. Bruce Pantano,Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,True
Marjorie Weinberg-Berman,Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,True
Philip S. Winterer,Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,True
Barry T. Zeman,Trustee,Adelphi University,,,,114.0,,71965598.0,188429.0,True
Mary Brown Bullock,President,Agnes Scott College,,"Agnes Scott 1966; Stanford 1968 MA, 1973 PhD","Director, Committee on Scholarly Communication with the People's Republic of China, 1977-88; Director, Asia Program, The Woodrow Wilson International Center for Scholars, 1988-95; Lecturer, School for Advanced International Studies, Johns Hopkins University",114.0,,64506506.0,138600.0,False
Jeanne A. Maxfield,Executive Assistant,Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
William E. Gailey,"Vice President, Business and Finance",Agnes Scott College,,Rutgers; Princeton PhD,,114.0,,64506506.0,138600.0,False
Lewis E. Thayne,"Vice President, Institutional Advancement",Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Gue P. Hudson,Dean of Students,Agnes Scott College,Student Life and Community Relations,,,114.0,,64506506.0,138600.0,False
Stephanie S. Balmer,"Associate Vice President, Admission and Financial Aid",Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Karen L. Roy,"Associate Vice President, Finance",Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Adelia P. Thompson,"Assistant Vice President, Development",Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Edmund J. Sheehey,Dean of the College,Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Lucia H. Sizemore,"Director, Alumnae Affairs",Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Ann Brock,"Director, Career Planning",Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Ruth S. Bettandorff,"Director, Graduate Studies",Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Ruth S. Bettandorff,Associate Dean Of The College,Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Robert Hilgenfeld,"Director, Information Technology Services",Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Lea Ann G. Hudson,"Director, Institutional Research and Planning",Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Mary G. Ackerly,"Director, Public Relations",Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Virginia F. Moreland,Librarian,Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Vacant,Chaplain,Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Ann S. Alperin,Trustee,Agnes Scott College,,,"Executive Director, Young Audiences of Atlanta",114.0,,64506506.0,138600.0,False
Kathleen B. Ashe,Trustee,Agnes Scott College,,,"Member, Georgia House of Representatives",114.0,,64506506.0,138600.0,False
George S. Branch,Trustee,Agnes Scott College,,,"Attorney, King & Spalding",114.0,,64506506.0,138600.0,False
Mary Brown Bullock,President,Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Mary Brown Bullock,Ex Officio Trustee,Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Clark E. Candler,Trustee,Agnes Scott College,,,"Attorney, McCurdy & Candler",114.0,,64506506.0,138600.0,False
W. Burlette Carter,Trustee,Agnes Scott College,,,"Associate Professore, Law, The George Washington University",114.0,,64506506.0,138600.0,False
J. Wallace Daniel,Trustee,Agnes Scott College,,,"Managing Director, JWD Industrial",114.0,,64506506.0,138600.0,False
Joyce K. Essien,Trustee,Agnes Scott College,,,"Director, Center of Public Health Practice, The Rollins School of Public Health, Emory University",114.0,,64506506.0,138600.0,False
Lowrie A. Fraser,Trustee,Agnes Scott College,,,Realtor,114.0,,64506506.0,138600.0,False
"Joseph R. Gladden, Jr",Chairperson,Agnes Scott College,,,"Senior Vice President and General Counsel, The Coca-Cola Company",114.0,,64506506.0,138600.0,False
J. William Goodhew III,Trustee,Agnes Scott College,,,"Vice President, Intelligent Systems NorcrOss, GA",114.0,,64506506.0,138600.0,False
Frances B. Graves,Vice Chairperson,Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
"James P. Hendrix, Jr.",Trustee,Agnes Scott College,,,"Headmaster, The Lovett School Atlanta, GA",114.0,,64506506.0,138600.0,False
Lee Ann G. Hudson,"Director, Institutional Research And Planning",Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Lee Ann G. Hudson,Secretary,Agnes Scott College,,,,114.0,,64506506.0,138600.0,False
Rebecca Bruce Jones,Trustee,Agnes Scott College,,,"Lecturer, Chemistry Department, University of North Carolina at Wilmington Wilmington, NC",114.0,,64506506.0,138600.0,False
Walter M. Jones,Trustee,Agnes Scott College,,,"Pastor, Alpharetta Presbyterian Church Alpharetta, GA",114.0,,64506506.0,138600.0,False
