AffiliationId,FullName
60205797,Abilene Christian University
71965598,Adelphi University
64506506,Agnes Scott College
45644089,Albion College
45644089,Albion University
49502546,Alfred University
120506574,Allegheny College
120506574,Allegheny University
126533617,Alliant International University
181401687,American University
177605424,Amherst College
102298084,Andrews University
98905627,Aquinas College
98905627,Aquinas College-Michigan
98905627,Aquinas College - Michigan
98905627,Aquinas College Michigan
51204116,Arcadia University
,Arizona Board of Regents
55732556,Arizona State University
145210474,Assumption College
82497590,Auburn University
184692499,Austin Peay State University
184692499,Austin Pay State University
96062909,Babson College
82462995,Baker University
115364640,Baldwin–Wallace College
115364640,Baldwin Wallace College
198089087,Ball State University
39661318,Bard College
98540497,Barnard College
151583259,Barry University
37415318,Bates College
181547552,Baylor College of Medicine
157394403,Baylor University
51204116,Beaver College
872719,Bellarmine University
872719,Bellarmine College
58064216,Bellevue University
47500176,Belmont University
76369901,Beloit College
152479009,Biola University
,"Board of Regents, State of Iowa"
41112366,Birmingham–Southern College
41112366,Birmingham Southern College
120156002,Boise State University
103531236,Boston College
111088046,Boston University
135474949,Bowdoin College
135474949,Bowdoin University
157417397,Bowling Green State University
24648388,Bradley University
6902469,Brandeis University
91042652,Brenau University
100005738,Brigham Young University
27804330,Brown University
102373834,Bryn Mawr College
131221577,Bucknell University
110678235,Butler University
122411786,California Institute of Technology
176611909,California Lutheran University
127339247,California State University System
230604491,California Maritime Academy
230604491,California Maritime Academy [Cal Maritime]
149919469,California Polytechnic State University
149919469,"California Polytechnic State University, San Luis Obispo"
149919469,California Polytechnic State University San Luis Obispo
149919469,"California Polytechnic State University, San Luis Obispo [Cal Poly]"
98947143,California State Polytechnic University
98947143,"California State Polytechnic University, Pomona"
98947143,California State Polytechnic University Pomona
2802039673,California Miramar University
4210147380,California Northstate University
4210092555,California Pacific University
149919469,California Polytechnic State University
98947143,California State Polytechnic University
27825529,California State University Los Angeles
27825529,"California State University, Los Angeles"
118839592,"California State University, Bakersfield"
118839592,California State University Bakersfield
194388944,California State University Channel Islands
194388944,"California State University, Channel Islands"
36053171,"California State University, Chico"
36053171,California State University Chico
290598920,"California State University, Dominguez Hills"
290598920,California State University Dominguez Hills
184813773,"California State University, East Bay"
184813773,California State University East Bay
184813773,"California State University, Hayward"
184813773,California State University Hayward
67328108,"California State University, Fresno"
67328108,California State University Fresno
142934699,Fullerton University
142934699,"California State University, Fullerton"
142934699,California State University Fullerton
59897056,"California State University, Long Beach"
59897056,California State University Long Beach
27825529,California State University Los Angeles
27825529,"California State University, Los Angeles"
135369504,"California State University, Monterey Bay"
135369504,California State University Monterey Bay
157638225,"California State University, Northridge"
157638225,California State University Northridge
43522216,"California State University, Sacramento"
43522216,California State University Sacramento
43369023,"California State University, San Bernardino"
43369023,California State University San Bernardino
226560621,"California State University, San Marcos"
226560621,California State University San Marcos
197875241,"California State University, Stanislaus"
197875241,California State University Stanislaus
192389796,Humboldt State University
26538001,San Diego State University
71838634,San Francisco State University
51504820,San Jose State University
158011677,Sonoma State University
163795733,Calvin College
163795733,Calvin University
132446568,Campbell University
139787848,Capital University
188497080,Carleton College
188497080,Carleton University
74973139,Carnegie Mellon University
176902721,Carthage College
176902721,Carthage University
58956616,Case Western Reserve University
84470341,Catholic University of America
84470341,The Catholic University of America
95574288,Centenary College of Louisiana
1629065,Central Michigan University
29867402,Central Washington University
12162268,Centre College
185071736,Chapman University
202522242,Chestnut Hill College
102015815,Christian Brothers University
91036609,Citadel
174216632,City University of New York
174216632,City University of New York CUNY
125687163,City College of New York
125687163,City College of New York CUNY
125687163,City College of New York Ccny
141810926,Bernard M Baruch College
141810926,Bernard M. Baruch College
141810926,Baruch College
83041322,Brooklyn College
142393192,College of Staten Island
32170380,Medgar Evers College
39694355,Hunter College
92507152,John Jay College of Criminal Justice
161301626,Lehman College
161301626,Herbert H Lehman College
161301626,Hebert H Lehman College
76513827,New York City College of Technology
111455621,"Queens College, CUNY"
111455621,Queens College
150397245,"York College, City University of New York"
150397245,York College
,New York City Technical College
106107269,Claremont McKenna College
52064589,Clark Atlanta University
130785548,Clark University
130785548,Clark College
16944753,Clarkson University
8078737,Clemson University
102607778,Cleveland State University
27504731,Colby College
39660569,Colgate University
204593131,College of Charleston
147569298,Mount St Joseph University
147569298,College of Mount St Joseph
64281891,College of New Jersey
15881279,Notre Dame of Maryland University
15881279,College of Notre Dame of Maryland
142767807,St. Catherine University
142767807,College of St Catherine
181761882,College of St Scholastica
107139065,College of the Holy Cross
107139065,College of Holy Cross
16285277,William & Mary
16285277,William & Mary College
16285277,William and Mary
16285277,William and Mary College
16285277,College of William and Mary
118746106,College of Wooster
189774192,Colorado College
167576493,Colorado School of Mines
4210131357,Colorado State University System
92446798,Colorado State University
92446798,Colorado State University-Fort Collins
92446798,Colorado State University Fort Collins
92446798,"Colorado State University, Fort Collins"
114312114,"Colorado State University, Pueblo"
114312114,Colorado State University-Pueblo
114312114,Colorado State University Pueblo
114312114,University of Southern Colorado
78577930,Columbia University
19406000,Concordia University Chicago
19406000,Concordia University
65571275,Concord University
4498119,Connecticut College
206204273,Converse College
205783295,Cornell University
114493937,Creighton University
107672454,Dartmouth College
141720752,Davidson College
20577493,Denison University
118353179,DePaul University
12113309,DePauw University
121058860,Dickinson College
189917405,Dominican University
87213936,Drake University
177880774,Drew University
72816309,Drexel University
95144958,Drury University
95144958,Drury College
170897317,Duke University
4210144876,Duke University Medical Center and Health System
4210144876,Duke University Health System
165102784,Duquesne University
130712669,Earlham College
119443389,East Tennessee State University
153871386,Eastern Illinois University
138216421,Eastern Michigan University
69692435,Elmira College
170164250,Elon University
170164250,Elon College
87650153,Emerson College
150468666,Emory University
93131583,Emporia State University
126350171,Fairfield University
32907511,Fairleigh Dickinson University
8248082,Florida Agricultural and Mechanical University
63772739,Florida Atlantic University
2801014300,Florida Gulf Coast University
106959904,Florida Institute of Technology
19700959,Florida International University
103163165,Florida State University
164389053,Fordham University
149471917,Fort Lewis College
173146385,Franklin & Marshall College
86115722,Furman University
66108857,Gallaudet University
967637,Gannon University
162714631,George Mason University
193531525,George Washington University
193531525,The George Washington University
184565670,Georgetown University
176113532,Gettysburg College
119888943,Gonzaga University
42321615,Goucher College
8606887,Grand Valley State University
173288447,Grinnell College
13913294,Gustavus Adolphus College
21867089,Gwynedd Mercy University
21867089,Gwynedd Mercy College
21867089,Gwynedd-Mercy College
188592606,Hamilton College
151328261,Hampton University
198366374,Hardin–Simmons University
198366374,Hardin Simmons University
107363760,Harding University Main Campus
107363760,Harding University
136199984,Harvard University
155707491,Haverford College
130327366,Hendrix College
143104139,Hobart and William Smith Colleges
143104139,Hobart & William Smith
139290212,Hofstra University
87552059,Hood College
2799935922,Howard College
137853757,Howard University
4210165361,Idaho State Board of Education
106969075,Idaho State University
180949307,Illinois Institute of Technology
47301684,Illinois State University
184616310,Illinois Wesleyan University
86420138,Indiana State University
,Indiana University System
4210119109,Indiana University Bloomington
4210135278,Indiana University East
4210161414,Indiana University Fort Wayne
4210136381,Indiana University Kokomo
4210093298,Indiana University Northwest
4210134870,Indiana University South Bend
4210117780,Indiana University Southeast
200885203,Indiana University of Pennsylvania
59900826,Indiana University Purdue University Columbus
55769427,Indiana University Purdue University Indianapolis
40036882,Institute for Advanced Study
173466955,Iona College
173911158,Iowa State University
173911158,Iowa State University of Science and Technology
87424562,Ithaca College
87424562,Ithaca University
11883440,James Madison University
183716014,John Carroll University
145311948,Johns Hopkins University
51283352,Juilliard School
2801365651,Kansas Board of Regents
48664048,Kalamazoo College
189590672,Kansas State University
149910238,Kent State University
42387498,Knox College
47652572,La Salle University
47652572,Lasalle University
184759092,Lafayette College
184759092,Lafayette University
17173981,Lake Erie College
162514690,Lake Forest College
153592363,Lawrence University
186143895,Lehigh University
126683464,Lenoir–Rhyne University
126683464,Lenoir Rhyne University
126683464,Lenoir Rhyne College
74054363,Linfield College
26347476,Loma Linda University
138873065,Long Island University
141448028,Longwood University
141448028,Longwood College
107341208,Louisiana State University System
121820613,Louisiana State University
121820613,Louisiana State University and Agricultural and Mechanical college
13115107,Louisiana State University of Alexandria
13115107,Louisiana State University at Alexandria
2799937713,Louisiana State University at Eunice
2799937713,Louisiana State University Eunice
75420490,Louisiana State University Health Sciences Center In New Orleans
75420490,Louisiana State University Health Sciences Center New Orleans
75420490,Louisiana State University Health Sciences Center
75420490,Louisiana State University Medical Center
26489229,Louisiana State University in Shreveport
26489229,Louisiana State University at Shreveport
26489229,Louisiana State University Shreveport
192396691,University of New Orleans
165556055,Loyola University Maryland
165556055,Loyola College in Maryland
35566140,Loyola Marymount University
1925986,Loyola University Chicago
173012211,Loyola University New Orleans
173012211,Loyola University
21978226,University of Lynchburg
21978226,Lynchburg College
21978226,Lynchburg College in Virginia
5444425,Macalester College
5444425,Macalester University
55707380,Manhattan College
926137907,Marist College
102461120,Marquette University
88694374,Marshall University
88225094,Marylhurst University
53276908,Marymount University
63966007,Massachusetts Institute of Technology
150149174,Mercer University
83328450,Miami University
87216513,Michigan State University
11957088,Michigan Technological University
169615421,Middle Tennessee State University
195575238,Middlebury College
91221267,Minnesota State Colleges and Universities System
152014189,"Minnesota State University, Mankato"
152014189,Mankato State University
46896759,Midwestern State University
166613482,Minnesota State University Moorhead
141450709,Monmouth University
166613482,Moorhead State University
52890796,Mississippi College
4210141039,Mississippi Institutions of Higher Learning
57298602,Alcorn State University
82917088,Delta State University
61937129,Jackson State University
99041443,Mississippi State University
31807967,Mississippi University for Women
61652871,Mississippi Valley State University
368840534,University of Mississippi
368840534,University of Mississippi Ole Miss
29606459,University of Mississippi Medical Center
44854399,University of Southern Mississippi
2801213986,Montana University System
23732399,Montana State University
193198326,Montana State University Billings
193198326,Montana State University-Billings
193198326,"Montana State University, Billings"
23732399,"Montana State University, Bozeman"
4210150662,Montana State University–Northern
4210150662,"Montana State University, Northern"
4210150662,Montana State University Northern
917168660,Montana Tech of The University of Montana
917168660,Montana Tech
6750721,University of Montana
6750721,"University of Montana, Missoula"
6750721,University of Montana-Missoula
6750721,University of Montana Missoula
27802707,University of Montana Western
27802707,Western Montana College
27802707,Western Montana College of The University of Montana
166088655,Montclair State College
166088655,Montclair State University
85230861,Morehouse College
150693791,Mount Holyoke College
4210134096,Mount St Mary's University
4210134096,Mount St Mary's College
68213504,Mount Saint Mary's University
68213504,Mount Saint Mary's College and Seminary
68213504,Mount Saint Marys College and Seminary
68213504,"Mount St Mary's University, Emmitsburg"
68213504,Mount St Mary's University Emmitsburg
127362389,Murray State University
25093896,Nazareth College
25093896,Nazareth College of Rochester
118118575,New Jersey Institute of Technology
10052268,New Mexico State University
102179633,New School
102179633,New School University
57206974,New York University
45536552,North Central College
4210127926,North Dakota University System
65741653,Dickinson State University
53457621,Mayville State University
92063915,Minot State University
57328836,North Dakota State University
24571045,University of North Dakota
24571045,North Dakota University
205944377,Valley City State University
95240055,Northeast Ohio Medical University
95240055,Northeastern Ohio Universities College of Medicine
12912129,Northeastern University
203172682,Northern Arizona University
102502594,Northern Illinois University
111979921,Northwestern University
203088144,Nova Southeastern University
177721651,Oakland University
70571728,Oberlin College
72903472,Occidental College
52357470,The Ohio State University
52357470,Ohio State University
4210106879,Ohio University
81461992,Ohio Wesleyan University
,Oklahoma State System of Higher Education
115475287,Oklahoma State University
81365321,Old Dominion University
189981527,Oral Roberts University
165690674,Oregon Health & Science University
165690674,Oregon Health and Science University
2800918300,Oregon University System
207168215,Eastern Oregon University
129871486,Oregon Institute of Technology
131249849,Oregon State University
126345244,Portland State University
75909800,Southern Oregon University
181233156,University of Oregon
95781656,Western Oregon University
126863827,Pace University
60065076,Pacific Lutheran University
4210149261,Pacific University
29957033,Pennsylvania State System of Higher Education
190816365,Bloomsburg University
190816365,Bloomsburg University of Pennsylvania
36788626,California University of Pennsylvania
49631817,Cheyney University
49631817,Cheyney University of Pennsylvania
114686714,Clarion University
114686714,Clarion University of Pennsylvania
79060951,East Stroudsburg University
79060951,East Stroudsburg University of Pennsylvania
155159281,Edinboro University
155159281,Edinboro University of Pennsylvania
200885203,Indiana University of Pennsylvania
2132711,Kutztown University
2132711,Kutztown University of Pennsylvania
63329203,Lock Haven University
63329203,Lock Haven University of Pennsylvania
131579929,Mansfield University
131579929,Mansfield University of Pennsylvania
104651037,Millersville University
104651037,Millersville University of Pennsylvania
139418187,Shippensburg University
139418187,Shippensburg University of Pennsylvania
169494899,Slippery Rock University
169494899,Slippery Rock University of Pennsylvania
161171246,West Chester University
161171246,West Chester University of Pennsylvania
130769515,Pennsylvania State University
130769515,Pennsylvania State University (PSU)
100191712,Pepperdine University
60262850,Phillips University
57206974,Brooklyn Polytechnic University
57206974,Polytechnic University
57206974,New York University-Polytechnic
57206974,New York University Polytechnic
57206974,Polytechnic Institute Of New York University
177881444,Pomona College
177881444,Pomona University
20089843,Princeton University
196272386,Providence College
196272386,Providence University
219193219,Purdue University West Lafayette
219193219,Purdue University
4210130184,Indiana University-Purdue University Fort Wayne
