Id,Label,Interlock_Count,AffiliationId,female_president,control,region,betweenness,closeness,eigenvector,degree,clustering
Adelphi University,Adelphi University,0.1,71965598.0,False,Private,Northeast,0.0,0.005434782608695652,2.5012778734031847e-16,1,0.0
American University,American University,0.0,181401687.0,False,Private,Northeast,0.0,0.0,1.9079168433384416e-17,0,0.0
Andrews University,Andrews University,0.08333333333333333,102298084.0,False,Private,Midwest,0.0,0.005434782608695652,1.656289737821975e-16,1,0.0
Arizona State University,Arizona State University,1.90909090909091,55732556.0,False,Public,West,0.0,0.010869565217391304,4.603454484608527e-05,2,0.9352978616456158
Auburn University,Auburn University,0.25,82497590.0,False,Public,South,0.0,0.010869565217391304,4.156850819025669e-15,2,0.09539285354611098
Ball State University,Ball State University,0.0,198089087.0,False,Public,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
Baylor University,Baylor University,0.0,157394403.0,False,Private,South,0.0,0.0,1.9079168433384416e-17,0,0.0
Biola University,Biola University,0.0,152479009.0,False,Private,West,0.0,0.0,1.9079168433384416e-17,0,0.0
Boston College,Boston College,0.0,103531236.0,False,Private,Northeast,0.0,0.0,1.9079168433384416e-17,0,0.0
Boston University,Boston University,0.0196078431372549,111088046.0,False,Private,Northeast,0.0,0.04456521739130435,4.3358231913540614e-17,1,0.0
Bowling Green State University,Bowling Green State University,0.0,157417397.0,False,Public,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
Brandeis University,Brandeis University,0.05798319327731093,6902469.0,False,Private,Northeast,0.0007721549061534806,0.04392244983277591,1.1592080607754228e-16,2,0.0
Brigham Young University,Brigham Young University,0.0,100005738.0,False,Private,West,0.0,0.0,1.9079168433384416e-17,0,0.0
Brown University,Brown University,0.08101851851851852,27804330.0,False,Private,Northeast,0.0023758612497030173,0.03473714663580757,1.3061963296903666e-16,2,0.0
California Institute Of Technology,California Institute Of Technology,0.05266805266805267,122411786.0,False,Private,West,0.0023758612497030173,0.03838600657654366,7.008257633362882e-17,2,0.0
Carnegie Mellon University,Carnegie Mellon University,0.23560617229347877,74973139.0,False,Private,Northeast,0.015146115466856735,0.04637497241227102,9.225522983103155e-15,6,0.0034758088411808636
Case Western Reserve University,Case Western Reserve University,0.11692307692307694,58956616.0,False,Private,Midwest,0.000415775718698028,0.024844720496894408,0.005959720547225221,2,0.0
Catholic University Of America,Catholic University Of America,0.03125,84470341.0,False,Private,Northeast,0.0,0.009782608695652173,6.672229040420632e-17,1,0.0
Central Michigan University,Central Michigan University,0.0,1629065.0,False,Public,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
Chapman University,Chapman University,0.0,185071736.0,False,Private,West,0.0,0.0,1.9079168433384416e-17,0,0.0
