Id,Source,Target,Type,Weight,Year
e419,Baylor College Of Medicine,Baylor University,Undirected,0.03225806451612903,2008
e420,California Institute Of Technology,Chapman University,Undirected,0.020833333333333332,2008
e421,Brandeis University,Columbia University,Undirected,0.020833333333333332,2008
e422,Fordham University,Georgetown University,Undirected,0.05128205128205128,2008
e423,Boston College,Georgetown University,Undirected,0.024390243902439025,2008
e424,Boise State University,Idaho State University,Undirected,0.9999999999999999,2008
e425,Duke University,Johns Hopkins University,Undirected,0.02564102564102564,2008
e426,Andrews University,Loma Linda University,Undirected,0.23809523809523808,2008
e427,Boston College,Loyola University Chicago,Undirected,0.02631578947368421,2008
e428,Fordham University,Loyola University Chicago,Undirected,0.02631578947368421,2008
e429,Loyola University Chicago,Marquette University,Undirected,0.02631578947368421,2008
e430,California Institute Of Technology,Massachusetts Institute Of Technology,Undirected,0.0196078431372549,2008
e431,Howard University,Massachusetts Institute Of Technology,Undirected,0.030303030303030304,2008
e432,Cornell University,Massachusetts Institute Of Technology,Undirected,0.0196078431372549,2008
e433,Clemson University,Mercer University,Undirected,0.021739130434782608,2008
e434,East Tennessee State University,Middle Tennessee State University,Undirected,0.9285714285714283,2008
e435,Massachusetts Institute Of Technology,New School,Undirected,0.0196078431372549,2008
e436,Cornell University,New School,Undirected,0.0196078431372549,2008
e437,Georgetown University,New York University,Undirected,0.024390243902439025,2008
e438,New School,New York University,Undirected,0.02040816326530612,2008
e439,Columbia University,New York University,Undirected,0.02040816326530612,2008
e440,Brandeis University,New York University,Undirected,0.020833333333333332,2008
e441,Arizona State University,Northern Arizona University,Undirected,0.9999999999999998,2008
e442,Loyola University Chicago,Northwestern University,Undirected,0.02631578947368421,2008
e443,Georgetown University,Pepperdine University,Undirected,0.02564102564102564,2008
e444,Clarkson University,Polytechnic University,Undirected,0.034482758620689655,2008
e445,New School,Princeton University,Undirected,0.024390243902439025,2008
e446,Baylor College Of Medicine,Rice University,Undirected,0.04,2008
e447,Gallaudet University,Rochester Institute Of Technology,Undirected,0.045454545454545456,2008
e448,Brandeis University,Rockefeller University,Undirected,0.02702702702702703,2008
e449,Brown University,Rockefeller University,Undirected,0.02702702702702703,2008
e450,Massachusetts Institute Of Technology,Rockefeller University,Undirected,0.02702702702702703,2008
e451,Johns Hopkins University,Rockefeller University,Undirected,0.02702702702702703,2008
e452,Dartmouth College,Rockefeller University,Undirected,0.05555555555555555,2008
e453,Georgetown University,Saint Louis University,Undirected,0.024390243902439025,2008
e454,Catholic University Of America,Seton Hall University,Undirected,0.025,2008
e455,Baylor College Of Medicine,Southern Methodist University,Undirected,0.023809523809523808,2008
e456,Rensselaer Polytechnic Institute,St Johns University,Undirected,0.04,2008
e457,Rice University,Stanford University,Undirected,0.04,2008
e458,Rochester Institute Of Technology,Syracuse University,Undirected,0.034482758620689655,2008
e459,Syracuse University,Temple University,Undirected,0.034482758620689655,2008
e460,East Tennessee State University,Tennessee State University,Undirected,0.9999999999999997,2008
e461,Middle Tennessee State University,Tennessee State University,Undirected,0.9285714285714283,2008
e462,East Tennessee State University,Tennessee Technological University,Undirected,0.9999999999999997,2008
e463,Tennessee State University,Tennessee Technological University,Undirected,0.9999999999999997,2008
e464,Middle Tennessee State University,Tennessee Technological University,Undirected,0.9285714285714283,2008
e465,Pennsylvania State University,Thomas Jefferson University,Undirected,0.030303030303030304,2008
e466,Drexel University,Thomas Jefferson University,Undirected,0.02564102564102564,2008
e467,Brown University,Tufts University,Undirected,0.025,2008
e468,Northern Arizona University,University Of Arizona,Undirected,0.9999999999999998,2008
e469,Arizona State University,University Of Arizona,Undirected,0.9999999999999998,2008
e470,Tufts University,University Of Chicago,Undirected,0.025,2008
e471,Carnegie Mellon University,University Of Chicago,Undirected,0.02040816326530612,2008
e472,Illinois Institute Of Technology,University Of Chicago,Undirected,0.021739130434782608,2008
e473,Princeton University,University Of Chicago,Undirected,0.024390243902439025,2008
e474,Johns Hopkins University,University Of Chicago,Undirected,0.02040816326530612,2008
e475,Duke University,University Of Chicago,Undirected,0.02564102564102564,2008
e476,Illinois Institute Of Technology,University Of Connecticut,Undirected,0.047619047619047616,2008
e477,Idaho State University,University Of Idaho,Undirected,1.0,2008
e478,Boise State University,University Of Idaho,Undirected,1.0,2008
e479,Iowa State University,University Of Iowa,Undirected,1.0000000000000002,2008
e480,Kansas State University,University Of Kansas,Undirected,0.9999999999999999,2008
e481,East Tennessee State University,University Of Memphis,Undirected,0.9999999999999997,2008
e482,Tennessee Technological University,University Of Memphis,Undirected,0.9999999999999997,2008
e483,Tennessee State University,University Of Memphis,Undirected,0.9999999999999997,2008
e484,Middle Tennessee State University,University Of Memphis,Undirected,0.9285714285714283,2008
e485,Tufts University,University Of New Mexico,Undirected,0.125,2008
e486,Depaul University,University Of North Carolina At Charlotte,Undirected,0.07692307692307693,2008
e487,Creighton University,University Of Notre Dame,Undirected,0.027777777777777776,2008
e488,New Jersey Institute Of Technology,University Of Notre Dame,Undirected,0.02,2008
e489,Oklahoma State University,University Of Oklahoma,Undirected,0.4999999999999999,2008
e490,Pennsylvania State University,University Of Pennsylvania,Undirected,0.030303030303030304,2008
e491,University Of Pennsylvania,University Of Pittsburgh,Undirected,0.018518518518518517,2008
e492,Pennsylvania State University,University Of Pittsburgh,Undirected,0.06060606060606061,2008
e493,Carnegie Mellon University,University Of Pittsburgh,Undirected,0.03636363636363636,2008
e494,Chapman University,University Of San Diego,Undirected,0.024390243902439025,2008
e495,Auburn University,University Of South Alabama,Undirected,0.0625,2008
e496,South Dakota State University,University Of South Dakota,Undirected,0.9999999999999999,2008
e497,California Institute Of Technology,University Of Southern California,Undirected,0.018867924528301886,2008
e498,Cornell University,University Of Southern California,Undirected,0.0196078431372549,2008
e499,Catholic University Of America,University Of St Thomas Minnesota,Undirected,0.024390243902439025,2008
e500,Seton Hall University,University Of St Thomas Minnesota,Undirected,0.025,2008
e501,Georgetown University,University Of St Thomas Minnesota,Undirected,0.024390243902439025,2008
e502,Cornell University,University Of Tulsa,Undirected,0.02564102564102564,2008
e503,University Of Utah,Utah State University,Undirected,0.6,2008
e504,New York University,Vanderbilt University,Undirected,0.02040816326530612,2008
e505,University Of St Thomas Minnesota,Vanderbilt University,Undirected,0.024390243902439025,2008
