Id,Source,Target,Type,Weight,Year
e1,Case Western Reserve University,Columbia University,Undirected,0.013333333333333334,1999
e2,Carnegie Mellon University,Duquesne University,Undirected,0.022222222222222223,1999
e3,Clark Atlanta University,Emory University,Undirected,0.029850746268656716,1999
e4,Brandeis University,Fordham University,Undirected,0.012658227848101266,1999
e5,Fordham University,Georgetown University,Undirected,0.013333333333333334,1999
e6,California Institute Of Technology,Harvard University,Undirected,0.011904761904761904,1999
e7,Brown University,Johns Hopkins University,Undirected,0.008771929824561403,1999
e8,Howard University,Johns Hopkins University,Undirected,0.011627906976744186,1999
e9,Andrews University,Loma Linda University,Undirected,0.034482758620689655,1999
e10,Illinois Institute Of Technology,Loyola University Chicago,Undirected,0.016129032258064516,1999
e11,George Washington University,Marquette University,Undirected,0.013513513513513514,1999
e12,Boston University,Massachusetts Institute Of Technology,Undirected,0.009708737864077669,1999
e13,George Washington University,Massachusetts Institute Of Technology,Undirected,0.010526315789473684,1999
e14,Dartmouth College,New School University,Undirected,0.015151515151515152,1999
e15,Georgetown University,New York University,Undirected,0.011627906976744186,1999
e16,Arizona State University,Northern Arizona University,Undirected,0.8333333333333334,1999
e17,Case Western Reserve University,Ohio State University,Undirected,0.015873015873015872,1999
e18,Kent State University,Ohio University,Undirected,0.3793103448275862,1999
e19,Hampton University,Old Dominion University,Undirected,0.02702702702702703,1999
e20,California Institute Of Technology,Pepperdine University,Undirected,0.011627906976744186,1999
e21,George Washington University,Pepperdine University,Undirected,0.012345679012345678,1999
e22,Polytechnic University,Rensselaer Polytechnic Institute,Undirected,0.015873015873015872,1999
e23,Princeton University,Rice University,Undirected,0.017241379310344827,1999
e24,Lehigh University,Seton Hall University,Undirected,0.014492753623188406,1999
e25,Adelphi University,State University Of New York At Albany,Undirected,0.038461538461538464,1999
e26,Pennsylvania State University,Temple University,Undirected,0.025974025974025976,1999
e27,Brandeis University,Tufts University,Undirected,0.0125,1999
e28,Kent State University,University Of Akron,Undirected,0.44,1999
e29,Ohio University,University Of Akron,Undirected,0.4074074074074074,1999
e30,Auburn University,University Of Alabama,Undirected,0.037037037037037035,1999
e31,Arizona State University,University Of Arizona,Undirected,0.9090909090909091,1999
e32,Northern Arizona University,University Of Arizona,Undirected,0.75,1999
e33,Tufts University,University Of Chicago,Undirected,0.012195121951219513,1999
e34,Illinois Institute Of Technology,University Of Chicago,Undirected,0.009433962264150943,1999
e35,Marquette University,University Of Chicago,Undirected,0.012658227848101266,1999
e36,New School University,University Of Chicago,Undirected,0.01020408163265306,1999
e37,University Of Akron,University Of Cincinnati,Undirected,0.4230769230769231,1999
e38,Kent State University,University Of Cincinnati,Undirected,0.39285714285714285,1999
e39,Ohio University,University Of Cincinnati,Undirected,0.36666666666666664,1999
e40,Tufts University,University Of Delaware,Undirected,0.015384615384615385,1999
