Id,Source,Target,Type,Weight,Year,PersonName_Source,PersonName_Target
e1,Case Western Reserve University,Columbia University,Undirected,1,1999,Alfred Lerner,Alfred Lerner
e2,Carnegie Mellon University,Duquesne University,Undirected,1,1999,"John G. Rangos, Sr","John G. Rangos, Sr"
e3,Carnegie Mellon University,Duquesne University,Undirected,1,1999,Stanley R. Gumberg,Stanley R. Gumberg
e4,Carnegie Mellon University,Duquesne University,Undirected,1,1999,Carol R. Brown,Carol R. Brown
e5,Clark Atlanta University,Emory University,Undirected,1,1999,"Marvin S. Arrington, Sr","Marvin S. Arrington, Sr."
e6,Clark Atlanta University,Emory University,Undirected,1,1999,Cornelius L. Henderson,Cornelius L. Henderson
e7,Brandeis University,Fordham University,Undirected,1,1999,Robert Shapiro,Robert Shapiro
e8,Fordham University,Georgetown University,Undirected,1,1999,William P. Frank,William P. Frank
e9,California Institute Of Technology,Harvard University,Undirected,1,1999,Mildred S. Dresselhaus,Mildred S. Dresselhaus
e10,Brown University,Johns Hopkins University,Undirected,1,1999,Joanne Leedom-Ackerman,Joanne Leedom-Ackerman
e11,Howard University,Johns Hopkins University,Undirected,1,1999,Frank Savage,Frank Savage
e12,Andrews University,Loma Linda University,Undirected,1,1999,Alfred C. McClure,Alfred C. McClure
e13,Andrews University,Loma Linda University,Undirected,1,1999,Robert S. Folkenberg,Robert S. Folkenberg
e14,Illinois Institute Of Technology,Loyola University Chicago,Undirected,1,1999,Fidelis N. Umeh,Fidelis N. Umeh
e15,George Washington University,Marquette University,Undirected,1,1999,John M. Kucharski,John M. Kucharski
e16,Boston University,Massachusetts Institute Of Technology,Undirected,1,1999,Norman E. Gaut,Norman E. Gaut
e17,George Washington University,Massachusetts Institute Of Technology,Undirected,1,1999,Lawrence A. Hough,Lawrence A. Hough
e18,Dartmouth College,New School University,Undirected,1,1999,Jonathan Newcomb,Jonathan Newcomb
e19,Georgetown University,New York University,Undirected,1,1999,William R. Berkley,William R. Berkley
e20,Case Western Reserve University,Ohio State University,Undirected,1,1999,David L. Brennan,David L. Brennan
e21,Kent State University,Ohio University,Undirected,1,1999,Elizabeth K. Lanier,Elizabeth K. Lanier
e22,Kent State University,Ohio University,Undirected,1,1999,Ralph E. Schey,Ralph E. Schey
e23,Kent State University,Ohio University,Undirected,1,1999,J. Gilbert Reese,J. Gilbert Reese
e24,Kent State University,Ohio University,Undirected,1,1999,Stephen A. Perry,Stephen A. Perry
e25,Kent State University,Ohio University,Undirected,1,1999,Thomas W. Noe,Thomas W. Noe
e26,Kent State University,Ohio University,Undirected,1,1999,Gerald M. Miller,Gerald M. Miller
e27,Kent State University,Ohio University,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e28,Kent State University,Ohio University,Undirected,1,1999,"Tahlman Krumm, Jr.","Tahlman Krumm, Jr."
e29,Kent State University,Ohio University,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e30,Kent State University,Ohio University,Undirected,1,1999,Michael A. Fox,Michael A. Fox
