Id,Interlock_Count,AffiliationId,Label,female_president,control,region
Adelphi University,3,71965598.0,Adelphi University,False,Private,Northeast
American University,0,181401687.0,American University,False,Private,Northeast
Andrews University,36,102298084.0,Andrews University,False,Private,Midwest
Arizona State University,107,55732556.0,Arizona State University,False,Public,West
Auburn University,10,82497590.0,Auburn University,False,Public,South
Ball State University,0,198089087.0,Ball State University,False,Public,Midwest
Baylor College Of Medicine,15,181547552.0,Baylor College Of Medicine,False,Private,South
Baylor University,7,157394403.0,Baylor University,False,Private,South
Biola University,0,152479009.0,Biola University,False,Private,West
Boise State University,8,120156002.0,Boise State University,False,Public,West
Boston College,27,103531236.0,Boston College,False,Private,Northeast
Boston University,5,111088046.0,Boston University,False,Private,Northeast
Bowling Green State University,0,157417397.0,Bowling Green State University,False,Public,Midwest
Brandeis University,19,6902469.0,Brandeis University,False,Private,Northeast
Brigham Young University,0,100005738.0,Brigham Young University,False,Private,West
Brown University,19,27804330.0,Brown University,False,Private,Northeast
California Institute Of Technology,25,122411786.0,California Institute Of Technology,False,Private,West
Carnegie Mellon University,38,74973139.0,Carnegie Mellon University,False,Private,Northeast
Case Western Reserve University,4,58956616.0,Case Western Reserve University,False,Private,Midwest
Catholic University Of America,13,84470341.0,Catholic University Of America,False,Private,Northeast
Central Michigan University,0,1629065.0,Central Michigan University,False,Public,Midwest
Chapman University,9,185071736.0,Chapman University,False,Private,West
Clark Atlanta University,5,52064589.0,Clark Atlanta University,False,Private,South
Clark University,0,130785548.0,Clark University,False,Private,Northeast
Clarkson University,3,16944753.0,Clarkson University,False,Private,Northeast
Clemson University,4,8078737.0,Clemson University,False,Public,South
Cleveland State University,108,102607778.0,Cleveland State University,True,Public,Midwest
College Of William And Mary,0,16285277.0,College Of William And Mary,False,Public,South
Colorado School Of Mines,0,167576493.0,Colorado School Of Mines,False,Public,West
Columbia University,16,78577930.0,Columbia University,False,Private,Northeast
Cornell University,34,205783295.0,Cornell University,False,Private,Northeast
Creighton University,10,114493937.0,Creighton University,False,Private,Midwest
Dartmouth College,10,107672454.0,Dartmouth College,False,Private,Northeast
Depaul University,3,118353179.0,Depaul University,False,Private,Midwest
Drexel University,6,72816309.0,Drexel University,False,Private,Northeast
Duke University,13,170897317.0,Duke University,False,Private,South
Duquesne University,8,165102784.0,Duquesne University,False,Private,Northeast
East Carolina University,0,186335123.0,East Carolina University,False,Public,South
East Tennessee State University,320,119443389.0,East Tennessee State University,False,Public,South
Eastern Michigan University,0,138216421.0,Eastern Michigan University,False,Public,Midwest
Emory University,9,150468666.0,Emory University,False,Private,South
Florida Agricultural And Mechanical University,0,8248082.0,Florida Agricultural And Mechanical University,False,Public,South
Florida Atlantic University,0,63772739.0,Florida Atlantic University,False,Public,South
Florida Institute Of Technology,0,106959904.0,Florida Institute Of Technology,True,Private,South
Florida International University,0,19700959.0,Florida International University,False,Public,South
Florida State University,2,103163165.0,Florida State University,False,Public,South
Fordham University,30,164389053.0,Fordham University,False,Private,Northeast
Gallaudet University,1,66108857.0,Gallaudet University,False,Private,Northeast
