Source,Target,board_size_source,board_size_target,shared_members,Year
Case Western Reserve University,Columbia University,51,25,0.013333333333333334,1999
Carnegie Mellon University,Duquesne University,93,45,0.022222222222222223,1999
Clark Atlanta University,Emory University,28,41,0.029850746268656716,1999
Brandeis University,Fordham University,46,34,0.012658227848101266,1999
Fordham University,Georgetown University,34,42,0.013333333333333334,1999
California Institute Of Technology,Harvard University,48,37,0.011904761904761904,1999
Brown University,Johns Hopkins University,54,61,0.008771929824561403,1999
Howard University,Johns Hopkins University,26,61,0.011627906976744186,1999
Andrews University,Loma Linda University,36,24,0.034482758620689655,1999
Illinois Institute Of Technology,Loyola University Chicago,59,4,0.016129032258064516,1999
George Washington University,Marquette University,43,32,0.013513513513513514,1999
Boston University,Massachusetts Institute Of Technology,51,53,0.009708737864077669,1999
George Washington University,Massachusetts Institute Of Technology,43,53,0.010526315789473684,1999
Dartmouth College,New School University,16,51,0.015151515151515152,1999
Georgetown University,New York University,42,45,0.011627906976744186,1999
Arizona State University,Northern Arizona University,11,11,0.8333333333333334,1999
Case Western Reserve University,Ohio State University,51,13,0.015873015873015872,1999
Kent State University,Ohio University,19,21,0.3793103448275862,1999
Hampton University,Old Dominion University,22,16,0.02702702702702703,1999
California Institute Of Technology,Pepperdine University,48,39,0.011627906976744186,1999
George Washington University,Pepperdine University,43,39,0.012345679012345678,1999
Polytechnic University,Rensselaer Polytechnic Institute,31,33,0.015873015873015872,1999
Princeton University,Rice University,40,19,0.017241379310344827,1999
Lehigh University,Seton Hall University,38,32,0.014492753623188406,1999
Adelphi University,State University Of New York At Albany,17,10,0.038461538461538464,1999
Pennsylvania State University,Temple University,39,40,0.025974025974025976,1999
Brandeis University,Tufts University,46,35,0.0125,1999
Ohio University,University Of Akron,21,17,0.4074074074074074,1999
Kent State University,University Of Akron,19,17,0.44,1999
Auburn University,University Of Alabama,12,16,0.037037037037037035,1999
Northern Arizona University,University Of Arizona,11,10,0.75,1999
Arizona State University,University Of Arizona,11,10,0.9090909090909091,1999
Tufts University,University Of Chicago,35,48,0.012195121951219513,1999
Illinois Institute Of Technology,University Of Chicago,59,48,0.009433962264150943,1999
Marquette University,University Of Chicago,32,48,0.012658227848101266,1999
New School University,University Of Chicago,51,48,0.01020408163265306,1999
University Of Akron,University Of Cincinnati,17,20,0.4230769230769231,1999
Ohio University,University Of Cincinnati,21,20,0.36666666666666664,1999
Kent State University,University Of Cincinnati,19,20,0.39285714285714285,1999
Tufts University,University Of Delaware,35,31,0.015384615384615385,1999
Georgetown University,University Of Delaware,42,31,0.013888888888888888,1999
Idaho State University,University Of Idaho,7,4,0.2222222222222222,1999
