Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,Notes,AffiliationId,carnegie_id,PrimarySample,FixedPosition
Steven L Rattner,Fellow,Brown University,,,"Managing Principal, Quadrangle Group LiC",166.0,,,27804330.0,217156.0,True,Trustee
David E Mckinney,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,True,Trustee
Steven R Jordan,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,True,Trustee
Ruth J Simmons,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,True,Trustee
Timothy C Forbes,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,True,Trustee
Alva O Way,Fellow,Brown University,,,"Chairman, IBJ Schroder Bank & Trust Company 1 State St., New York, NY 10004",166.0,,,27804330.0,217156.0,True,Trustee
Wendy J Strothman,Secretary,Brown University,,,"Executive Vice President, Trade and Reference Division, Houghton Mifflin Company222 Berkeley Street, Boston, MA 02116-3764",166.0,,,27804330.0,217156.0,True,Other Board Member
Kathryn S Fuller,Fellow,Brown University,,Brown 1968 BA: Texas 1976 JD,"President and Chief Executive Officer, World Wildlife Fund Post Office Box 97180, Washington, DC 20077-7180",166.0,,,27804330.0,217156.0,True,Trustee
Elizabeth Z Chace,Fellow,Brown University,,,"President, American Heritage Forbes Bldg., 60 5th Ave., New York, NY 10011",166.0,,,27804330.0,217156.0,True,Trustee
Frederick Lippitt,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,True,Trustee
Artemis Aw Joukowsky,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,True,Trustee
Donald C Hood,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,True,Trustee
Patricia Herring Mcabee,Trustee,Clemson University,,,,228.0,,,8078737.0,217882.0,True,Member
Leslie G Mccraw,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Fluor Corporation",228.0,,,8078737.0,217882.0,True,Member
John J Britton,Trustee,Clemson University,,Clemson 1954 BS; South Carolina 1959 LLB,,228.0,,,8078737.0,217882.0,True,Member
Lawrence M Gressette,Trustee,Clemson University,,,,228.0,,,8078737.0,217882.0,True,Member
Louis B Lynn,Trustee,Clemson University,,,"President, ENVIRO AgScience, Inc",228.0,,,8078737.0,217882.0,True,Member
Thomas C Lynch,Trustee,Clemson University,,,,228.0,,,8078737.0,217882.0,True,Member
Leon J Hendrix,Chairman,Clemson University,,,"Chairman, Remington Arms Company, Inc",228.0,,,8078737.0,217882.0,True,Board President
William C Smith,Trustee,Clemson University,,,"Chief Executive Officer, Holmes Smith Developments, IncP.O. Box 11334, Columbia, SC 29211",228.0,,,8078737.0,217882.0,True,Member
Joseph D Swann,Vice Chairman,Clemson University,,Clemson: Case Western 1969 MBA,"Vice President and General Manager, Dodge/Rockwell Automation P.O. Box 499, Ponders Ct., Greenville, SC 29602",228.0,,,8078737.0,217882.0,True,Board Vice President
Thomas B Mcteer,Trustee,Clemson University,,,"President, McTeer Real Estate, IncP.O. Box 11923, Columbia, SC 29211",228.0,,,8078737.0,217882.0,True,Member
Bill L Amick,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Amick Farms, Inc",228.0,,,8078737.0,217882.0,True,Member
Allen P Wood,Trustee,Clemson University,,,"President, Wilkins, Wood Goforth, Assoc., LtdPO. Box 3868, Florence, SC 29502",228.0,,,8078737.0,217882.0,True,Member
Ellison Smyth Mckissick,Trustee,Clemson University,,,"President and Treasurer, Alice Manufacturing Company, Inc",228.0,,,8078737.0,217882.0,True,Member
James R Houghton,Fellow,Harvard University,,"Harvard 1958 AB, 1962 MBA",Chairman and Chief,322.0,,,136199984.0,166027.0,True,Overseer
Conrad K Harper,Fellow,Harvard University,Harvard Corporation,,"President and Professor, University of Chicago",322.0,,,136199984.0,166027.0,True,Overseer
Robert D Reischauer,Fellow,Harvard University,,"Harvard AB; Columbia MIA, PhD","President, The Urban Institute",322.0,,,136199984.0,166027.0,True,Overseer
Hanna Holborn Gray,Fellow,Harvard University,Harvard Corporation,Howard U 1962 BA; Harvard 1965 LLB,"Of Counsel, Simpson Thacher & Bartlett LLP",322.0,,,136199984.0,166027.0,True,Overseer
Lawrence H Summers,President,Harvard University,,,"Secretary, United States Department of the Treasury, William J. Clinton Administration (1995-1999)",322.0,,,136199984.0,166027.0,True,Board President
James F Rothenberg,Treasurer,Harvard University,,Harvard 1960 AB; Yale 1964 LLB; London School Econ (UK),"Chairman of the Executive Committee, Citigroup Inc",322.0,,,136199984.0,166027.0,True,Other Board Member
Robert E Rubin,Fellow,Harvard University,,,,322.0,,,136199984.0,166027.0,True,Overseer
Andrew Stein,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Pierre L Schoenheimer,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Roy Nicholson,Associate Professor and Ex Officio,Long Island University,,,,368.0,,,138873065.0,192448.0,True,"Trustee, Ex Officio"
Robert R Martin,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Julie Ratner,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Jane Ross,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Warren L Schwerin,Oversee,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Steven Tanger,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Samuel H Swint,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
David J Steinberg,President,Long Island University,,,Long Island University,368.0,,,138873065.0,192448.0,True,Board President
Harry Marmion,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Jerry L Cohen,Overseer,Long Island University,,NYU BS,,368.0,,,138873065.0,192448.0,True,Trustee
William Lynch,President,Long Island University,,,"Bill Lynch Associates; Director, Grants, The Brooklyn Academy of Music, Inc30 Lafayette Avenue, Brooklyn, NY 11217-1486",368.0,,,138873065.0,192448.0,True,Board President
Adair A Beutel,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Myron Levine,Chief Executive Officer,Long Island University,,,Autolog,368.0,,,138873065.0,192448.0,True,Other Board Member
John Adam Kanas,Overseer,Long Island University,,Long Island 1968 BA; Rutgers 1971 MBA,"Chairman, President and Chief Executive Officer, North Fork Bancorporation, Inc275 Broadhollow Road, Melville, NY 11747",368.0,,,138873065.0,192448.0,True,Trustee
Michael P Galgano,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Edward D Kratovil,"Senior Vice President, Worldwide Government Relations",Long Island University,,Long Island 1969 BA,,368.0,,,138873065.0,192448.0,True,Board Vice President
R Lawrence Mccann,Education Division Director and Ex Offici,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Theodore Baum,Overseer,Long Island University,,,"Chairman and Chief Executive Officer, Baum Investments, Inc",368.0,,,138873065.0,192448.0,True,Trustee
Robert Ex Sillerman,Chancellor,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Board President
David Pinter,Overseer,Long Island University,,,,368.0,,,138873065.0,192448.0,True,Trustee
Peter B Caloyeras,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
Kathleen Hannon Aikenhead,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
Robert C Baker,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
Gerald R Blaszczak,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
John F Cosgrove,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
Irma J Browndillon,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
Robert J Abernethy,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
Paul Bernadicou,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
Jeffrey P Von Arx,Trustee,Loyola Marymount University,,"Princeton 1969 AB; Yale 1973 MA 1975 MPhil, 1980 PhD; Weston Theology 1981 MDiv",,378.0,,,35566140.0,117946.0,True,Regent
Frederick B Craves,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
Stephen V Sundborg,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Bruce C Edwards,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
Joan Tracy Rshm,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Robert H Kerrigan,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Kathleen L Mccarthy,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Larry R Carter,Trustee,Loyola Marymount University,,,,377.0,,,35566140.0,117946.0,True,Regent
Michael R Steed,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
R Chad Dreier,Chairman,Loyola Marymount University,,Lovola Marymount 1969 BS,,377.0,,,35566140.0,117946.0,True,Board President
Thomas R Von Der Ahe Sr,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Robert B Lawton,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Louis A Peter Siracusa,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Liam E Mcgee,Trustee,Loyola Marymount University,,UC San Diego; Pepperdine MBA; Loyola (CA) JD,,378.0,,,35566140.0,117946.0,True,Regent
Edward P Roski,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Kevin P Quinn,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Joan A Payden,Trustee,Loyola Marymount University,,Trinity Col (DC) BA; Harvard 1981 AMP,,378.0,,,35566140.0,117946.0,True,Regent
Stephen F Page,Trustee,Loyola Marymount University,,Loyola Marymount,,378.0,,,35566140.0,117946.0,True,Regent
John F Oreilly,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Susan F Moley,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Stephen M Mosko,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Alex Chaves Sr,Trustee,Loyola Marymount University,,Arizona State 1974 BS,,377.0,,,35566140.0,117946.0,True,Regent
Mary E Milligan Rshm,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
John A Mcmahon,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Paul J Fitzgerald,Trustee,Loyola Marymount University,,Santa Clara 1980 BA;,,378.0,,,35566140.0,117946.0,True,Regent
Thomas E Larkin,Trustee,Loyola Marymount University,,Notre Dame 1961 BA,,378.0,,,35566140.0,117946.0,True,Regent
John F Grundhofer,Trustee,Loyola Marymount University,,Loyola Marymount 1960 BA: USC 1964 MBA,,378.0,,,35566140.0,117946.0,True,Regent
Mrs Terry Seidler,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Anne Hennessy Csj,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
Paul W Mikos,Trustee,Loyola Marymount University,,,,378.0,,,35566140.0,117946.0,True,Regent
James M Burns,Trustee,New Jersey Institute Of Technology,,,"Partner, Genova, Burns & Vernoia",424.0,,,118118575.0,185828.0,True,Overseer
W Stanley Brown,Trustee,New Jersey Institute Of Technology,,,"President, Brown Global Enterprises, LLC",423.0,,,118118575.0,185828.0,True,Overseer
Kevin F Toolan,Trustee,New Jersey Institute Of Technology,,,"President and Chairman of the Board, T&M Associates",424.0,,,118118575.0,185828.0,True,Overseer
James A Kennedy,Chairman,New Jersey Institute Of Technology,,,"President and Chief Executive Officer, National Starch and Chemical Company",424.0,,,118118575.0,185828.0,True,Board President
Anthony J Knapp,Trustee,New Jersey Institute Of Technology,,,"Owner, Black Horse Inn",424.0,,,118118575.0,185828.0,True,Overseer
Peter A Cistaro,Trustee,New Jersey Institute Of Technology,,NJIT 1968 PhD,"Vice President, Gas Delivery, Public Service Electric and Gas Company",424.0,,,118118575.0,185828.0,True,Overseer
Stephen P Depalma,Trustee,New Jersey Institute Of Technology,,,,424.0,,,118118575.0,185828.0,True,Overseer
Vincent L Decaprio,Trustee,New Jersey Institute Of Technology,,NJIT 1972,"President, Vyteris",424.0,,,118118575.0,185828.0,True,Overseer
Hamilton V Bowser Sr,Trustee,New Jersey Institute Of Technology,,NJIT 1952,"President, Evanbow Construction Company",423.0,,,118118575.0,185828.0,True,Overseer
John N Bain,Vice Chairman,New Jersey Institute Of Technology,,NJIT 1953,"Partner, Carella, Byrne, Bain & Gilfillan",423.0,,,118118575.0,185828.0,True,Board Vice President
Arthur Weinbach,Trustee,New Jersey Institute Of Technology,,"Pennsylvania 1965 BS, 1966 MS","Chairman and Chief Executive Officer, Automatic Data Processing, IncOne ADP Boulevard, Roseland, NJ 07068-1728",424.0,,,118118575.0,185828.0,True,Overseer
James E Mcgreevey,Ex Officio Trustee,New Jersey Institute Of Technology,,Columbia 1978 BA; Georgetown 1981 JD; Harvard 1982 MA,"Governor, New Jersey; Governor (D), New Jersey",424.0,,,118118575.0,185828.0,True,"Overseer, Ex Officio"
Frank J Ryan,Trustee,New Jersey Institute Of Technology,,,"Group Chairman, Johnson & Johnson",424.0,,,118118575.0,185828.0,True,Overseer
Dennis M Bone,Trustee,New Jersey Institute Of Technology,,,"President, Verizon New Jersey Inc540 Broad Street, Floor 20, Newark, NJ 07102",423.0,,,118118575.0,185828.0,True,Overseer
The Hon Sharpe James,Ex Officio Trustee,New Jersey Institute Of Technology,,Montclair State BS; Springfield (MA) MA,"Mayor, City of Newark, New Jersey; Mayor (D), City of Newark, New Jersey",424.0,,,118118575.0,185828.0,True,"Overseer, Ex Officio"
Philip K Beachem,Trustee,New Jersey Institute Of Technology,,,"President, New Jersey Alliance for Action",423.0,,,118118575.0,185828.0,True,Overseer
David James,Trustee,Pennsylvania State System of Higher Education,Council of Trustees,,,476.0,,,29957033.0,216764.0,True,Trustee
Alan Novak,Trustee,Pennsylvania State System of Higher Education,Council of Trustees,,,476.0,,,29957033.0,216764.0,True,Trustee
Jessie Pincus,Secretary,Pennsylvania State System of Higher Education,Council of Trustees,,,476.0,,,29957033.0,216764.0,True,Other Board Member
Elinor Z Taylor,Trustee,Pennsylvania State System of Higher Education,Council of Trustees,,,476.0,,,29957033.0,216764.0,True,Trustee
Thomas A Fillippo,Trustee,Pennsylvania State System of Higher Education,Council of Trustees,,,476.0,,,29957033.0,216764.0,True,Trustee
Barry C Dozer,Trustee,Pennsylvania State System of Higher Education,Council of Trustees,,,476.0,,,29957033.0,216764.0,True,Trustee
Laurence Harmelin,Trustee,Pennsylvania State System of Higher Education,Council of Trustees,,,476.0,,,29957033.0,216764.0,True,Trustee
Dennis E Murray,Trustee,Pennsylvania State System of Higher Education,,,,476.0,,,29957033.0,,True,Governor
Judy G Hample,Chancellor,Pennsylvania State System of Higher Education,,,,476.0,,,29957033.0,,True,Board President
