Name,Position,Institution,SubInstitution,Education,Other Affiliation,page,Career,Notes,AffiliationId,carnegie_id,PrimarySample,FixedPosition
Elizabeth Z. Chace,Fellow,Brown University,,,"President, American Heritage Forbes Bldg., 60 5th Ave., New York, NY 10011",166.0,,,27804330.0,217156.0,True,Trustee
Timothy C. Forbes,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,True,Trustee
Kathryn S. Fuller,Fellow,Brown University,,Brown 1968 BA: Texas 1976 JD,"President and Chief Executive Officer, World Wildlife Fund Post Office Box 97180, Washington, DC 20077-7180",166.0,,,27804330.0,217156.0,True,Trustee
Donald C. Hood,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,True,Trustee
Steven R. Jordan,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,True,Trustee
Artemis A. W. Joukowsky,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,True,Trustee
Frederick Lippitt,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,True,Trustee
David E. McKinney,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,True,Trustee
Steven L. Rattner,Fellow,Brown University,,,"Managing Principal, Quadrangle Group LiC",166.0,,,27804330.0,217156.0,True,Trustee
Ruth J. Simmons,President,Brown University,,,,166.0,,,27804330.0,217156.0,True,Board President
Ruth J. Simmons,Fellow,Brown University,,,,166.0,,,27804330.0,217156.0,True,Trustee
Wendy J. Strothman,Secretary,Brown University,,,"Executive Vice President, Trade and Reference Division, Houghton Mifflin Company222 Berkeley Street, Boston, MA 02116-3764",166.0,,,27804330.0,217156.0,True,Other Board Member
Wendy J. Strothman,Fellow,Brown University,,,"Executive Vice President, Trade and Reference Division, Houghton Mifflin Company222 Berkeley Street, Boston, MA 02116-3764",166.0,,,27804330.0,217156.0,True,Trustee
Alva O. Way,Fellow,Brown University,,,"Chairman, IBJ Schroder Bank & Trust Company 1 State St., New York, NY 10004",166.0,,,27804330.0,217156.0,True,Trustee
Michael Bradbury,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
LOUIse Evenson,Chairperson,California Lutheran University,,,"Career: Group Vice President, American Express Financial Advisors",173.0,,,176611909.0,110413.0,False,Board President
Yale Giezl,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
Rod Gilbert,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
Sarah Heath,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
Linda Hodge,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
Edwin C. Holt,Advisory Member,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
Shawn Howie,Regent,California Lutheran University,,,"Affiliation: Chief Financial Officer, Kaufman and Broad",173.0,,,176611909.0,110413.0,False,Member
Karen Ingram,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
William J. Kane,Regent,California Lutheran University,,,"Affiliation: Audit Partner, Ernst & Young LLP",173.0,,,176611909.0,110413.0,False,Member
Randolph Kohn,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
Rev. Raymond LeBlanc,Regent,California Lutheran University,,,"Affiliation: Pastor, First Lutheran Church",173.0,,,176611909.0,110413.0,False,Member
Luther S. Luedtke,President,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Board President
Luther S. Luedtke,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
L. Karsten Lundring,Advisory Member,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
Francis X. Maguire,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
Kate McLean,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
Leanne Neilson,Chairman Of The Faculty,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Board President
Leanne Neilson,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
Rev. Dean Nelson,Regent,California Lutheran University,,,"Affiliation: Bishop, Southern California West Synod, Evangelical Lutheran Church in America",173.0,,,176611909.0,110413.0,False,Member
Terry Noonan,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
Raymond Pingle,Regent,California Lutheran University,,,,173.0,,,176611909.0,110413.0,False,Member
